domain,role,mode,active_model_id,precision_boot_mean,precision_boot_ci_low,precision_boot_ci_high,recall_boot_mean,recall_boot_ci_low,recall_boot_ci_high,balanced_accuracy_boot_mean,balanced_accuracy_boot_ci_low,balanced_accuracy_boot_ci_high,f1_boot_mean,f1_boot_ci_low,f1_boot_ci_high,brier_boot_mean,brier_boot_ci_low,brier_boot_ci_high
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.7263545450551462,0.6546840998114029,0.8035993303571429,0.9125144965570507,0.8476978505129458,0.9666935483870968,0.9147956066118246,0.8774783372340227,0.9399375,0.8082484529804684,0.7571312404514317,0.861351574122472,0.07159972145879934,0.058862703957058615,0.08423395867546153
adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.7129374369684135,0.6434765756656555,0.8032239273662221,0.9164983158357076,0.8630435938330675,0.9728472931562819,0.9127218106855354,0.8817403284671997,0.9427381195761794,0.8011188326369826,0.7511258930771126,0.8572118702553484,0.0728963489899092,0.05285589480073181,0.08795022581589136
adhd,caregiver,caregiver_full,adhd__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.708988531228943,0.6347218670076726,0.786318500589586,0.923201246537495,0.866195652173913,0.9701944444444444,0.9159234158592915,0.8813297681140017,0.9425318243623406,0.8014413821184657,0.7444522868435912,0.8548007947113018,0.07044304729630184,0.05851953823624697,0.08586182255856126
adhd,psychologist,psychologist_1_3,adhd__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.693930786983367,0.6327787579393084,0.7768575968523003,0.9286445568206461,0.883008658008658,0.9728472931562819,0.9138624800423074,0.8867341190215101,0.9352906698564593,0.7935619941760204,0.7478197551709582,0.8458677602062568,0.07862955046118583,0.06133810418240037,0.09417782408157692
adhd,psychologist,psychologist_2_3,adhd__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.829857885810679,0.7531024531024532,0.8953789093825181,0.8510745412172568,0.7731919191919192,0.912250830564784,0.9044896423537857,0.8630547834232045,0.9343696716681819,0.8396979892200139,0.7636244019138756,0.8831530591469001,0.04096119667947481,0.02956988844448945,0.056139253020036126
adhd,psychologist,psychologist_full,adhd__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.7653900226521163,0.699656862745098,0.8446925566343041,0.8636257327034997,0.7894176931690929,0.9286717495987159,0.8991598759473544,0.8557740943267259,0.9340543255759809,0.8108594364440667,0.7499368686868687,0.8572096128170894,0.08860004572651925,0.07351665276209292,0.09868107738319991
anxiety,caregiver,caregiver_1_3,anxiety__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.884292075190934,0.8221310715609937,0.9453095196809432,0.8598229372351757,0.7929941719281205,0.9278733354470513,0.9176554938165864,0.8852005936520714,0.9501438069606294,0.8710985151105703,0.8321501367138951,0.9131625967837997,0.03819382196176676,0.026502525038075646,0.049111697984740986
anxiety,caregiver,caregiver_2_3,anxiety__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8533435162066046,0.7776190476190477,0.9317485898468976,0.8209755081488691,0.7396987858032378,0.892167410128575,0.8951729534553257,0.8501426819002651,0.9349786463299185,0.8362125646691115,0.768203012912482,0.8904579352481355,0.13236351098608423,0.12731093106874156,0.13933491489469255
anxiety,caregiver,caregiver_full,anxiety__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8185439078383061,0.7390345268542199,0.8919022869022869,0.8120148797814281,0.7241379310344828,0.8979507575757575,0.8864170022289668,0.843191957983316,0.9314215189164733,0.8143565096987586,0.7498986486486486,0.8679369414101291,0.1362885584264324,0.1292100316012237,0.14212279471303238
anxiety,psychologist,psychologist_1_3,anxiety__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.851635603344078,0.7836040828062104,0.9243617290192112,0.8283818648597506,0.7611567059483726,0.8890893470790376,0.8983269450707188,0.8640666496086294,0.9316950554145104,0.8392112500827451,0.7837544065804936,0.890226767452201,0.11902863658619808,0.11077628694472913,0.12616364459639054
