domain,role,mode,active_model_id,config_id,calibration,threshold_policy,threshold,val_brier,brier,val_ece,holdout_ece
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,rf_plus_precision_recovery,none,recall_target_guard,0.5599999999999999,0.057735532705061224,0.07182720906310228,0.052857265913389594,0.057368645351636376
adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,rf_plus_precision_recovery,none,recall_target_guard,0.5399999999999999,0.057430700606976436,0.07233457356099159,0.053177069952538486,0.05861950852636802
adhd,caregiver,caregiver_full,adhd__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,rf_v11_calibrated_regularized,sigmoid,recall_target_guard,0.21999999999999997,0.051927488290887606,0.07040019449335029,0.024342531905138923,0.030616760779968034
adhd,psychologist,psychologist_1_3,adhd__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,rf_v11_calibrated_regularized,none,precision_recovery,0.5499999999999999,0.07090482694229593,0.07867751257646272,0.06983471943387672,0.0730023421604309
adhd,psychologist,psychologist_2_3,adhd__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,rf_v11_calibrated_regularized,isotonic,precision_recovery,0.27999999999999997,0.024607928798472657,0.04059850182731979,0.0205437965318347,0.017592707690663206
adhd,psychologist,psychologist_full,adhd__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,rf_v11_guardrail_randomized,none,precision_recovery,0.6499999999999999,0.07997902445504937,0.0878952629711962,0.14544787500610057,0.15061264793485032
anxiety,caregiver,caregiver_1_3,anxiety__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,rf_v11_calibrated_regularized,sigmoid,precision_recovery,0.6150389535154729,0.045116805550181986,0.03843303283701968,0.027595617978251955,0.025108823049726264
anxiety,caregiver,caregiver_2_3,anxiety__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,rf_v11_guardrail_very_random,none,f1_ba_conservative,0.5509721185330153,0.13771602771332164,0.1324680784221708,0.25858730690714626,0.26493920824030165
anxiety,caregiver,caregiver_full,anxiety__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,rf_v11_guardrail_very_random,none,f1_ba_conservative,0.5299999999999999,0.14071972375403058,0.1363188022729681,0.25549822498732355,0.2529130586569768
anxiety,psychologist,psychologist_1_3,anxiety__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,rf_v11_guardrail_very_random,none,recall_target_guard,0.5336125226848083,0.12783419673472704,0.11958115342547092,0.2500079956016035,0.24719153088769602
anxiety,psychologist,psychologist_2_3,anxiety__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,rf_v11_guardrail_very_random,none,f1_ba_conservative,0.5394416137058918,0.12706588808421013,0.12154854311232437,0.2508812834686903,0.2547239203575779
anxiety,psychologist,psychologist_full,anxiety__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,rf_v11_guardrail_very_random,none,precision_recovery,0.5279665721525749,0.1595414333435718,0.15828247470375356,0.29563689703583884,0.2920891207806689
