domain,mode,feature_set_id,model_family,config,calibration,threshold_policy,threshold,n_features,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,overfit_gap_train_val_ba,abstain_band,abstain_coverage,abstain_precision,abstain_recall,abstain_balanced_accuracy,abstain_pr_auc,quality_label
depression,caregiver_full,full_eligible,catboost,"{""depth"": 6, ""iterations"": 200, ""learning_rate"": 0.05, ""loss_function"": ""Logloss"", ""random_seed"": 0, ""verbose"": false}",none,default_0_5,0.5,127,0.8409090909090909,0.9487179487179487,0.9651741293532339,0.9569460390355913,0.891566265060241,0.9909108304630694,0.9434742112852106,0.029366639325419396,0.03372262136967774,0.1,0.9875,0.8588235294117647,0.9605263157894737,0.9651877810103147,0.9468660057721707,bueno
depression,psychologist_full,full_eligible,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",sigmoid,balanced,0.41999999999999993,152,0.8690476190476191,0.9358974358974359,0.972636815920398,0.9542671259089169,0.9012345679012346,0.9923140706722796,0.9533076719585643,0.025333072123863917,0.029473603229121403,0.1,0.9833333333333333,0.9078947368421053,0.9324324324324325,0.9574222463669699,0.9586896194291146,bueno
depression,psychologist_2_3,boosted_eng_full,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",none,balanced,0.10999999999999999,120,0.7352941176470589,0.9615384615384616,0.9328358208955224,0.947187141216992,0.8333333333333334,0.9886465110345707,0.9419052599045844,0.03239409645489967,0.037151702786377694,0.1,0.99375,0.7575757575757576,0.9615384615384616,0.950694042799306,0.9435959006182303,malo
elimination,psychologist_1_3,boosted_eng_full,extra_trees,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,balanced,0.42999999999999994,78,0.9019607843137255,0.9019607843137255,0.9883449883449883,0.9451528863293569,0.9019607843137255,0.9965720553955849,0.9724347146967125,0.021044283854166665,0.002873563218390829,0.1,0.9583333333333334,0.9696969696969697,0.8648648648648649,0.9312503993355057,0.980868571464095,muy_bueno
elimination,caregiver_1_3,boosted_eng_full,extra_trees,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,balanced,0.43999999999999995,67,0.8679245283018868,0.9019607843137255,0.9836829836829837,0.9428218839983546,0.8846153846153846,0.9967777320718497,0.9700376570280697,0.020413619791666664,0.002873563218390829,0.1,0.9583333333333334,0.9722222222222222,0.9210526315789473,0.9593414816662509,0.9861339448065732,bueno
depression,caregiver_2_3,full_eligible,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",none,balanced,0.22999999999999998,98,0.776595744680851,0.9358974358974359,0.9477611940298507,0.9418293149636433,0.8488372093023255,0.9876259727005996,0.9320304443185081,0.033604282087670315,0.035603715170278605,0.1,0.9958333333333333,0.7717391304347826,0.9342105263157895,0.94098586017282,0.9341304886535735,malo
adhd,psychologist_2_3,boosted_eng_full,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",none,balanced,0.12,120,0.6538461538461539,0.9770114942528736,0.8854961832061069,0.9312538387294902,0.783410138248848,0.9596092538972244,0.7665965794170599,0.06955003993297652,0.02066634082763119,0.1,0.975,0.6694915254237288,0.9753086419753086,0.9372667240884296,0.7740548899264785,malo
depression,psychologist_1_3,boosted_eng_full,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",sigmoid,balanced,0.21999999999999997,78,0.7087378640776699,0.9358974358974359,0.9253731343283582,0.9306352851128971,0.8066298342541437,0.9799400433728793,0.8983572574257632,0.036154141877079236,0.0230743082965289,0.1,0.9645833333333333,0.7441860465116279,0.927536231884058,0.9358493342161407,0.8995158871404814,malo
depression,caregiver_1_3,boosted_eng_full,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",sigmoid,balanced,0.25999999999999995,67,0.7422680412371134,0.9230769230769231,0.9378109452736318,0.9304439341752775,0.8228571428571428,0.9816940936343921,0.9106453012689153,0.03734745084308874,0.032946182083561704,0.1,0.9645833333333333,0.775,0.9117647058823529,0.9330975428145942,0.9163506921011273,malo
adhd,caregiver_2_3,boosted_eng_full,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",none,balanced,0.08,116,0.6277372262773723,0.9885057471264368,0.8702290076335878,0.9293673773800123,0.7678571428571429,0.9612178643502676,0.7967513283172644,0.06939522364482525,0.02296486369067019,0.1,0.9770833333333333,0.6190476190476191,0.9873417721518988,0.9321324245374878,0.8072122214561854,malo
anxiety,caregiver_1_3,boosted_eng_full,extra_trees,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,balanced,0.22999999999999998,67,0.7669902912621359,0.8977272727272727,0.9387755102040817,0.9182513914656771,0.8272251308900523,0.9630102040816327,0.907412487436496,0.0491651171875,0.06041856232939036,0.1,0.9520833333333333,0.8,0.8767123287671232,0.9175228310502284,0.9177897543263583,malo
adhd,caregiver_1_3,boosted_eng_full,rf,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,balanced,0.22999999999999998,67,0.5620915032679739,0.9885057471264368,0.8295165394402035,0.9090111432833201,0.7166666666666667,0.9298645842473166,0.6343200065183794,0.07921072916666666,0.06364193473481561,0.1,0.8625,0.5517241379310345,0.9795918367346939,0.9363712608331003,0.6358533046540733,malo
adhd,psychologist_1_3,boosted_eng_full,rf,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,balanced,0.26999999999999996,78,0.5734265734265734,0.9425287356321839,0.8447837150127226,0.8936562253224533,0.7130434782608696,0.9321020151501858,0.6570419915735503,0.07893044270833333,0.0782004322048816,0.1,0.8520833333333333,0.5694444444444444,0.8913043478260869,0.9029524493951371,0.6795572387261948,malo
