trial_id,domain,mode,feature_set_id,model_family,config,calibration,threshold_policy,threshold,n_features,val_balanced_accuracy,val_pr_auc,val_precision,val_recall,holdout_precision,holdout_recall,holdout_specificity,holdout_balanced_accuracy,holdout_f1,holdout_roc_auc,holdout_pr_auc,holdout_brier,train_balanced_accuracy,overfit_gap_train_val_ba
1,adhd,caregiver_1_3,full_eligible,rf,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,default_0_5,0.5,49,0.7496226634157668,0.7159084890922698,0.7205882352941176,0.5632183908045977,0.654320987654321,0.6091954022988506,0.9287531806615776,0.7689742914802141,0.6309523809523809,0.9317802930595771,0.6337627182188026,0.08165348958333334,1.0,0.2503773365842332
2,adhd,caregiver_1_3,full_eligible,rf,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,balanced,0.24999999999999994,49,0.9063044235458029,0.7159084890922698,0.664,0.9540229885057471,0.564625850340136,0.9540229885057471,0.8371501272264631,0.8955865578661051,0.7094017094017094,0.9317802930595771,0.6337627182188026,0.08165348958333334,0.9846774193548387,0.07837299580903578
3,adhd,caregiver_1_3,full_eligible,extra_trees,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,default_0_5,0.5,49,0.7496226634157668,0.7271559205638677,0.7205882352941176,0.5632183908045977,0.6463414634146342,0.6091954022988506,0.926208651399491,0.7677020268491708,0.6272189349112426,0.933184171273142,0.6466993468712152,0.0813056640625,1.0,0.2503773365842332
4,adhd,caregiver_1_3,full_eligible,extra_trees,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,balanced,0.19999999999999996,49,0.9050272843376292,0.7271559205638677,0.6187050359712231,0.9885057471264368,0.5240963855421686,1.0,0.7989821882951654,0.8994910941475827,0.6877470355731226,0.933184171273142,0.6466993468712152,0.0813056640625,1.0,0.09497271566237075
5,adhd,caregiver_1_3,full_eligible,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",none,default_0_5,0.5,49,0.8393126668988737,0.6909042047596206,0.6699029126213593,0.7931034482758621,0.576,0.8275862068965517,0.8651399491094147,0.8463630780029832,0.6792452830188679,0.9336960018718377,0.6469942371339792,0.09263087424549235,0.9935483870967742,0.15423572019790044
6,adhd,caregiver_1_3,full_eligible,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",none,balanced,0.13,49,0.894519911761291,0.6909042047596206,0.6287878787878788,0.9540229885057471,0.5220125786163522,0.9540229885057471,0.806615776081425,0.880319382293586,0.6747967479674797,0.9336960018718377,0.6469942371339792,0.09263087424549235,0.9556451612903225,0.06112524952903153
7,adhd,caregiver_1_3,full_eligible,logreg,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""solver"": ""liblinear""}",none,default_0_5,0.5,49,0.8856960408684547,0.7245390869614742,0.6451612903225806,0.9195402298850575,0.5714285714285714,0.9655172413793104,0.8396946564885496,0.90260594893393,0.717948717948718,0.9332572899300986,0.6344910485823608,0.10341181317704486,0.9152136006974716,0.029517559829016937
8,adhd,caregiver_1_3,full_eligible,logreg,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""solver"": ""liblinear""}",none,balanced,0.4699999999999999,49,0.8921397886915128,0.7245390869614742,0.6356589147286822,0.9425287356321839,0.56,0.9655172413793104,0.8320610687022901,0.8987891550408003,0.7088607594936709,0.9332572899300986,0.6344910485823608,0.10341181317704486,0.9140802092414996,0.021940420549986794
9,adhd,caregiver_1_3,full_eligible,xgboost,"{""colsample_bytree"": 0.8, ""eval_metric"": ""logloss"", ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200, ""n_jobs"": -1, ""random_state"": 20270413, ""subsample"": 0.8, ""use_label_encoder"": false}",none,default_0_5,0.5,49,0.8670614187855568,0.7024872124102917,0.6637168141592921,0.8620689655172413,0.6060606060606061,0.9195402298850575,0.8676844783715013,0.8936123541282794,0.730593607305936,0.9377613991986194,0.6676063497351717,0.08973892778158188,0.967741935483871,0.10068051669831424
10,adhd,caregiver_1_3,full_eligible,lightgbm,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 200, ""random_state"": 20270413, ""subsample"": 0.8}",none,default_0_5,0.5,49,0.845756414721932,0.6981636316813056,0.6574074074074074,0.8160919540229885,0.6229508196721312,0.8735632183908046,0.8829516539440203,0.8782574361674125,0.7272727272727273,0.9329648153022725,0.6431824031445706,0.0907024550466506,0.9987903225806452,0.15303390785871318
