mode,domain,ablation,k,removed_features,precision,recall,balanced_accuracy,pr_auc,brier,delta_ba,delta_pr_auc
caregiver_1_3,adhd,baseline,0,,0.6212121212121212,0.8723404255319149,0.8714033733877191,0.6319179403335605,0.08682787280441553,,
caregiver_1_3,adhd,drop_topk,1,eng_adhd_core_mean,0.6186440677966102,0.776595744680851,0.8300077169000111,0.6337042103219819,0.09188442217799156,-0.041395656487708044,0.0017862699884213518
caregiver_1_3,adhd,drop_topk,3,eng_adhd_core_mean|eng_externalizing_index|eng_conduct_core_mean,0.6090225563909775,0.8617021276595744,0.8634935508764193,0.6189081902851158,0.0909147834557008,-0.007909822511299791,-0.013009750048444735
caregiver_1_3,conduct,baseline,0,,0.9019607843137255,0.8625,0.9078125,0.9500801871541836,0.056385438547920136,,
caregiver_1_3,conduct,drop_topk,1,conduct_09_property_destruction,0.9064748201438849,0.7875,0.8734375,0.9492543218328221,0.05857846443058191,-0.034375000000000044,-0.0008258653213615297
caregiver_1_3,conduct,drop_topk,3,conduct_09_property_destruction|conduct_03_weapon_use|conduct_15_truancy_before_13,0.8742138364779874,0.86875,0.903125,0.9390088415576802,0.06280025574196824,-0.004687500000000067,-0.011071345596503468
caregiver_1_3,elimination,baseline,0,,0.9411764705882353,0.6153846153846154,0.805355859094177,0.8786487353369938,0.021928697331088157,,
caregiver_1_3,elimination,drop_topk,1,eng_elimination_intensity,0.85,0.6538461538461539,0.8199137311286844,0.8494741680860077,0.02730340637912656,0.014557872034507424,-0.029174567250986105
caregiver_1_3,elimination,drop_topk,3,eng_elimination_intensity|enuresis_event_frequency_per_week|encopresis_event_frequency_per_month,1.0,0.019230769230769232,0.5096153846153846,0.14425515255886334,0.10193441473070049,-0.29574047447879237,-0.7343935827781305
caregiver_1_3,anxiety,baseline,0,,0.8875,0.8255813953488372,0.9013693778774643,0.9266917820093952,0.03683583941159821,,
caregiver_1_3,anxiety,drop_topk,1,eng_anxiety_core_mean,0.8888888888888888,0.8372093023255814,0.9071833313658364,0.9276065271522766,0.03584421973581125,0.005813953488372103,0.000914745142881479
caregiver_1_3,anxiety,drop_topk,3,eng_anxiety_core_mean|eng_internalizing_index|eng_depression_core_mean,0.7789473684210526,0.8604651162790697,0.9035828119466415,0.8670194279793016,0.053181692572934286,0.002213434069177178,-0.05967235403009352
caregiver_1_3,depression,baseline,0,,0.8059701492537313,0.6585365853658537,0.8129366343914696,0.764765007527117,0.0600670985657974,,
caregiver_1_3,depression,drop_topk,1,mdd_01_depressed_or_irritable_mood,0.7777777777777778,0.6829268292682927,0.8213629121215835,0.7507197186305856,0.06213613528653068,0.008426277730113951,-0.014045288896531338
caregiver_1_3,depression,drop_topk,3,mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change,0.7252747252747253,0.8048780487804879,0.8710319892143645,0.7807928378496973,0.06218961622478556,0.05809535482289496,0.016027830322580372
caregiver_2_3,adhd,baseline,0,,0.7017543859649122,0.851063829787234,0.881490464116415,0.7044217957677258,0.07256724664934806,,
caregiver_2_3,adhd,drop_topk,1,eng_adhd_core_mean,0.7155963302752294,0.8297872340425532,0.8747381766067688,0.7038694886052872,0.07403924969753951,-0.006752287509646182,-0.0005523071624385922
caregiver_2_3,adhd,drop_topk,3,eng_adhd_core_mean|eng_externalizing_index|adhd_onset_before_12,0.6190476190476191,0.8297872340425532,0.8527174512181678,0.6117124526295669,0.09240098673601871,-0.028773012898247186,-0.09270934313815893
caregiver_2_3,conduct,baseline,0,,1.0,1.0,1.0,1.0,0.001274432464644938,,
caregiver_2_3,conduct,drop_topk,1,conduct_impairment_global,0.879746835443038,0.86875,0.9046875000000001,0.9348219412815924,0.0585057621734453,-0.09531249999999991,-0.06517805871840765
caregiver_2_3,conduct,drop_topk,3,conduct_impairment_global|eng_externalizing_index|eng_conduct_core_mean,0.9097222222222222,0.81875,0.8890625,0.9330307949481602,0.059242455263524514,-0.11093750000000002,-0.06696920505183979
caregiver_2_3,elimination,baseline,0,,0.9259259259259259,0.9615384615384616,0.9760963335729691,0.955947602524266,0.010039232809337021,,
caregiver_2_3,elimination,drop_topk,1,eng_elimination_intensity,0.9444444444444444,0.9807692307692307,0.9868799424874191,0.973072186042726,0.007925575455355946,0.01078360891444996,0.017124583518460024
caregiver_2_3,elimination,drop_topk,3,eng_elimination_intensity|enuresis_distress_impairment|enuresis_event_frequency_per_week,0.7183098591549296,0.9807692307692307,0.967020129403307,0.7496867915060336,0.03201768046637141,-0.00907620416966215,-0.20626081101823246
caregiver_2_3,anxiety,baseline,0,,0.8735632183908046,0.8837209302325582,0.9279010742533349,0.9524808419049929,0.03067558229537218,,
caregiver_2_3,anxiety,drop_topk,1,sep_anx_impairment,0.896551724137931,0.9069767441860465,0.9420670522960689,0.929272577293959,0.028567203234262976,0.014165978042734007,-0.02320826461103398
caregiver_2_3,anxiety,drop_topk,3,sep_anx_impairment|sep_anx_duration_weeks|agor_escape_help_cognition,0.8586956521739131,0.9186046511627907,0.9428048636524613,0.9186432347919521,0.031461573454906404,0.0149037893991264,-0.033837607113040846
caregiver_2_3,depression,baseline,0,,0.8313253012048193,0.8414634146341463,0.9031437676185807,0.8434143874736915,0.045455386362202914,,
caregiver_2_3,depression,drop_topk,1,mdd_duration_weeks,0.8414634146341463,0.8414634146341463,0.9044000490256159,0.8677705664916397,0.04177936593446729,0.0012562814070351536,0.024356179017948287
caregiver_2_3,depression,drop_topk,3,mdd_duration_weeks|mdd_impairment|pdd_duration_months_child,0.7471264367816092,0.7926829268292683,0.8687032724598602,0.7705501675481641,0.05873969682081806,-0.0344404951587205,-0.07286421992552738
caregiver_full,adhd,baseline,0,,0.7403846153846154,0.8191489361702128,0.8746003748208577,0.7118788252075036,0.06872181309614778,,
