mode,domain,feature_set_id,config_id,seed,calibration_method,val_brier,val_ece
caregiver_1_3,adhd,engineered_compact,rf_regularized,20261101,none,0.07195870291273462,0.04197552793759436
caregiver_1_3,adhd,engineered_compact,rf_regularized,20261101,sigmoid,0.07240505310489445,0.06202226143819848
caregiver_1_3,adhd,engineered_compact,rf_regularized,20261101,isotonic,0.06474206349273225,6.687500000424429e-07
caregiver_1_3,adhd,engineered_compact,rf_regularized,20261119,none,0.07288870517682448,0.04540087007915421
caregiver_1_3,adhd,engineered_compact,rf_regularized,20261119,sigmoid,0.07370778154632235,0.05630611092412409
caregiver_1_3,adhd,engineered_compact,rf_regularized,20261119,isotonic,0.0653296934553643,6.708333333828308e-07
caregiver_1_3,adhd,engineered_full,rf_regularized,20261101,none,0.07061055706941931,0.040493704756049666
caregiver_1_3,adhd,engineered_full,rf_regularized,20261101,sigmoid,0.07160836040068091,0.0643212528116336
caregiver_1_3,adhd,engineered_full,rf_regularized,20261101,isotonic,0.06312236782890852,6.58333333359821e-07
caregiver_1_3,adhd,engineered_full,rf_regularized,20261119,none,0.07047168074467379,0.042037272629861185
caregiver_1_3,adhd,engineered_full,rf_regularized,20261119,sigmoid,0.07141262393349264,0.062322241117643125
caregiver_1_3,adhd,engineered_full,rf_regularized,20261119,isotonic,0.06272751919199332,6.583333333517889e-07
caregiver_1_3,conduct,precision_oriented_subset,rf_baseline,20261101,none,0.05397950550333445,0.03983542361111113
caregiver_1_3,conduct,precision_oriented_subset,rf_baseline,20261101,sigmoid,0.054030304801359834,0.05654918220552706
caregiver_1_3,conduct,precision_oriented_subset,rf_baseline,20261101,isotonic,0.046872812993789245,6.62499999980717e-07
caregiver_1_3,conduct,precision_oriented_subset,rf_baseline,20261119,none,0.053838320455860615,0.03566668243551479
caregiver_1_3,conduct,precision_oriented_subset,rf_baseline,20261119,sigmoid,0.054211002076779397,0.048052850403187485
caregiver_1_3,conduct,precision_oriented_subset,rf_baseline,20261119,isotonic,0.04800847385347351,6.791666665900459e-07
caregiver_1_3,conduct,full_eligible,rf_pos_weight_mid,20261101,none,0.05594566265551146,0.05502270983280444
caregiver_1_3,conduct,full_eligible,rf_pos_weight_mid,20261101,sigmoid,0.05645721509420647,0.054253129917373216
caregiver_1_3,conduct,full_eligible,rf_pos_weight_mid,20261101,isotonic,0.04862038474875631,6.541666666145702e-07
caregiver_1_3,conduct,full_eligible,rf_pos_weight_mid,20261119,none,0.056382913552208154,0.03997625439513941
caregiver_1_3,conduct,full_eligible,rf_pos_weight_mid,20261119,sigmoid,0.05684128600225615,0.058281745433843644
caregiver_1_3,conduct,full_eligible,rf_pos_weight_mid,20261119,isotonic,0.04926619632661885,6.520833332940657e-07
caregiver_1_3,elimination,engineered_compact,rf_pos_weight_mid,20261101,none,0.018576810470115102,0.013877218182852931
caregiver_1_3,elimination,engineered_compact,rf_pos_weight_mid,20261101,sigmoid,0.021543621947487646,0.040265355789478645
caregiver_1_3,elimination,engineered_compact,rf_pos_weight_mid,20261101,isotonic,0.015572916667597915,9.312499999901294e-07
caregiver_1_3,elimination,engineered_compact,rf_pos_weight_mid,20261119,none,0.01960486590017572,0.02126713937370848
caregiver_1_3,elimination,engineered_compact,rf_pos_weight_mid,20261119,sigmoid,0.023226553425182806,0.04833949623676436
caregiver_1_3,elimination,engineered_compact,rf_pos_weight_mid,20261119,isotonic,0.015416666667599997,9.333333333188368e-07
caregiver_1_3,elimination,engineered_compact,rf_balanced_subsample,20261101,none,0.02160166083863746,0.032119267654028144
caregiver_1_3,elimination,engineered_compact,rf_balanced_subsample,20261101,sigmoid,0.021957262376056795,0.046914345738194356
caregiver_1_3,elimination,engineered_compact,rf_balanced_subsample,20261101,isotonic,0.014202967172602587,8.854166666719875e-07
caregiver_1_3,elimination,engineered_compact,rf_balanced_subsample,20261119,none,0.02124770741868931,0.024483297115038334
caregiver_1_3,elimination,engineered_compact,rf_balanced_subsample,20261119,sigmoid,0.021977658442635373,0.03988686102674346
caregiver_1_3,elimination,engineered_compact,rf_balanced_subsample,20261119,isotonic,0.016357323233223232,9.000000000039413e-07
caregiver_1_3,anxiety,engineered_compact,rf_pos_weight_mid,20261101,none,0.04089767810431867,0.031721710881190815
caregiver_1_3,anxiety,engineered_compact,rf_pos_weight_mid,20261101,sigmoid,0.04161205975760988,0.03889720565393179
caregiver_1_3,anxiety,engineered_compact,rf_pos_weight_mid,20261101,isotonic,0.036072339126686996,6.500000000210765e-07
