mode,domain,best_stage1_engineered_score,best_stage1_non_engineered_score,delta_engineered_minus_non,engineered_help_material
caregiver_1_3,adhd,0.7081621876361237,0.6728819362536418,0.03528025138248192,yes
caregiver_2_3,adhd,0.7818165234419456,0.7689882226833009,0.012828300758644717,yes
caregiver_full,adhd,0.7791224872158841,0.7701899064163584,0.008932580799525636,no
psychologist_1_3,adhd,0.7102527094711153,0.6769143278080938,0.0333383816630215,yes
psychologist_2_3,adhd,0.780178874790684,0.7747302710305312,0.005448603760152881,no
psychologist_full,adhd,0.8921656383716969,0.8828471619732554,0.009318476398441522,no
caregiver_1_3,anxiety,0.8086547655638527,0.7147684718984116,0.0938862936654411,yes
caregiver_2_3,anxiety,0.8471494419976421,0.8511917696367017,-0.004042327639059651,no
caregiver_full,anxiety,0.8490516981761708,0.8532189489134233,-0.004167250737252548,no
psychologist_1_3,anxiety,0.8075705470770226,0.8035444562808611,0.004026090796161452,no
psychologist_2_3,anxiety,0.8441353578635582,0.8570106406250461,-0.01287528276148786,no
psychologist_full,anxiety,0.849966295672598,0.8579969570640856,-0.00803066139148767,no
caregiver_1_3,conduct,0.8164243830853977,0.8223777972688426,-0.005953414183444972,no
caregiver_2_3,conduct,0.9143916828980969,0.9131476709356829,0.0012440119624139712,no
caregiver_full,conduct,0.9143358184964578,0.9129782516017286,0.0013575668947292119,no
psychologist_1_3,conduct,0.8197237094717554,0.8264901464691413,-0.006766436997385883,no
psychologist_2_3,conduct,0.9143234143849104,0.9142144856526927,0.00010892873221768351,no
psychologist_full,conduct,0.9140743437077948,0.9140991052452655,-2.4761537470663342e-05,no
caregiver_1_3,depression,0.7275658947846856,0.7550447308845386,-0.02747883609985302,no
caregiver_2_3,depression,0.800012434307504,0.8057449989926342,-0.00573256468513017,no
caregiver_full,depression,0.8210553651586902,0.8075972711488658,0.01345809400982434,yes
psychologist_1_3,depression,0.7389371282727736,0.758714442937529,-0.019777314664755408,no
psychologist_2_3,depression,0.8000760208787445,0.8034784531112884,-0.003402432232543884,no
psychologist_full,depression,0.8279418127221099,0.8103375171348999,0.017604295587209995,yes
caregiver_1_3,elimination,0.8286007351091706,0.815058812466295,0.013541922642875681,yes
caregiver_2_3,elimination,0.8999738232387232,0.8992097349427965,0.0007640882959266682,no
caregiver_full,elimination,0.8910919145521426,0.8903619358163553,0.0007299787357873955,no
psychologist_1_3,elimination,0.8263947140353675,0.7914660987153507,0.03492861532001679,yes
psychologist_2_3,elimination,0.8941534212296287,0.8940964878334938,5.693339613488391e-05,no
psychologist_full,elimination,0.8912116669679389,0.8894882874945444,0.0017233794733944041,no
