feature,keep_for_new_primary_line,removal_reason,layer,is_direct_input,is_transparent_derived,visible_in_modes_matrix,depends_on_external_instrument_or_score
adhd_final_dsm5_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
adhd_presentation_code,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
agor_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
anxiety_any_module_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
anxiety_module_count_positive,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
ari_p_symptom_total,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
ari_sr_symptom_total,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
conduct_final_dsm5_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
conduct_lpe_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
conduct_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
dmdd_age_6_to_18,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
dmdd_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
elimination_any_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
elimination_type_code,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
encopresis_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
enuresis_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
gad_threshold_met_child,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
icut_total,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
mdd_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
mfq_p_total,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
pdd_threshold_met_child,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
scared_p_generalized_anxiety,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_p_panic_somatic,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_p_possible_anxiety_disorder_cut25,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_p_school_avoidance,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_p_separation_anxiety,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_p_social_anxiety,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_p_total,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_sr_generalized_anxiety,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_sr_panic_somatic,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_sr_possible_anxiety_disorder_cut25,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_sr_school_avoidance,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_sr_separation_anxiety,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_sr_social_anxiety,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
scared_sr_total,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
sdq_conduct_problems,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
sdq_emotional_symptoms,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
sdq_hyperactivity_inattention,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
sdq_impact,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
sdq_peer_problems,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
sdq_prosocial_behavior,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
sdq_total_difficulties,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
sep_anx_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
social_anxiety_threshold_met,no,potential_leakage_or_target_proxy,dsm5,no,yes,no,no
swan_hyperactive_impulsive_total,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
swan_inattention_total,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
swan_total,no,explicit_external_score_or_subscale_excluded,clean_base,yes,no,yes,yes
target_domain_adhd_final,no,target_column,clean_base,no,no,no,no
target_domain_anxiety_final,no,target_column,clean_base,no,no,no,no
target_domain_conduct_final,no,target_column,clean_base,no,no,no,no
target_domain_depression_final,no,target_column,clean_base,no,no,no,no
target_domain_elimination_final,no,target_column,clean_base,no,no,no,no
