mode,role,domain,feature_set_id,config_id,calibration,threshold_policy,threshold,seed,n_features,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,train_precision,train_recall,train_balanced_accuracy,val_precision,val_recall,val_balanced_accuracy,overfit_gap_train_val_ba,generalization_gap_val_holdout_ba,overfit_warning,baseline_holdout_precision,baseline_holdout_recall,baseline_holdout_ba,baseline_holdout_pr_auc,baseline_holdout_brier,delta_vs_baseline_precision,delta_vs_baseline_ba,delta_vs_baseline_pr_auc,delta_vs_baseline_brier,material_gain_vs_baseline,quality_label,ceiling_status,should_keep_improving,final_status,notes
caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,isotonic,default_0_5,0.5,20261119,58,0.6212121212121212,0.8723404255319149,0.8704663212435233,0.8714033733877191,0.7256637168141593,0.9276402822180575,0.6319179403335605,0.08682787280441553,0.6915422885572139,0.9858156028368794,0.9393672141990961,0.704,0.9361702127659575,0.9201576452430824,0.019209568956013667,0.048754271855363296,no,0.6595744680851063,0.6595744680851063,0.7883364568404807,0.6491643421246305,0.08649182093355344,-0.03836234687298512,0.08306691654723841,-0.017246401791069954,0.00033605187086209465,yes,malo,marginal_room_left,only_if_new_signal,HOLD_FOR_LIMITATION,clean_universe_no_external_scores
caregiver_2_3,caregiver,adhd,engineered_compact,rf_regularized,isotonic,default_0_5,0.5,20261101,43,0.7017543859649122,0.851063829787234,0.9119170984455959,0.881490464116415,0.7692307692307693,0.9492613824275162,0.7044217957677258,0.07256724664934806,0.7857142857142857,0.975177304964539,0.9552052327931504,0.7946428571428571,0.9468085106382979,0.9436115092051593,0.011593723587991045,0.06212104508874439,yes,0.7252747252747253,0.7021276595744681,0.8186804100981149,0.7211321177427233,0.07421943177338869,-0.02352033930981301,0.06281005401830009,-0.016710321974997555,-0.0016521851240406255,yes,malo,marginal_room_left,only_if_new_signal,HOLD_FOR_LIMITATION,clean_universe_no_external_scores
caregiver_full,caregiver,adhd,engineered_compact,rf_balanced_subsample,isotonic,recall_constrained,0.4049999999999999,20261119,53,0.7403846153846154,0.8191489361702128,0.9300518134715026,0.8746003748208577,0.7777777777777778,0.9506394002866277,0.7118788252075036,0.06872181309614778,0.9463087248322147,1.0,0.9930915371329879,0.819047619047619,0.9148936170212766,0.9328354095469078,0.06025612758608012,0.05823503472605007,no,0.7159090909090909,0.6702127659574468,0.8027229632896042,0.7040623101829879,0.07727222841123561,0.02447552447552448,0.07187741153125349,0.007816515024515636,-0.008550415315087836,yes,malo,marginal_room_left,only_if_new_signal,HOLD_FOR_LIMITATION,clean_universe_no_external_scores
psychologist_1_3,psychologist,adhd,engineered_compact,rf_balanced_subsample,isotonic,balanced,0.18,20261101,30,0.6148148148148148,0.8829787234042553,0.8652849740932642,0.8741318487487597,0.7248908296943232,0.9259453202513506,0.6375451264670481,0.08417327519767266,0.7540106951871658,1.0,0.9602763385146804,0.7007874015748031,0.9468085106382979,0.9241814573916878,0.03609488112299264,0.05004960864292807,no,0.65625,0.6702127659574468,0.7923602689890861,0.6568749913147705,0.0862337372397045,-0.041435185185185186,0.08177157975967364,-0.019329864847722367,-0.0020604620420318354,yes,malo,marginal_room_left,only_if_new_signal,HOLD_FOR_LIMITATION,clean_universe_no_external_scores
psychologist_2_3,psychologist,adhd,engineered_pruned,rf_regularized,isotonic,precision_min_recall,0.5049999999999999,20261101,70,0.7289719626168224,0.8297872340425532,0.9248704663212435,0.8773288501818983,0.7761194029850746,0.9539604233270863,0.7337389775224177,0.06800433617654567,0.8348623853211009,0.9680851063829787,0.9607264910153235,0.8037383177570093,0.9148936170212766,0.9302447359717783,0.030481755043545222,0.052915885789879935,no,0.7142857142857143,0.6914893617021277,0.81206592437438,0.7176008715501938,0.07471940431690416,0.014686248331108098,0.06526292580751836,0.01613810597222387,-0.006715068140358493,yes,malo,marginal_room_left,only_if_new_signal,HOLD_FOR_LIMITATION,clean_universe_no_external_scores
psychologist_full,psychologist,adhd,engineered_full,rf_precision_push,isotonic,precision_min_recall,0.5049999999999999,20261101,161,0.9294117647058824,0.8404255319148937,0.9844559585492227,0.9124407452320582,0.88268156424581,0.9892652408775218,0.9271313857162289,0.030232934405216873,1.0,0.9574468085106383,0.9787234042553192,1.0,0.925531914893617,0.9627659574468085,0.015957446808510745,0.05032521221475028,no,0.9577464788732394,0.723404255319149,0.8578161172968801,0.9187174886685263,0.057792905123159224,-0.028334714167357,0.05462462793517808,0.008413897047702568,-0.02755997071794235,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores
caregiver_1_3,caregiver,anxiety,engineered_full,rf_pos_weight_mid,isotonic,recall_constrained,0.31999999999999995,20261101,58,0.8875,0.8255813953488372,0.9771573604060914,0.9013693778774643,0.8554216867469879,0.9767441860465116,0.9266917820093952,0.03683583941159821,0.967479674796748,0.9224806201550387,0.9578562153228662,0.9012345679012346,0.8488372093023255,0.9142663203872035,0.04358989493566279,0.012896942509739162,no,0.9054054054054054,0.7790697674418605,0.8806516349899658,0.9056420584372699,0.04871919755206622,-0.017905405405405417,0.020717742887498503,0.021049723572125312,-0.011883358140468009,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores
caregiver_2_3,caregiver,anxiety,compact_subset,rf_pos_weight_mid,isotonic,balanced,0.33499999999999996,20261119,44,0.8735632183908046,0.8837209302325582,0.9720812182741116,0.9279010742533349,0.8786127167630058,0.9918840750796836,0.9524808419049929,0.03067558229537218,0.9770114942528736,0.9883720930232558,0.991647975445638,0.9382716049382716,0.8837209302325582,0.9355152874513044,0.056132687994333574,0.0076142131979695105,no,0.9487179487179487,0.8604651162790697,0.9251564160075552,0.9663347506901182,0.029664904196585833,-0.07515473032714404,0.002744658245779741,-0.013853908785125268,0.0010106780987863481,no,bueno,ceiling_confirmed,no_practical_ceiling_confirmed,FROZEN_PRIMARY,clean_universe_no_external_scores
caregiver_full,caregiver,anxiety,precision_oriented_subset,rf_precision_push,isotonic,balanced,0.295,20261101,51,0.9166666666666666,0.8953488372093024,0.9822335025380711,0.9387911698736867,0.9058823529411765,0.9911462637232913,0.9465380549682876,0.027443504875430833,0.9728682170542635,0.9728682170542635,0.9834730256168103,0.95,0.8837209302325582,0.9367843229842994,0.0466887026325109,0.002006846889387348,no,0.9367088607594937,0.8604651162790697,0.9238873804745602,0.965560713633351,0.02984227686866943,-0.020042194092827037,0.01490378939912651,-0.019022658665063474,-0.0023987719932385965,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores
psychologist_1_3,psychologist,anxiety,engineered_full,rf_precision_push,isotonic,precision_min_recall,0.61,20261119,69,0.9538461538461539,0.7209302325581395,0.9923857868020305,0.856658009680085,0.8211920529801324,0.9836058316609609,0.9167286511795306,0.03557091592043544,1.0,0.7751937984496124,0.8875968992248062,0.9538461538461539,0.7209302325581395,0.856658009680085,0.030938889544721238,0.0,no,0.9102564102564102,0.8255813953488372,0.9039074489434542,0.949352830947655,0.036878662958091606,0.04358974358974366,-0.04724943926336922,-0.03262417976812437,-0.0013077470376561678,no,aceptable,near_ceiling,no,FROZEN_WITH_CAVEAT,clean_universe_no_external_scores
psychologist_2_3,psychologist,anxiety,precision_oriented_subset,rf_precision_push,isotonic,balanced,0.22999999999999998,20261101,41,0.9058823529411765,0.8953488372093024,0.9796954314720813,0.9375221343406919,0.9005847953216374,0.9898182032817849,0.9302876127154679,0.03021801483794562,0.9657794676806084,0.9844961240310077,0.9884409554165191,0.9506172839506173,0.8953488372093024,0.9425982764726715,0.04584267894384764,0.0050761421319796,no,0.9493670886075949,0.872093023255814,0.9309703694959273,0.9648005347775419,0.029572368304172907,-0.04348473566641842,0.006551764844764607,-0.034512922062074014,0.0006456465337727132,no,muy_bueno,ceiling_confirmed,no_practical_ceiling_confirmed,FROZEN_PRIMARY,clean_universe_no_external_scores
psychologist_full,psychologist,anxiety,precision_oriented_subset,rf_precision_push,isotonic,default_0_5,0.5,20261101,61,0.9156626506024096,0.8837209302325582,0.9822335025380711,0.9329772163853146,0.8994082840236687,0.9911610199504192,0.9442183163908962,0.026760853373639037,0.9728682170542635,0.9728682170542635,0.9834730256168103,0.95,0.8837209302325582,0.9367843229842994,0.0466887026325109,0.0038071065989847552,no,0.948051948051948,0.8488372093023255,0.9193424625191831,0.9639696451092471,0.03116914614929465,-0.032389297449538446,0.013634753866131555,-0.019751328718350947,-0.004408292775655614,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores
caregiver_1_3,caregiver,conduct,precision_oriented_subset,rf_baseline,none,recall_constrained,0.59,20261101,20,0.9019607843137255,0.8625,0.953125,0.9078125,0.8817891373801917,0.97841796875,0.9500801871541836,0.056385438547920136,1.0,0.9603340292275574,0.9801670146137786,0.9251700680272109,0.8553459119496856,0.91053899958855,0.06962801502522864,0.00272649958854998,no,0.8805031446540881,0.875,0.9078125,0.9470554141527294,0.059860580396651014,0.02145763965963743,0.0,0.0030247730014542062,-0.0034751418487308783,yes,bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores
caregiver_2_3,caregiver,conduct,engineered_compact,rf_baseline,isotonic,recall_constrained,0.5049999999999999,20261119,43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001274432464644938,1.0,1.0,1.0,0.9937106918238994,0.9937106918238994,0.9952977135131957,0.0047022864868042635,0.0047022864868042635,no,1.0,0.99375,0.996875,0.9999611801242235,0.01793671422988886,0.0,0.0031250000000000444,3.881987577647461e-05,-0.01666228176524392,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores
caregiver_full,caregiver,conduct,engineered_compact,rf_balanced_subsample,isotonic,precision_min_recall,0.5049999999999999,20261101,53,1.0,0.99375,1.0,0.996875,0.9968652037617555,1.0,1.0,0.0013267998081757956,1.0,1.0,1.0,0.9937106918238994,0.9937106918238994,0.9952977135131957,0.0047022864868042635,0.0015772864868042191,no,1.0,0.98125,0.990625,0.9999221176242234,0.02057275993882699,0.0,0.006249999999999978,7.78823757765501e-05,-0.019245960130651194,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores
psychologist_1_3,psychologist,conduct,compact_subset,rf_recall_guard,sigmoid,recall_constrained,0.6449999999999999,20261101,27,0.9090909090909091,0.8125,0.959375,0.8859375,0.858085808580858,0.97728515625,0.9542627941351365,0.058544051629458825,1.0,0.9791231732776617,0.9895615866388309,0.9357142857142857,0.8238993710691824,0.8979309939458062,0.09163059269302465,0.011993493945806177,yes,0.8860759493670886,0.875,0.909375,0.9553047258451357,0.058266854669638754,0.023014959723820505,-0.0234375,-0.001041931709999222,0.00027719695982007103,no,aceptable,near_ceiling,no,FROZEN_WITH_CAVEAT,clean_universe_no_external_scores
psychologist_2_3,psychologist,conduct,engineered_compact,rf_balanced_subsample,isotonic,recall_constrained,0.5049999999999999,20261101,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010954785521607457,1.0,1.0,1.0,0.9937106918238994,0.9937106918238994,0.9952977135131957,0.0047022864868042635,0.0047022864868042635,no,1.0,0.98125,0.990625,0.9997699212240568,0.019818721955486018,0.0,0.009375000000000022,0.0002300787759431655,-0.018723243403325273,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores
psychologist_full,psychologist,conduct,engineered_compact,rf_baseline,isotonic,recall_constrained,0.5049999999999999,20261119,62,1.0,0.99375,1.0,0.996875,0.9968652037617555,1.0,1.0,0.001248309268289031,1.0,1.0,1.0,0.9937106918238994,0.9937106918238994,0.9952977135131957,0.0047022864868042635,0.0015772864868042191,no,0.9935064935064936,0.95625,0.9765625,0.9992337351393148,0.023089907234025337,0.00649350649350644,0.020312499999999956,0.0007662648606852063,-0.021841597965736308,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores
caregiver_1_3,caregiver,depression,precision_oriented_subset,rf_baseline,none,recall_constrained,0.5299999999999999,20261101,20,0.8059701492537313,0.6585365853658537,0.9673366834170855,0.8129366343914696,0.7248322147651006,0.9582822649834539,0.764765007527117,0.0600670985657974,0.9874476987447699,0.963265306122449,0.9803774229357014,0.8356164383561644,0.7439024390243902,0.8568758426277729,0.12350158030792846,0.04393920823630337,yes,0.8055555555555556,0.7073170731707317,0.8360705968868734,0.7888509174527968,0.061003482055850676,0.0004145936981757581,-0.02313396249540378,-0.024085909925679827,-0.0009363834900532747,no,malo,near_ceiling,only_if_new_signal,HOLD_FOR_LIMITATION,clean_universe_no_external_scores
caregiver_2_3,caregiver,depression,full_eligible,rf_precision_push,isotonic,recall_constrained,0.21499999999999997,20261119,98,0.8313253012048193,0.8414634146341463,0.964824120603015,0.9031437676185807,0.8363636363636363,0.9573630346856232,0.8434143874736915,0.045455386362202914,0.9409448818897638,0.9755102040816327,0.9814789514132013,0.8539325842696629,0.926829268292683,0.9470829758548842,0.03439597555831708,0.043939208236303484,no,0.8888888888888888,0.7804878048780488,0.8801936511827431,0.8593944780351532,0.04888910098907813,-0.05756358768406955,0.022950116435837664,-0.01598009056146177,-0.003433714626875216,yes,malo,marginal_room_left,only_if_new_signal,HOLD_FOR_LIMITATION,clean_universe_no_external_scores
caregiver_full,caregiver,depression,engineered_pruned,rf_precision_push,isotonic,precision_min_recall,0.5049999999999999,20261101,85,0.8481012658227848,0.8170731707317073,0.9698492462311558,0.8934612084814315,0.8322981366459627,0.9732657188380929,0.8665383358161101,0.04603331333776021,0.9484126984126984,0.9755102040816327,0.9823157714968833,0.8987341772151899,0.8658536585365854,0.9228765780120113,0.05943919348487203,0.02941536953057977,no,0.8732394366197183,0.7560975609756098,0.8667422478244883,0.86001980524993,0.04689075478381008,-0.02513817079693348,0.026718960656943236,0.006518530566180014,-0.0008574414460498711,yes,aceptable,marginal_room_left,yes,FROZEN_WITH_CAVEAT,clean_universe_no_external_scores
psychologist_1_3,psychologist,depression,stability_pruned_subset,rf_baseline,isotonic,default_0_5,0.5,20261101,30,0.7974683544303798,0.7682926829268293,0.9597989949748744,0.8640458389508519,0.782608695652174,0.9483852187768109,0.7681311253035743,0.05653043467536855,0.9878048780487805,0.9918367346938776,0.9946631372214157,0.8333333333333334,0.7926829268292683,0.8800098051231768,0.11465333209823891,0.015963966172324984,yes,0.7866666666666666,0.7195121951219512,0.8396555950484128,0.8033035924988325,0.0576213433359125,0.010801687763713153,0.024390243902439046,-0.03517246719525824,-0.0010909086605439475,yes,malo,marginal_room_left,only_if_new_signal,HOLD_FOR_LIMITATION,clean_universe_no_external_scores
psychologist_2_3,psychologist,depression,full_eligible,rf_pos_weight_mid,isotonic,recall_constrained,0.5049999999999999,20261101,102,0.8271604938271605,0.8170731707317073,0.964824120603015,0.8909486456673612,0.8220858895705522,0.9556777791396005,0.8330408560571644,0.047902806936322345,0.9457364341085271,0.9959183673469387,0.9921014430876953,0.875,0.8536585365853658,0.9142664542223311,0.07783498886536422,0.0233178085549699,yes,0.8873239436619719,0.7682926829268293,0.8740960902071333,0.8437866843676272,0.04841563439892002,-0.06016344983481137,0.016852555460227903,-0.01074582831046278,-0.0005128274625976759,yes,malo,marginal_room_left,only_if_new_signal,HOLD_FOR_LIMITATION,clean_universe_no_external_scores
psychologist_full,psychologist,depression,engineered_full,rf_pos_weight_mid,sigmoid,balanced,0.3449999999999999,20261101,161,0.8375,0.8170731707317073,0.9673366834170855,0.8922049270743964,0.8271604938271605,0.9846488540262286,0.9406015747168404,0.03915955565824783,0.976,0.9959183673469387,0.9954487234224234,0.9113924050632911,0.8780487804878049,0.9302304203946562,0.06521830302776721,0.03802549332025984,no,0.9104477611940298,0.7439024390243902,0.8644135310699841,0.8981755376513814,0.04683885850260609,-0.07294776119402979,0.027791396004412272,0.042426037065459,-0.007679302844358263,yes,aceptable,marginal_room_left,yes,FROZEN_WITH_CAVEAT,clean_universe_no_external_scores
caregiver_1_3,caregiver,elimination,engineered_compact,rf_pos_weight_mid,none,precision_min_recall,0.7999999999999999,20261119,26,0.9411764705882353,0.6153846153846154,0.9953271028037384,0.805355859094177,0.7441860465116279,0.9909013299784328,0.8786487353369938,0.021928697331088157,1.0,0.8451612903225807,0.9225806451612903,1.0,0.6923076923076923,0.8461538461538461,0.0764267990074442,0.040797987059669194,yes,0.8333333333333334,0.6730769230769231,0.8283608914450036,0.8715836876493683,0.03408515349060105,0.10784313725490191,-0.023005032350826626,0.007065047687625503,-0.012156456159512895,yes,malo,marginal_room_left,only_if_new_signal,HOLD_FOR_LIMITATION,clean_universe_no_external_scores
caregiver_2_3,caregiver,elimination,engineered_compact,rf_recall_guard,isotonic,balanced,0.20499999999999996,20261101,43,0.9259259259259259,0.9615384615384616,0.9906542056074766,0.9760963335729691,0.9433962264150944,0.9970794392523366,0.955947602524266,0.010039232809337021,0.9872611464968153,1.0,0.9992217898832685,0.9807692307692307,0.9807692307692307,0.9892163910855499,0.010005398797718557,0.01312005751258083,no,0.9615384615384616,0.9615384615384616,0.9784327821711,0.9565621748864778,0.015587451739941157,-0.035612535612535634,-0.002336448598130869,-0.0006145723622117405,-0.005548218930604136,no,muy_bueno,ceiling_confirmed,no_practical_ceiling_confirmed,FROZEN_PRIMARY,clean_universe_no_external_scores
caregiver_full,caregiver,elimination,engineered_compact,rf_baseline,isotonic,precision_min_recall,0.5049999999999999,20261101,53,0.9615384615384616,0.9615384615384616,0.9953271028037384,0.9784327821711,0.9615384615384616,0.997214234363767,0.9582613967229352,0.008133726547462859,1.0,1.0,1.0,1.0,0.9230769230769231,0.9615384615384616,0.038461538461538436,0.016894320632638404,no,0.9259259259259259,0.9615384615384616,0.9760963335729691,0.9550129416014175,0.016076529218754555,0.035612535612535634,0.002336448598130869,0.0032484551215177238,-0.007942802671291696,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores
psychologist_1_3,psychologist,elimination,engineered_compact,rf_regularized,sigmoid,precision_min_recall,0.6749999999999999,20261101,30,0.85,0.6538461538461539,0.985981308411215,0.8199137311286844,0.7391304347826086,0.9902048885693746,0.8828019558333814,0.023766655849235693,0.9858156028368794,0.896774193548387,0.947608886657462,1.0,0.6730769230769231,0.8365384615384616,0.11107042511900045,0.01662473040977719,yes,0.8378378378378378,0.5961538461538461,0.7910675772825306,0.8711771003138509,0.036991515238559855,0.012162162162162149,0.028846153846153744,0.01162485551953052,-0.013224859389324162,yes,malo,marginal_room_left,only_if_new_signal,HOLD_FOR_LIMITATION,clean_universe_no_external_scores
psychologist_2_3,psychologist,elimination,engineered_pruned,rf_recall_guard,isotonic,precision_min_recall,0.5049999999999999,20261101,70,0.9615384615384616,0.9615384615384616,0.9953271028037384,0.9784327821711,0.9615384615384616,0.997191768511862,0.9577045405984319,0.008223382420301186,1.0,1.0,1.0,1.0,0.9230769230769231,0.9615384615384616,0.038461538461538436,0.016894320632638404,no,0.9607843137254902,0.9423076923076923,0.9688173975557153,0.9418060759728882,0.016389823327321713,0.0007541478129713397,0.009615384615384692,0.015898464625543673,-0.008166440907020527,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores
