trial_id,stage,mode,role,domain,feature_set_id,config_id,seed,calibration,threshold_policy,threshold,n_features,stage_score,selected_for_stage2,train_precision,train_recall,train_specificity,train_balanced_accuracy,train_f1,train_roc_auc,train_pr_auc,train_brier,train_accuracy,val_precision,val_recall,val_specificity,val_balanced_accuracy,val_f1,val_roc_auc,val_pr_auc,val_brier,val_accuracy,val_objective,overfit_gap_ba,threshold_policy_score,holdout_precision,holdout_recall,holdout_specificity,holdout_balanced_accuracy,holdout_f1,holdout_roc_auc,holdout_pr_auc,holdout_brier,holdout_accuracy
1,stage1,caregiver_1_3,caregiver,adhd,full_eligible,rf_baseline,20261101,none,default_0_5,0.5,49,0.6557331952496586,no,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018205727626714165,1.0,0.7191011235955056,0.6808510638297872,0.9352331606217616,0.8080421122257744,0.6994535519125683,0.9440800352772573,0.7300830973273843,0.07677045309018568,0.8854166666666666,0.6557331952496586,0.19195788777422562,,,,,,,,,,
2,stage1,caregiver_1_3,caregiver,adhd,full_eligible,rf_balanced_subsample,20261101,none,default_0_5,0.5,49,0.6594996949453464,no,0.9067524115755627,1.0,0.9749568221070811,0.9874784110535406,0.9510961214165261,0.9999173189284533,0.9996710510777724,0.027724359004023716,0.9798611111111111,0.7040816326530612,0.7340425531914894,0.9248704663212435,0.8294565097563664,0.71875,0.9433634659905192,0.7070977568381169,0.0760272734712326,0.8875,0.6594996949453464,0.1580219012971742,,,,,,,,,,
3,stage1,caregiver_1_3,caregiver,adhd,full_eligible,rf_precision_push,20261101,none,default_0_5,0.5,49,0.6424953794385634,no,0.9295302013422819,0.9822695035460993,0.9818652849740933,0.9820673942600964,0.9551724137931035,0.9989343328556205,0.996078106257828,0.0316863404203703,0.9819444444444444,0.6881720430107527,0.6808510638297872,0.9248704663212435,0.8028607650755153,0.6844919786096256,0.9430603020615147,0.7251617245935799,0.07691969094033033,0.8770833333333333,0.6424953794385634,0.17920662918458108,,,,,,,,,,
4,stage1,caregiver_1_3,caregiver,adhd,full_eligible,rf_recall_guard,20261101,none,default_0_5,0.5,49,0.637527971831781,no,0.9964664310954063,1.0,0.9991364421416234,0.9995682210708117,0.9982300884955753,1.0,1.0,0.019298898490606217,0.9993055555555556,0.7011494252873564,0.648936170212766,0.9326424870466321,0.790789328629699,0.6740331491712708,0.9454580531363688,0.7188526734974936,0.07663057701254353,0.8770833333333333,0.637527971831781,0.2087788924411127,,,,,,,,,,
5,stage1,caregiver_1_3,caregiver,adhd,full_eligible,rf_regularized,20261101,none,default_0_5,0.5,49,0.6651620419001981,no,0.7322834645669292,0.9893617021276596,0.9119170984455959,0.9506394002866277,0.8416289592760181,0.9922310415365205,0.9691434686868896,0.04833560294537319,0.9270833333333334,0.6581196581196581,0.8191489361702128,0.8963730569948186,0.8577609965825157,0.7298578199052133,0.9433910263477014,0.720098069388083,0.07741457829917481,0.88125,0.6651620419001981,0.09287840370411204,,,,,,,,,,
6,stage1,caregiver_1_3,caregiver,adhd,full_eligible,rf_pos_weight_mid,20261101,none,default_0_5,0.5,49,0.6552114742601124,no,0.9427609427609428,0.9929078014184397,0.9853195164075993,0.9891136589130195,0.9671848013816926,0.9997672680949056,0.9991144415177478,0.026544839225215947,0.9868055555555556,0.7052631578947368,0.7127659574468085,0.927461139896373,0.8201135486715907,0.708994708994709,0.9414618013449454,0.7118919777173874,0.0779772661078976,0.8854166666666666,0.6552114742601124,0.1690001102414288,,,,,,,,,,
7,stage1,caregiver_1_3,caregiver,adhd,compact_subset,rf_baseline,20261101,none,default_0_5,0.5,22,0.6553250904611716,no,0.9964539007092199,0.9964539007092199,0.9991364421416234,0.9977951714254216,0.9964539007092199,0.9999663151189995,0.9998659834232864,0.021375537282334257,0.9986111111111111,0.7191011235955056,0.6808510638297872,0.9352331606217616,0.8080421122257744,0.6994535519125683,0.9456509756366442,0.726418360856147,0.07638214160421214,0.8854166666666666,0.6553250904611716,0.18975305919964724,,,,,,,,,,
8,stage1,caregiver_1_3,caregiver,adhd,compact_subset,rf_balanced_subsample,20261101,none,default_0_5,0.5,22,0.6505702137781134,no,0.815028901734104,1.0,0.9447322970639033,0.9723661485319517,0.8980891719745223,0.9985056161883413,0.9937427573541093,0.034169583451717285,0.9555555555555556,0.6730769230769231,0.7446808510638298,0.9119170984455959,0.8282989747547128,0.7070707070707071,0.9437768713482526,0.7144293445549152,0.07638698927913427,0.8791666666666667,0.6505702137781134,0.14406717377723888,,,,,,,,,,
9,stage1,caregiver_1_3,caregiver,adhd,compact_subset,rf_precision_push,20261101,none,default_0_5,0.5,22,0.6423232325493274,no,0.887459807073955,0.9787234042553191,0.9697754749568221,0.9742494396060706,0.9308600337268128,0.9968918041622263,0.9878490113738057,0.03619054646946899,0.9715277777777778,0.6767676767676768,0.7127659574468085,0.917098445595855,0.8149322015213317,0.694300518134715,0.9403869474148385,0.7053972842014835,0.07854937019171028,0.8770833333333333,0.6423232325493274,0.15931723808473885,,,,,,,,,,
10,stage1,caregiver_1_3,caregiver,adhd,compact_subset,rf_recall_guard,20261101,none,default_0_5,0.5,22,0.645165799102181,no,0.9656357388316151,0.9964539007092199,0.9913644214162349,0.9939091610627274,0.9808027923211169,0.9999632528570903,0.9998534974710934,0.022824814733367078,0.9923611111111111,0.6914893617021277,0.6914893617021277,0.9248704663212435,0.8081799140116857,0.6914893617021277,0.9454580531363687,0.7226284177936394,0.07552814511797973,0.8791666666666667,0.645165799102181,0.18572924705104177,,,,,,,,,,
