domain,mode,selected_source
adhd,caregiver_1_3,rebuild_v2
adhd,caregiver_2_3,rebuild_v2
adhd,caregiver_full,rebuild_v2
adhd,psychologist_1_3,rebuild_v2
adhd,psychologist_2_3,rebuild_v2
adhd,psychologist_full,rebuild_v2
anxiety,caregiver_1_3,rebuild_v2
anxiety,caregiver_2_3,rebuild_v2
anxiety,caregiver_full,rebuild_v2
anxiety,psychologist_1_3,rebuild_v2
anxiety,psychologist_2_3,rebuild_v2
anxiety,psychologist_full,rebuild_v2
conduct,caregiver_1_3,rebuild_v2
conduct,caregiver_2_3,rebuild_v2
conduct,caregiver_full,rebuild_v2
conduct,psychologist_1_3,rebuild_v2
conduct,psychologist_2_3,rebuild_v2
conduct,psychologist_full,rebuild_v2
depression,caregiver_1_3,rebuild_v2
depression,caregiver_2_3,rebuild_v2
depression,caregiver_full,boosted_v3
depression,psychologist_1_3,rebuild_v2
depression,psychologist_2_3,rebuild_v2
depression,psychologist_full,boosted_v3
elimination,caregiver_1_3,boosted_v3
elimination,caregiver_2_3,rebuild_v2
elimination,caregiver_full,rebuild_v2
elimination,psychologist_1_3,boosted_v3
elimination,psychologist_2_3,rebuild_v2
elimination,psychologist_full,rebuild_v2
