domain,mode,source_campaign,model_family,feature_set_id,calibration,threshold_policy,threshold,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,quality_label,overfit_gap_train_val_ba,final_class,config_id,n_features
adhd,caregiver_1_3,hybrid_structural_mode_rescue_v1,rf,structural_dsm5_plus_context_1_3,none,f1_recall_structural_target_band,0.57,0.7073170731707317,0.925531914893617,0.9067357512953368,0.9161338330944768,0.8018433179723502,0.9538915224341308,0.7445006080765808,0.0753460583624701,malo,0.0476426707823467,HOLD_FOR_LIMITATION,rf_structural_regularized_v1,36.0
adhd,caregiver_2_3,hybrid_structural_mode_rescue_v1,rf,structural_compact_2_3,none,f1_recall_structural_target_band,0.54,0.7063492063492064,0.946808510638298,0.9041450777202072,0.9254767941792524,0.8090909090909091,0.9545529710065044,0.7295274311684008,0.0744408560108688,malo,0.0032980560761399,HOLD_FOR_LIMITATION,rf_structural_regularized_v1,69.0
adhd,caregiver_full,rebuild_v2,rf,engineered_compact,isotonic,recall_constrained,0.4049999999999999,0.7403846153846154,0.8191489361702128,0.9300518134715026,0.8746003748208577,0.7777777777777778,0.9506394002866276,0.7118788252075036,0.0687218130961477,malo,0.0213225296733178,HOLD_FOR_LIMITATION,,
adhd,psychologist_1_3,hybrid_final_model_structural_compliance_v1,logreg,structural_ranked_direct,none,validation_f1_recall_precision_guard_v1,0.62,0.6640625,0.9042553191489362,0.8886010362694301,0.8964281777091831,0.7657657657657657,0.950446477786352,0.7241215262864815,0.0875123423719748,aceptable,0.0021588946459412,HOLD_FOR_LIMITATION,logreg_structural_guard_v1,9.0
adhd,psychologist_2_3,hybrid_structural_mode_rescue_v1,logreg,structural_ranked_2_3,none,f1_recall_structural_target_band,0.74,0.780952380952381,0.8723404255319149,0.9404145077720208,0.9063774666519678,0.8241206030150754,0.9777036710395768,0.91944061580705,0.0878566848290679,malo,0.0295263293278947,HOLD_FOR_LIMITATION,logreg_guard_mid_v1,101.0
adhd,psychologist_full,hybrid_v6_quick_champion_guard_hotfix_v1,logreg,dsm5_core_only,none,f1_recall_target_band,0.654,0.6910569105691057,0.9042553191489362,0.9015544041450776,0.902904861647007,0.783410138248848,0.9690497188843568,0.8323549472799558,0.0817923949186582,muy_bueno,0.0168669385955241,HOLD_FOR_LIMITATION,logreg_guard_fallback_v1,27.0
anxiety,psychologist_1_3,hybrid_final_model_structural_compliance_v1,logreg,legacy_structural_intersection,none,validation_f1_recall_precision_guard_v1,0.5599999999999999,0.7572815533980582,0.9069767441860463,0.9365482233502538,0.9217624837681502,0.8253968253968254,0.9792527446582456,0.924012075363762,0.0603310349484983,aceptable,-0.0404910872388146,HOLD_FOR_LIMITATION,logreg_structural_guard_v1,14.0
anxiety,psychologist_full,hybrid_structural_mode_rescue_v1,hgb,structural_ranked_full,none,f1_recall_structural_target_band,0.5,0.8222222222222222,0.8604651162790697,0.9593908629441624,0.909927989611616,0.8409090909090909,0.9744127021603116,0.8859771705054296,0.1061830434387351,bueno,0.0323456498642427,HOLD_FOR_LIMITATION,hgb_guard_mid_v1,151.0
conduct,caregiver_2_3,hybrid_structural_mode_rescue_v1,logreg,registry_stability_pruned_subset,none,f1_recall_structural_target_band,0.55,0.8426966292134831,0.9375,0.9125,0.925,0.8875739644970414,0.97568359375,0.950366891995128,0.0790929039136678,bueno,0.0895893184750032,HOLD_FOR_LIMITATION,logreg_guard_strong_v1,49.0
depression,caregiver_1_3,hybrid_structural_mode_rescue_v1,rf,structural_ranked_1_3,none,f1_recall_structural_target_band,0.59,0.7956989247311828,0.902439024390244,0.9522613065326632,0.9273501654614535,0.8457142857142858,0.9798994974874372,0.91517180652367,0.0501742162589722,malo,0.0620135029967384,HOLD_FOR_LIMITATION,rf_structural_regularized_v1,42.0
