domain,mode,source_campaign,note
adhd,caregiver_1_3,rebuild_v2,bootstrap from source campaign
adhd,caregiver_2_3,rebuild_v2,bootstrap from source campaign
adhd,caregiver_full,rebuild_v2,bootstrap from source campaign
adhd,psychologist_1_3,rebuild_v2,bootstrap from source campaign
adhd,psychologist_2_3,rebuild_v2,bootstrap from source campaign
adhd,psychologist_full,rebuild_v2,bootstrap from source campaign
anxiety,caregiver_1_3,rebuild_v2,bootstrap from source campaign
anxiety,caregiver_2_3,final_honest_improvement_v1,bootstrap from source campaign
anxiety,caregiver_full,final_honest_improvement_v1,bootstrap from source campaign
anxiety,psychologist_1_3,rebuild_v2,bootstrap from source campaign
anxiety,psychologist_2_3,final_honest_improvement_v1,bootstrap from source campaign
anxiety,psychologist_full,final_honest_improvement_v1,bootstrap from source campaign
conduct,caregiver_1_3,rebuild_v2,bootstrap from source campaign
conduct,caregiver_2_3,conduct_honest_retrain_v1,bootstrap from source campaign
conduct,caregiver_full,conduct_honest_retrain_v1,bootstrap from source campaign
conduct,psychologist_1_3,rebuild_v2,bootstrap from source campaign
conduct,psychologist_2_3,conduct_honest_retrain_v1,bootstrap from source campaign
conduct,psychologist_full,conduct_honest_retrain_v1,bootstrap from source campaign
depression,caregiver_1_3,rebuild_v2,bootstrap from source campaign
depression,caregiver_2_3,rebuild_v2,bootstrap from source campaign
depression,caregiver_full,boosted_v3,bootstrap from source campaign
depression,psychologist_1_3,rebuild_v2,bootstrap from source campaign
depression,psychologist_2_3,final_honest_improvement_v1,bootstrap from source campaign
depression,psychologist_full,boosted_v3,bootstrap from source campaign
elimination,caregiver_1_3,boosted_v3,bootstrap from source campaign
elimination,caregiver_2_3,final_honest_improvement_v1,bootstrap from source campaign
elimination,caregiver_full,final_honest_improvement_v1,bootstrap from source campaign
elimination,psychologist_1_3,boosted_v3,bootstrap from source campaign
elimination,psychologist_2_3,final_honest_improvement_v1,bootstrap from source campaign
elimination,psychologist_full,final_honest_improvement_v1,bootstrap from source campaign
