domain,mode,source_campaign,model_family,feature_set_id,calibration,threshold_policy,threshold,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,quality_label,overfit_gap_train_val_ba,final_class,config_id,n_features
adhd,caregiver_1_3,rebuild_v2,rf,engineered_full,isotonic,default_0_5,0.5,0.6212121212121212,0.8723404255319149,0.8704663212435233,0.8714033733877191,0.7256637168141593,0.9276402822180576,0.6319179403335605,0.0868278728044155,malo,0.0476426707823467,REJECT_AS_PRIMARY,,
adhd,caregiver_2_3,rebuild_v2,rf,engineered_compact,isotonic,default_0_5,0.5,0.7017543859649122,0.851063829787234,0.911917098445596,0.881490464116415,0.7692307692307693,0.9492613824275162,0.7044217957677258,0.072567246649348,malo,0.0032980560761399,HOLD_FOR_LIMITATION,,
adhd,caregiver_full,rebuild_v2,rf,engineered_compact,isotonic,recall_constrained,0.4049999999999999,0.7403846153846154,0.8191489361702128,0.9300518134715026,0.8746003748208577,0.7777777777777778,0.9506394002866276,0.7118788252075036,0.0687218130961477,malo,0.0213225296733178,HOLD_FOR_LIMITATION,,
adhd,psychologist_1_3,rebuild_v2,rf,engineered_compact,isotonic,balanced,0.18,0.6148148148148148,0.8829787234042553,0.8652849740932642,0.8741318487487597,0.7248908296943232,0.9259453202513506,0.6375451264670481,0.0841732751976726,malo,0.0020027192885754,HOLD_FOR_LIMITATION,,
adhd,psychologist_2_3,rebuild_v2,rf,engineered_pruned,isotonic,precision_min_recall,0.5049999999999999,0.7289719626168224,0.8297872340425532,0.9248704663212436,0.8773288501818983,0.7761194029850746,0.9539604233270864,0.7337389775224177,0.0680043361765456,malo,0.0295263293278947,HOLD_FOR_LIMITATION,,
adhd,psychologist_full,hybrid_v6_quick_champion_guard_hotfix_v1,logreg,dsm5_core_only,none,f1_recall_target_band,0.654,0.6910569105691057,0.9042553191489362,0.9015544041450777,0.902904861647007,0.783410138248848,0.9690497188843568,0.8323549472799558,0.08179239491865822,muy_bueno,0.0168669385955241,HOLD_FOR_LIMITATION,logreg_guard_fallback_v1,27.0
anxiety,psychologist_1_3,hybrid_v6_quick_champion_guard_hotfix_v1,hgb,engineered_full,none,f1_recall_target_band,0.31800000000000006,0.79,0.9186046511627907,0.9467005076142132,0.9326525793885019,0.8494623655913979,0.9779837091252508,0.9104031229648485,0.043188862697825785,aceptable,-0.0127198677842049,REJECT_AS_PRIMARY,hgb_quick_guard_v1,69.0
conduct,caregiver_2_3,conduct_honest_retrain_v1,rf,engineered_compact_no_shortcuts_v1,none,precision_min_recall,0.6849999999999999,0.9280575539568344,0.80625,0.96875,0.8875,0.862876254180602,0.975859375,0.9476529887411712,0.0598134006093339,bueno,0.0895893184750032,REJECT_AS_PRIMARY,,
depression,caregiver_1_3,rebuild_v2,rf,precision_oriented_subset,none,recall_constrained,0.5299999999999999,0.8059701492537313,0.6585365853658537,0.9673366834170856,0.8129366343914696,0.7248322147651006,0.958282264983454,0.764765007527117,0.0600670985657974,malo,0.0620135029967384,HOLD_FOR_LIMITATION,,
depression,caregiver_2_3,hybrid_final_decisive_rescue_v5,rf,precision_oriented_subset,none,balanced,0.4399999999999999,0.7789473684210526,0.902439024390244,0.9472361809045228,0.9248376026473832,0.8361581920903954,0.9791334722392452,0.9185052705693368,0.0439804889728679,malo,0.0295357090816352,HOLD_FOR_LIMITATION,,
depression,caregiver_full,hybrid_v6_quick_champion_guard_hotfix_v1,hgb,no_shortcut_v1,none,f1_recall_target_band,0.4020000000000001,0.7710843373493976,0.7804878048780488,0.9522613065326633,0.866374555705356,0.7757575757575758,0.9722086039955877,0.8577614162582414,0.052270368941828724,bueno,0.0585190019107159,HOLD_FOR_LIMITATION,hgb_quick_guard_v1,125.0
depression,psychologist_1_3,rebuild_v2,rf,stability_pruned_subset,isotonic,default_0_5,0.5,0.7974683544303798,0.7682926829268293,0.9597989949748744,0.8640458389508519,0.782608695652174,0.9483852187768108,0.7681311253035743,0.0565304346753685,malo,0.0425164172338623,HOLD_FOR_LIMITATION,,
depression,psychologist_2_3,final_honest_improvement_v1,rf,compact_subset,none,balanced,0.3949999999999999,0.7872340425531915,0.902439024390244,0.949748743718593,0.9260938840544184,0.8409090909090909,0.9794092413285942,0.8675121016971403,0.0429005294006906,aceptable,0.0283597546873053,HOLD_FOR_LIMITATION,,
elimination,caregiver_1_3,hybrid_v6_quick_champion_guard_hotfix_v1,logreg,dsm5_core_single__enuresis_duration_months_consecutive,none,f1_recall_target_band,0.5,0.7796610169491526,0.8846153846153846,0.969626168224299,0.9271207764198418,0.8288288288288288,0.9248741912293315,0.6759347521345737,0.05968683684824389,bueno,0.0405293059607761,HOLD_FOR_LIMITATION,logreg_guard_single_feature_v1,1.0
elimination,psychologist_1_3,hybrid_v6_quick_champion_guard_hotfix_v1,logreg,dsm5_core_single__enuresis_duration_months_consecutive,none,f1_recall_target_band,0.5,0.7796610169491526,0.8846153846153846,0.969626168224299,0.9271207764198418,0.8288288288288288,0.9248741912293315,0.6759347521345737,0.05968683684824389,muy_bueno,0.0740483570031917,HOLD_FOR_LIMITATION,logreg_guard_single_feature_v1,1.0
