domain,mode,old_active_model_id,promotion_decision,new_model_family,new_feature_set_id,delta_balanced_accuracy,delta_f1,delta_pr_auc,delta_brier,root_cause_hypothesis
adhd,psychologist_full,adhd__psychologist_full__rebuild_v2__rf__engineered_full,HOLD_FOR_LIMITATION,rf,engineered_full,0.04010031970014327,0.024534930599550808,0.054580806284543315,-0.007321103364634301,secondary_metric_anomaly|anomaly_due_to_feature_dominance|insufficient_dsm5_core_signal|weighting_boundary_adjustment
anxiety,caregiver_2_3,anxiety__caregiver_2_3__final_honest_improvement_v1__rf__engineered_pruned,HOLD_FOR_LIMITATION,hgb,precision_oriented_subset,0.033614685397237554,0.03125767624662246,0.01081985822668563,-0.003141563712602345,secondary_metric_anomaly|anomaly_due_to_feature_dominance|weighting_boundary_adjustment
anxiety,caregiver_full,anxiety__caregiver_full__final_honest_improvement_v1__rf__engineered_compact,HOLD_FOR_LIMITATION,rf,dsm5_core_only,0.0012690355329949554,0.005078397765505005,-0.014880208916248638,0.006994896148786348,secondary_metric_anomaly|anomaly_due_to_feature_dominance|dsm5_core_signal_strengthened|weighting_boundary_adjustment
anxiety,psychologist_2_3,anxiety__psychologist_2_3__final_honest_improvement_v1__rf__engineered_pruned,HOLD_FOR_LIMITATION,logreg,engineered_pruned_no_eng_v1,-0.026000472199268154,-0.0037287045965926913,-0.03386502831825844,0.024009751339205368,secondary_metric_anomaly|anomaly_due_to_feature_dominance|weighting_boundary_adjustment
anxiety,psychologist_full,anxiety__psychologist_full__final_honest_improvement_v1__rf__engineered_pruned,HOLD_FOR_LIMITATION,hgb,dsm5_core_only,0.008352024554361903,0.01602209944751387,0.01409902339768021,-0.004337781766327778,secondary_metric_anomaly|anomaly_due_to_feature_dominance|dsm5_core_signal_strengthened|weighting_boundary_adjustment
conduct,caregiver_full,conduct__caregiver_full__hybrid_final_aggressive_rescue_v6__extra_trees__dsm5_core_plus_context,HOLD_FOR_LIMITATION,logreg,dsm5_core_only,-0.020312499999999956,-0.019248952454888335,-3.881987577647461e-05,0.0029458695595354564,secondary_metric_anomaly|dsm5_core_signal_strengthened|weighting_boundary_adjustment
conduct,psychologist_full,conduct__psychologist_full__hybrid_final_aggressive_rescue_v6__hgb__dsm5_core_plus_context,HOLD_FOR_LIMITATION,logreg,dsm5_core_plus_context,-0.012500000000000067,-0.012657605864952792,-0.00015628374882625806,0.004024741809933065,secondary_metric_anomaly|dsm5_core_signal_strengthened|weighting_boundary_adjustment
depression,caregiver_1_3,depression__caregiver_1_3__rebuild_v2__rf__precision_oriented_subset,HOLD_FOR_LIMITATION,rf,dsm5_core_only,0.06652163255300891,0.039212729055124074,0.04270573985539572,0.00032070414207699405,limited_separability_or_underfit|recall_tradeoff|precision_recall_tradeoff|dsm5_core_signal_strengthened|weighting_boundary_adjustment
depression,caregiver_2_3,depression__caregiver_2_3__hybrid_final_decisive_rescue_v5__rf__precision_oriented_subset,HOLD_FOR_LIMITATION,rf,dsm5_core_plus_context,0.0012562814070351536,0.004750898818695504,-0.005508081093760109,-0.0004353642591709006,insufficient_dsm5_core_signal|low_precision_due_to_boundary_noise|precision_recall_tradeoff|dsm5_core_signal_strengthened|weighting_boundary_adjustment
depression,caregiver_full,depression__caregiver_full__boosted_v3__catboost__full_eligible,HOLD_FOR_LIMITATION,rf,dsm5_core_plus_context,-0.06850995618230027,-0.07944505293902882,-0.026605911771230506,0.014529201981935361,secondary_metric_anomaly|insufficient_dsm5_core_signal|dsm5_core_signal_strengthened|weighting_boundary_adjustment
depression,psychologist_1_3,depression__psychologist_1_3__rebuild_v2__rf__stability_pruned_subset,HOLD_FOR_LIMITATION,rf,compact_subset,-0.00036769211913223465,-0.031163608946971677,0.05871869197573987,0.0043476688673734845,insufficient_dsm5_core_signal|limited_separability_or_underfit|low_precision_due_to_boundary_noise|precision_recall_tradeoff|weighting_boundary_adjustment
depression,psychologist_2_3,depression__psychologist_2_3__final_honest_improvement_v1__rf__compact_subset,HOLD_FOR_LIMITATION,rf,dsm5_core_only,-0.02546267924990797,-0.014561785519869419,0.04472357245479763,0.001511630045877066,insufficient_dsm5_core_signal|low_precision_due_to_boundary_noise|dsm5_core_signal_strengthened|weighting_boundary_adjustment
depression,psychologist_full,depression__psychologist_full__boosted_v3__hgb__full_eligible,HOLD_FOR_LIMITATION,hgb,dsm5_core_plus_context,-0.034086956770541965,-0.04916356198407479,-0.01246527255329366,0.009120807826019126,secondary_metric_anomaly|insufficient_dsm5_core_signal|dsm5_core_signal_strengthened|weighting_boundary_adjustment
