mode,role,domain,baseline_config,baseline_feature_set_id,baseline_seed,winner_config_id,winner_feature_set_id,winner_calibration,winner_threshold_policy,delta_precision,delta_recall,delta_balanced_accuracy,delta_pr_auc,delta_brier,material_improvement
caregiver_1_3,caregiver,adhd,rf_baseline,full_eligible,20260412,rf_baseline,full_eligible,isotonic,recall_constrained,-0.026679767213362626,0.18085106382978722,0.07358615367655164,-0.03194425837797821,0.0023464065939355905,yes
caregiver_1_3,caregiver,anxiety,rf_baseline,full_eligible,20260412,rf_balanced_subsample,full_eligible,isotonic,recall_constrained,0.013923013923013872,-0.06976744186046513,-0.03234564986424271,-0.030358258958325113,-0.0027750087395879905,no
caregiver_1_3,caregiver,conduct,rf_baseline,full_eligible,20260412,rf_baseline,compact_robust_subset,isotonic,recall_constrained,-0.008179012345678971,-0.018867924528301883,-0.010991594662904891,-0.02170022990848819,0.007445454627099862,no
caregiver_1_3,caregiver,depression,rf_baseline,full_eligible,20260412,rf_large_subsample,full_eligible,isotonic,recall_constrained,0.008950617283950635,0.0,0.0012562814070351536,-0.018677856817927663,0.008029120569784429,no
caregiver_1_3,caregiver,elimination,rf_baseline,full_eligible,20260412,rf_large_subsample,precision_oriented_subset,isotonic,default_0_5,-0.1277557942340305,0.423076923076923,0.19985621854780722,-0.021400990747955206,-0.011120133076317835,yes
caregiver_2_3,caregiver,adhd,rf_baseline,full_eligible,20260412,rf_precision_push,full_eligible,isotonic,default_0_5,-0.025621118012422284,0.13829787234042556,0.06008157865725949,0.007318311103884256,-0.010538132739073891,yes
caregiver_2_3,caregiver,anxiety,rf_baseline,full_eligible,20260412,rf_regularized,top_importance_filtered,isotonic,default_0_5,0.0010604453870625141,0.10465116279069775,0.051056545862353975,-0.018716423374181,-0.01068572197725436,yes
caregiver_2_3,caregiver,conduct,rf_baseline,full_eligible,20260412,rf_precision_push,precision_oriented_subset,isotonic,balanced,-0.012229210342417862,0.0062893081761006275,2.938929054252526e-05,0.00011866932138471231,-0.019827045314623114,no
caregiver_2_3,caregiver,depression,rf_baseline,full_eligible,20260412,rf_precision_push,balanced_subset,none,precision_oriented,0.04166666666666663,0.03658536585365857,0.022061527147934856,0.03160571033169324,-0.006514090431176921,yes
caregiver_2_3,caregiver,elimination,rf_baseline,full_eligible,20260412,rf_recall_guard,precision_oriented_subset,isotonic,balanced,-0.015205724508050023,0.15384615384615385,0.0757548526240116,0.045051294893767024,-0.013692238421391768,yes
