trial_id,stage,mode,role,domain,feature_set_id,config_id,seed,calibration,threshold_policy,threshold,n_features,selected_for_stage2,is_winner_trial,val_objective,overfit_gap_ba
1,stage1_coarse,caregiver_1_3,caregiver,adhd,full_eligible,rf_baseline,20260412,none,default_0_5,0.5,59,yes,no,0.7400067749155843,0.153152904861647
2,stage1_coarse,caregiver_1_3,caregiver,adhd,full_eligible,rf_balanced_subsample,20260412,none,default_0_5,0.5,59,no,no,0.7580284421457245,0.11001175908573102
3,stage1_coarse,caregiver_1_3,caregiver,adhd,full_eligible,rf_precision_push,20260412,none,default_0_5,0.5,59,no,no,0.7293737886815932,0.12484841803549773
4,stage1_coarse,caregiver_1_3,caregiver,adhd,full_eligible,rf_recall_guard,20260412,none,default_0_5,0.5,59,no,no,0.7398512193713412,0.14912909271304153
5,stage1_coarse,caregiver_1_3,caregiver,adhd,full_eligible,rf_regularized,20260412,none,default_0_5,0.5,59,yes,no,0.7718137324290714,0.02315988681879988
6,stage1_coarse,caregiver_1_3,caregiver,adhd,full_eligible,rf_large_subsample,20260412,none,default_0_5,0.5,59,yes,no,0.7645419375221179,0.1039668540770955
7,stage1_coarse,caregiver_1_3,caregiver,adhd,top_importance_filtered,rf_baseline,20260412,none,default_0_5,0.5,41,no,no,0.7450441817257867,0.13849079484070115
8,stage1_coarse,caregiver_1_3,caregiver,adhd,top_importance_filtered,rf_balanced_subsample,20260412,none,default_0_5,0.5,41,no,no,0.7599904809334009,0.09491787013559683
9,stage1_coarse,caregiver_1_3,caregiver,adhd,top_importance_filtered,rf_precision_push,20260412,none,default_0_5,0.5,41,no,no,0.7325560118978024,0.11823393231176271
10,stage1_coarse,caregiver_1_3,caregiver,adhd,top_importance_filtered,rf_recall_guard,20260412,none,default_0_5,0.5,41,no,no,0.7330752005098927,0.1504244295006063
11,stage1_coarse,caregiver_1_3,caregiver,adhd,top_importance_filtered,rf_regularized,20260412,none,default_0_5,0.5,41,no,no,0.767196967896792,0.02315988681879988
12,stage1_coarse,caregiver_1_3,caregiver,adhd,top_importance_filtered,rf_large_subsample,20260412,none,default_0_5,0.5,41,no,no,0.7603398137929195,0.09419211406313166
13,stage1_coarse,caregiver_1_3,caregiver,adhd,compact_robust_subset,rf_baseline,20260412,none,default_0_5,0.5,27,no,no,0.7238337661568748,0.15431043986330062
14,stage1_coarse,caregiver_1_3,caregiver,adhd,compact_robust_subset,rf_balanced_subsample,20260412,none,default_0_5,0.5,27,no,no,0.761300042897792,0.08514313012163321
15,stage1_coarse,caregiver_1_3,caregiver,adhd,compact_robust_subset,rf_precision_push,20260412,none,default_0_5,0.5,27,no,no,0.7447627033368405,0.0988222540697461
16,stage1_coarse,caregiver_1_3,caregiver,adhd,compact_robust_subset,rf_recall_guard,20260412,none,default_0_5,0.5,27,no,no,0.7137501356981985,0.16983610774262292
