candidate_id,domain,mode,role,role_tag,winner_feature_set_id,winner_config_id,winner_calibration,winner_threshold_policy,winner_threshold_v1,winner_seed,n_features,unsupported_feature_count,unsupported_features_pipe,reproduced_calibration_used,reproduced_threshold_used,reproduced_threshold_opt_val,train_precision,train_recall,train_specificity,train_balanced_accuracy,train_f1,train_roc_auc,train_pr_auc,train_brier,val_precision,val_recall,val_specificity,val_balanced_accuracy,val_f1,val_roc_auc,val_pr_auc,val_brier,holdout_precision,holdout_recall,holdout_specificity,holdout_balanced_accuracy,holdout_f1,holdout_roc_auc,holdout_pr_auc,holdout_brier,v1_holdout_precision,v1_holdout_recall,v1_holdout_specificity,v1_holdout_balanced_accuracy,v1_holdout_f1,v1_holdout_roc_auc,v1_holdout_pr_auc,v1_holdout_brier,delta_holdout_precision_vs_v1,delta_holdout_recall_vs_v1,delta_holdout_balanced_accuracy_vs_v1,delta_holdout_pr_auc_vs_v1,delta_holdout_brier_vs_v1,overfit_gap_train_val_ba,generalization_gap_val_holdout_ba,reproduced_material
adhd__psychologist_2_3,adhd,psychologist_2_3,psychologist,fallback,top_importance_filtered,rf_precision_push,isotonic,default_0_5,0.5,20260412,95,0,,isotonic,0.5,0.5,0.9964664310954063,1.0,0.9991364421416234,0.9995682210708117,0.9982300884955753,1.0,1.0,0.00730160364650417,0.75,0.9893617021276596,0.9196891191709845,0.9545254106493221,0.8532110091743119,0.9661834417374049,0.7958573620849464,0.048770735524998325,0.7747747747747747,0.9148936170212766,0.9352331606217616,0.9250633888215192,0.8390243902439024,0.9425779958108256,0.7693292583602127,0.05496522159680617,0.7747747747747747,0.9148936170212766,0.9352331606217616,0.9250633888215192,0.8390243902439024,0.9425779958108256,0.7693292583602127,0.0549652215968061,0.0,0.0,0.0,0.0,6.938893903907228e-17,0.04504281042148961,0.029462021827802887,yes
adhd__psychologist_full,adhd,psychologist_full,psychologist,primary,balanced_subset,rf_precision_push,isotonic,balanced,0.05,20260429,111,0,,isotonic,0.05,0.05,0.9964664310954063,1.0,0.9991364421416234,0.9995682210708117,0.9982300884955753,0.9999755019047268,0.999799513821016,0.0008225655031947584,0.9791666666666666,1.0,0.9948186528497409,0.9974093264248705,0.9894736842105263,0.999407452320582,0.9961566541510221,0.0038284632044111194,0.9479166666666666,0.9680851063829787,0.9870466321243523,0.9775658692536655,0.9578947368421052,0.9803219049718883,0.9451063417182078,0.015458704199548236,0.9479166666666666,0.9680851063829788,0.9870466321243524,0.9775658692536656,0.9578947368421052,0.9803219049718884,0.9451063417182078,0.0154587041995482,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,3.642919299551295e-17,0.0021588946459412117,0.019843457171204948,yes
anxiety__caregiver_2_3,anxiety,caregiver_2_3,caregiver,primary,top_importance_filtered,rf_regularized,isotonic,default_0_5,0.5,20260429,79,0,,isotonic,0.5,0.5,0.9541984732824428,0.9689922480620154,0.9898477157360406,0.979419981899028,0.9615384615384616,0.9986227521347342,0.9907746475235446,0.010492126592749198,0.9230769230769231,0.9767441860465116,0.9822335025380711,0.9794888442922913,0.9491525423728814,0.9968421673946405,0.9789312838627469,0.014704861111984024,0.8913043478260869,0.9534883720930233,0.9746192893401016,0.9640538307165625,0.9213483146067416,0.9867341518120647,0.9296925029139941,0.021602992451955513,0.8913043478260869,0.9534883720930232,0.9746192893401016,0.9640538307165624,0.9213483146067416,0.9867341518120648,0.929692502913994,0.0216029924519555,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.3877787807814457e-17,-6.886239326331367e-05,0.015435013575728851,yes
anxiety__caregiver_full,anxiety,caregiver_full,caregiver,compare,precision_oriented_subset,rf_precision_push,sigmoid,precision_oriented,0.4949999999999999,20260429,68,0,,sigmoid,0.4949999999999999,0.49499999999999994,0.9838709677419355,0.9457364341085271,0.9966159052453468,0.971176169676937,0.9644268774703557,0.999419588399638,0.9974276312370323,0.011556618623611382,0.9411764705882353,0.9302325581395349,0.9873096446700508,0.9587711014047928,0.935672514619883,0.9948648329595089,0.9764435245196501,0.022279894640639786,0.9418604651162791,0.9418604651162791,0.9873096446700508,0.9645850548931649,0.9418604651162791,0.9935662849722582,0.9571307953536649,0.020586584402355848,0.9418604651162792,0.9418604651162792,0.9873096446700508,0.9645850548931648,0.9418604651162792,0.9935662849722582,0.9571307953536649,0.0205865844023558,-1.1102230246251565e-16,-1.1102230246251565e-16,1.1102230246251565e-16,0.0,4.85722573273506e-17,0.01240506827214416,-0.005813953488372103,yes
conduct__caregiver_2_3,conduct,caregiver_2_3,caregiver,review,precision_oriented_subset,rf_precision_push,isotonic,balanced,0.05,20260412,45,0,,isotonic,0.05,0.05,0.9958419958419958,1.0,0.9979188345473465,0.9989594172736733,0.9979166666666667,1.0,1.0,5.727242346593012e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000383407e-12,0.9814814814814815,1.0,0.9906542056074766,0.9953271028037383,0.9906542056074766,1.0,1.0,0.001195853073814591,0.9814814814814816,1.0,0.9906542056074766,0.9953271028037384,0.9906542056074766,1.0,1.0,0.0011958530738145,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,0.0,9.085614205428527e-17,-0.0010405827263266776,0.004672897196261738,yes
conduct__psychologist_2_3,conduct,psychologist_2_3,psychologist,review,precision_oriented_subset,rf_precision_push,isotonic,balanced,0.05,20260412,54,0,,isotonic,0.05,0.05,0.9979166666666667,1.0,0.9989594172736732,0.9994797086368366,0.9989572471324296,1.0,1.0,5.754598188860961e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000383407e-12,0.9875776397515528,1.0,0.9937694704049844,0.9968847352024922,0.99375,1.0,1.0,0.0012856785452305278,0.9875776397515528,1.0,0.9937694704049844,0.9968847352024922,0.99375,1.0,1.0,0.0012856785452305,0.0,0.0,0.0,0.0,2.7755575615628914e-17,-0.0005202913631634498,0.0031152647975077885,yes
conduct__psychologist_full,conduct,psychologist_full,psychologist,review,precision_oriented_subset,rf_precision_push,isotonic,balanced,0.05,20260412,81,0,,isotonic,0.05,0.05,0.9979166666666667,1.0,0.9989594172736732,0.9994797086368366,0.9989572471324296,1.0,1.0,3.7199619803529844e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000383407e-12,0.9814814814814815,1.0,0.9906542056074766,0.9953271028037383,0.9906542056074766,1.0,1.0,0.0011761822594189176,0.9814814814814816,1.0,0.9906542056074766,0.9953271028037384,0.9906542056074766,1.0,1.0,0.0011761822594189,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,0.0,1.7564075194265172e-17,-0.0005202913631634498,0.004672897196261738,yes
depression__caregiver_2_3,depression,caregiver_2_3,caregiver,primary,balanced_subset,rf_precision_push,none,precision_oriented,0.59,20260513,62,0,,none,0.59,0.59,0.940677966101695,0.9061224489795918,0.9882845188284519,0.9472034839040219,0.9230769230769231,0.9985449577320469,0.9929391269929431,0.01322140827009629,0.9714285714285714,0.8292682926829268,0.9949748743718593,0.912121583527393,0.8947368421052632,0.9893062875352371,0.9510934340485115,0.027791822106823273,0.8472222222222222,0.7439024390243902,0.9723618090452262,0.8581321240348082,0.7922077922077922,0.9696041181517343,0.8629559860945878,0.05200483241107459,0.8472222222222222,0.7439024390243902,0.9723618090452262,0.8581321240348082,0.7922077922077922,0.9696041181517344,0.8629559860945878,0.0520048324110745,0.0,0.0,0.0,0.0,9.020562075079397e-17,0.03508190037662884,0.053989459492584824,yes
depression__caregiver_full,depression,caregiver_full,caregiver,compare,full_eligible,rf_precision_push,none,precision_oriented,0.615,20260412,169,0,,none,0.615,0.615,0.9612068965517241,0.9102040816326531,0.9924686192468619,0.9513363504397575,0.9350104821802935,0.9988591922124499,0.9944643502101349,0.011736904717978665,0.9714285714285714,0.8292682926829268,0.9949748743718593,0.912121583527393,0.8947368421052632,0.991083466111043,0.9618079539053066,0.02771805107631627,0.8356164383561644,0.7439024390243902,0.9698492462311558,0.8568758426277729,0.7870967741935484,0.9715651427871063,0.8699765906318093,0.05093172225792724,0.8356164383561644,0.7439024390243902,0.9698492462311558,0.8568758426277729,0.7870967741935484,0.9715651427871064,0.8699765906318093,0.0509317222579272,0.0,0.0,0.0,0.0,4.163336342344337e-17,0.039214766912364474,0.05524574089962009,yes
depression__psychologist_full,depression,psychologist_full,psychologist,compare,top_importance_filtered,rf_precision_push,none,precision_oriented,0.6599999999999999,20260513,141,0,,none,0.6599999999999999,0.6599999999999999,0.9954128440366973,0.8857142857142857,0.999163179916318,0.9424387328153019,0.937365010799136,0.9994330116984032,0.9972189254833043,0.01061019734161244,0.9852941176470589,0.8170731707317073,0.9974874371859297,0.9072803039588184,0.8933333333333333,0.9921865424684397,0.9668538159122975,0.02663193285810752,0.890625,0.6951219512195121,0.9824120603015075,0.8387670057605099,0.7808219178082192,0.9753952690280672,0.9003575294905959,0.04673554009094145,0.890625,0.6951219512195121,0.9824120603015076,0.8387670057605099,0.7808219178082192,0.9753952690280672,0.9003575294905959,0.0467355400909414,0.0,0.0,0.0,0.0,4.85722573273506e-17,0.03515842885648346,0.06851329819830854,yes
elimination__caregiver_2_3,elimination,caregiver_2_3,caregiver,primary,precision_oriented_subset,rf_recall_guard,isotonic,balanced,0.2549999999999999,20260513,45,0,,isotonic,0.2549999999999999,0.25499999999999995,0.9872611464968153,1.0,0.998443579766537,0.9992217898832685,0.9935897435897436,1.0,1.0,0.0011188600898909074,0.9807692307692307,0.9807692307692307,0.9976635514018691,0.9892163910855499,0.9807692307692307,0.9996854780733285,0.9952979712595097,0.003437500000970833,0.9615384615384616,0.9615384615384616,0.9953271028037384,0.9784327821711,0.9615384615384616,0.9983824586628325,0.9745323800251808,0.00600145350535929,0.9615384615384616,0.9615384615384616,0.9953271028037384,0.9784327821711,0.9615384615384616,0.9983824586628324,0.9745323800251808,0.0060014535053592,0.0,0.0,0.0,0.0,9.020562075079397e-17,0.010005398797718557,0.01078360891444996,yes
elimination__caregiver_full,elimination,caregiver_full,caregiver,compare,precision_oriented_subset,rf_recall_guard,isotonic,recall_constrained,0.2549999999999999,20260412,68,0,,isotonic,0.2549999999999999,0.25499999999999995,0.9935897435897436,1.0,0.9992217898832685,0.9996108949416342,0.9967845659163987,0.9996108949416342,0.9935897435897436,0.0007202159357035957,1.0,0.9615384615384616,1.0,0.9807692307692308,0.9803921568627451,0.9995956146657081,0.9953258547008547,0.0034375000009708332,0.9607843137254902,0.9423076923076923,0.9953271028037384,0.9688173975557153,0.9514563106796117,0.9974613587347233,0.9598999040175511,0.008053752964194064,0.9607843137254902,0.9423076923076924,0.9953271028037384,0.9688173975557152,0.9514563106796116,0.9974613587347232,0.9598999040175512,0.008053752964194,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,-1.1102230246251565e-16,6.418476861114186e-17,0.018841664172403405,0.011951833213515561,yes
elimination__psychologist_full,elimination,psychologist_full,psychologist,compare,precision_oriented_subset,rf_recall_guard,isotonic,recall_constrained,0.4049999999999999,20260429,81,0,,isotonic,0.4049999999999999,0.4049999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.714677740464679e-05,1.0,0.9423076923076923,1.0,0.9711538461538461,0.9702970297029703,0.999550682961898,0.9945054945054945,0.004351851852822686,0.9574468085106383,0.8653846153846154,0.9953271028037384,0.930355859094177,0.9090909090909091,0.9968997124370956,0.952275555899417,0.011423276899059982,0.9574468085106383,0.8653846153846154,0.9953271028037384,0.930355859094177,0.9090909090909092,0.9968997124370956,0.952275555899417,0.0114232768990599,0.0,0.0,0.0,0.0,8.153200337090993e-17,0.028846153846153855,0.040797987059669194,yes
