role,domain,ba_loss_1_3_to_2_3,ba_loss_2_3_to_full,precision_loss_1_3_to_2_3,precision_loss_2_3_to_full
caregiver,adhd,-0.017859111454084475,-0.0145243082350347,-0.10222222222222221,-0.021777777777777785
caregiver,conduct,-0.07656249999999998,0.0,-0.11585365853658536,0.0
caregiver,elimination,-0.09938892882818129,0.0,-0.19931389365351626,0.0
caregiver,anxiety,-0.13044504781017596,-0.02980757879825291,-0.04999999999999993,0.03888888888888886
caregiver,depression,-0.015780120112758977,-0.019732810393430555,0.008241758241758212,-0.05434782608695654
psychologist,adhd,-0.02720207253886009,-0.04015544041450769,-0.1013003355704698,-0.22970360824742264
psychologist,conduct,-0.07656250000000009,0.0,-0.08387096774193548,0.0
psychologist,elimination,-0.11745147375988507,0.0,-0.19267053701015968,0.0
psychologist,anxiety,-0.05486365246133862,0.011627906976744207,-0.0320402298850575,0.0018931710615280872
psychologist,depression,-0.015075376884422176,-0.02169383502880251,-0.12445003142677558,0.06631049654305465
