trial_id,stage,mode,role,domain,feature_set_id,config_id,seed,calibration,threshold_policy,threshold,n_features,train_precision,train_recall,train_specificity,train_balanced_accuracy,train_f1,train_roc_auc,train_pr_auc,train_brier,val_precision,val_recall,val_specificity,val_balanced_accuracy,val_f1,val_roc_auc,val_pr_auc,val_brier,val_objective,overfit_gap_ba,selected_for_stage2,is_winner_trial
1,stage1_coarse,caregiver_1_3,caregiver,adhd,full_eligible,rf_baseline,20260712,none,default_0_5,0.5,59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01679484261984252,0.6517857142857143,0.776595744680851,0.8989637305699482,0.8377797376253996,0.7087378640776699,0.9311266674016095,0.6515152178357151,0.08014114748412234,0.7101019503188867,0.1622202623746004,yes,no
2,stage1_coarse,caregiver_1_3,caregiver,adhd,full_eligible,rf_balanced_subsample,20260712,none,default_0_5,0.5,59,0.8952380952380953,1.0,0.9715025906735751,0.9857512953367875,0.9447236180904522,0.9999356924999082,0.9997397460057782,0.026992083990291037,0.6363636363636364,0.8191489361702128,0.8860103626943006,0.8525796494322566,0.7162790697674418,0.9331936941902766,0.6725039804026444,0.07963662091577957,0.717848546784189,0.1331716459045309,no,no
3,stage1_coarse,caregiver_1_3,caregiver,adhd,full_eligible,rf_precision_push,20260712,none,default_0_5,0.5,59,0.9306930693069307,1.0,0.9818652849740933,0.9909326424870466,0.9641025641025641,0.9999295679760899,0.999720346466378,0.02817607276013892,0.648,0.8617021276595744,0.8860103626943006,0.8738562451769375,0.7397260273972602,0.9306030206151472,0.6441671721670561,0.07714123020435434,0.7299412171806148,0.1170763973101091,no,no
4,stage1_coarse,caregiver_1_3,caregiver,adhd,full_eligible,rf_recall_guard,20260712,none,default_0_5,0.5,59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.016586041223551604,0.6403508771929824,0.776595744680851,0.8937823834196891,0.83518906405027,0.7019230769230769,0.9307959431154227,0.663296161627536,0.07971457272561012,0.7061432241864312,0.16481093594972995,no,no
5,stage1_coarse,caregiver_1_3,caregiver,adhd,full_eligible,rf_regularized,20260712,none,default_0_5,0.5,59,0.6945812807881774,1.0,0.8929188255613126,0.9464594127806563,0.8197674418604651,0.9958200124940286,0.9839385932999545,0.04732159416940112,0.6357142857142857,0.9468085106382979,0.8678756476683938,0.9073420791533457,0.7606837606837606,0.9307959431154227,0.6455736808182477,0.08151984665843176,0.7495837511412671,0.03911733362731051,no,no
6,stage1_coarse,caregiver_1_3,caregiver,adhd,full_eligible,rf_positive_push_strong,20260712,none,default_0_5,0.5,59,0.94,1.0,0.9844559585492227,0.9922279792746114,0.9690721649484536,0.9999938754761818,0.9999748947936334,0.024887712091358358,0.6356589147286822,0.8723404255319149,0.8782383419689119,0.8752893837504134,0.7354260089686099,0.9272682173960974,0.6269694579214188,0.07938910224479047,0.7231308439932348,0.11693859552419794,no,no
7,stage1_coarse,caregiver_1_3,caregiver,adhd,top_importance_filtered,rf_baseline,20260712,none,default_0_5,0.5,41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.016623747830653575,0.6306306306306306,0.7446808510638298,0.8937823834196891,0.8192316172417594,0.6829268292682927,0.9287564766839378,0.6322579743570994,0.08023425218406526,0.6880025156817771,0.1807683827582406,no,no
8,stage1_coarse,caregiver_1_3,caregiver,adhd,top_importance_filtered,rf_balanced_subsample,20260712,none,default_0_5,0.5,41,0.8980891719745223,1.0,0.9723661485319517,0.9861830742659758,0.9463087248322147,0.9999142566665442,0.9996498937385663,0.026595157848852993,0.64,0.851063829787234,0.883419689119171,0.8672417594532025,0.730593607305936,0.9316227538308897,0.6459503527447625,0.07921050401519099,0.7236445516897436,0.11894131481277337,no,no
9,stage1_coarse,caregiver_1_3,caregiver,adhd,top_importance_filtered,rf_precision_push,20260712,none,default_0_5,0.5,41,0.9368770764119602,1.0,0.9835924006908463,0.9917962003454232,0.967409948542024,0.9998377001188158,0.9993428446861279,0.02906359305066876,0.6507936507936508,0.8723404255319149,0.8860103626943006,0.8791753941131077,0.7454545454545455,0.9317329952596186,0.6417030493994009,0.07709729156241155,0.7336658047709079,0.1126208062323154,no,no
10,stage1_coarse,caregiver_1_3,caregiver,adhd,top_importance_filtered,rf_recall_guard,20260712,none,default_0_5,0.5,41,0.9964664310954063,1.0,0.9991364421416234,0.9995682210708117,0.9982300884955753,1.0,1.0,0.016529154142665217,0.6403508771929824,0.776595744680851,0.8937823834196891,0.83518906405027,0.7019230769230769,0.9317605556168008,0.6571004421086666,0.0786931274602148,0.7052563736722546,0.16437915702054162,no,no
11,stage1_coarse,caregiver_1_3,caregiver,adhd,top_importance_filtered,rf_regularized,20260712,none,default_0_5,0.5,41,0.6811594202898551,1.0,0.8860103626943006,0.9430051813471503,0.8103448275862069,0.9953667977314763,0.9823540790776631,0.0490884845326494,0.6357142857142857,0.9468085106382979,0.8678756476683938,0.9073420791533457,0.7606837606837606,0.9340756256201082,0.6584272525703122,0.08154226941574447,0.7519844003995092,0.03566310219380453,no,no
12,stage1_coarse,caregiver_1_3,caregiver,adhd,top_importance_filtered,rf_positive_push_strong,20260712,none,default_0_5,0.5,41,0.94,1.0,0.9844559585492227,0.9922279792746114,0.9690721649484536,0.9999846886904543,0.9999373471269803,0.025529667213989686,0.6377952755905512,0.8617021276595744,0.8808290155440415,0.871265571601808,0.7330316742081447,0.9341307463344726,0.6638893630270126,0.07684579544616543,0.7276077335735985,0.12096240767280342,no,no
13,stage1_coarse,caregiver_1_3,caregiver,adhd,compact_robust_subset,rf_baseline,20260712,none,default_0_5,0.5,27,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.017407397829955568,0.6228070175438597,0.7553191489361702,0.8886010362694301,0.8219600926028001,0.6826923076923077,0.9296384081137692,0.6642384242258771,0.0800302255701759,0.6917919536183206,0.17803990739719988,no,no
14,stage1_coarse,caregiver_1_3,caregiver,adhd,compact_robust_subset,rf_balanced_subsample,20260712,none,default_0_5,0.5,27,0.8545454545454545,1.0,0.9585492227979274,0.9792746113989637,0.9215686274509803,0.9997488945234507,0.9989293339768931,0.028631318186874942,0.6299212598425197,0.851063829787234,0.8782383419689119,0.8646510858780729,0.7239819004524887,0.932036159188623,0.6739189344783227,0.08062560172782275,0.7233986323404997,0.11462352552089072,no,no
15,stage1_coarse,caregiver_1_3,caregiver,adhd,compact_robust_subset,rf_precision_push,20260712,none,default_0_5,0.5,27,0.9064516129032258,0.9964539007092199,0.9749568221070811,0.9857053614081506,0.9493243243243243,0.9995222871421747,0.9981126862383811,0.03125443629108318,0.6356589147286822,0.8723404255319149,0.8782383419689119,0.8752893837504134,0.7354260089686099,0.930713262043876,0.6574747083023692,0.0778453818002749,0.7287565690675036,0.11041597765773714,no,no
16,stage1_coarse,caregiver_1_3,caregiver,adhd,compact_robust_subset,rf_recall_guard,20260712,none,default_0_5,0.5,27,0.9929577464788732,1.0,0.998272884283247,0.9991364421416236,0.9964664310954063,1.0,1.0,0.017303725791740297,0.6052631578947368,0.7340425531914894,0.883419689119171,0.8087311211553302,0.6634615384615384,0.929252563113218,0.6579327031408673,0.0808911303479187,0.6763346463307206,0.19040532098629337,no,no
17,stage1_coarse,caregiver_1_3,caregiver,adhd,compact_robust_subset,rf_regularized,20260712,none,default_0_5,0.5,27,0.6722488038277512,0.9964539007092199,0.8816925734024179,0.9390732370558189,0.8028571428571428,0.9933732652286285,0.9739074128317788,0.051624295537043355,0.6338028169014085,0.9574468085106383,0.8652849740932642,0.9113658913019513,0.7627118644067796,0.931540072759343,0.6613729014061162,0.08362527215469419,0.7543967689420797,0.027707345753867574,no,no
18,stage1_coarse,caregiver_1_3,caregiver,adhd,compact_robust_subset,rf_positive_push_strong,20260712,none,default_0_5,0.5,27,0.9096774193548387,1.0,0.9758203799654577,0.9879101899827288,0.9527027027027027,0.9998407623807248,0.9993348159157412,0.027353410661926533,0.6439393939393939,0.9042553191489362,0.8782383419689119,0.8912468305589241,0.7522123893805309,0.9313471502590673,0.664065868043137,0.07796297288404223,0.7421511271367636,0.09666335942380477,no,no
19,stage1_coarse,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_baseline,20260712,none,default_0_5,0.5,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01962564641160911,0.6216216216216216,0.7340425531914894,0.8911917098445595,0.8126171315180244,0.6731707317073171,0.9318845772241209,0.6633415019182272,0.08031402526264611,0.685634715326478,0.1873828684819756,no,no
20,stage1_coarse,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_balanced_subsample,20260712,none,default_0_5,0.5,24,0.8011363636363636,1.0,0.9395509499136442,0.9697754749568221,0.889589905362776,0.9988394027364373,0.995376267541549,0.03378555456376834,0.625,0.851063829787234,0.8756476683937824,0.8633557490905082,0.7207207207207207,0.9350953588358506,0.6720671618261631,0.08217885330489014,0.721342894934954,0.10641972586631399,no,no
21,stage1_coarse,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_precision_push,20260712,none,default_0_5,0.5,24,0.8726708074534162,0.9964539007092199,0.9645941278065631,0.9805240142578915,0.9304635761589404,0.9991670647607149,0.9967458543918118,0.033717910558501006,0.6356589147286822,0.8723404255319149,0.8782383419689119,0.8752893837504134,0.7354260089686099,0.9323668834748098,0.6618937561312244,0.07811163915183376,0.729965775994053,0.10523463050747806,no,no
22,stage1_coarse,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_recall_guard,20260712,none,default_0_5,0.5,24,0.986013986013986,1.0,0.9965457685664939,0.9982728842832469,0.9929577464788732,1.0,1.0,0.019886137450958793,0.6218487394957983,0.7872340425531915,0.883419689119171,0.8353268658361812,0.6948356807511737,0.9327251681181788,0.6695389860824159,0.08057152778752044,0.7003569480961481,0.1629460184470657,no,no
23,stage1_coarse,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_regularized,20260712,none,default_0_5,0.5,24,0.6714285714285714,1.0,0.8808290155440415,0.9404145077720207,0.8034188034188035,0.9897016131995737,0.9612569622473874,0.055553400525469775,0.6326530612244898,0.9893617021276596,0.8601036269430051,0.9247326645353324,0.7717842323651453,0.9372450666960644,0.6793024849317686,0.0832949595672441,0.7646512740804148,0.01568184323668831,yes,no
24,stage1_coarse,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_positive_push_strong,20260712,none,default_0_5,0.5,24,0.8785046728971962,1.0,0.966321243523316,0.983160621761658,0.9353233830845771,0.9998101397616335,0.9992596865957645,0.02955484318684049,0.6328125,0.8617021276595744,0.8782383419689119,0.8699702348142432,0.7297297297297297,0.9345992724065704,0.6625965978667991,0.07890359756786731,0.7255433801419545,0.11319038694741479,no,no
25,stage1_coarse,caregiver_1_3,caregiver,adhd,balanced_subset,rf_baseline,20260712,none,default_0_5,0.5,32,0.9964664310954063,1.0,0.9991364421416234,0.9995682210708117,0.9982300884955753,1.0,1.0,0.01730764692637991,0.6403508771929824,0.776595744680851,0.8937823834196891,0.83518906405027,0.7019230769230769,0.9309888656156984,0.643575105074904,0.07965978039362813,0.7030343205708478,0.16437915702054162,no,no
26,stage1_coarse,caregiver_1_3,caregiver,adhd,balanced_subset,rf_balanced_subsample,20260712,none,default_0_5,0.5,32,0.8650306748466258,1.0,0.9620034542314335,0.9810017271157168,0.9276315789473685,0.9999020076189076,0.9996064507985134,0.028141203287108892,0.64,0.851063829787234,0.883419689119171,0.8672417594532025,0.730593607305936,0.9336070995480101,0.661158252517229,0.07976891897590928,0.726562445470721,0.11375996766251428,no,no
27,stage1_coarse,caregiver_1_3,caregiver,adhd,balanced_subset,rf_precision_push,20260712,none,default_0_5,0.5,32,0.9306930693069307,1.0,0.9818652849740933,0.9909326424870466,0.9641025641025641,0.9998285133330884,0.9992834425258499,0.030107439187693933,0.6299212598425197,0.851063829787234,0.8782383419689119,0.8646510858780729,0.7239819004524887,0.9301620549002315,0.6402130387341116,0.0774895383760569,0.7170280497137235,0.12628155660897367,no,no
28,stage1_coarse,caregiver_1_3,caregiver,adhd,balanced_subset,rf_recall_guard,20260712,none,default_0_5,0.5,32,0.9964664310954063,1.0,0.9991364421416234,0.9995682210708117,0.9982300884955753,1.0,1.0,0.017344957748798052,0.646551724137931,0.7978723404255319,0.8937823834196891,0.8458273619226104,0.7142857142857143,0.9331110131187301,0.6547999599565043,0.07850108834633349,0.7135503704186784,0.15374085914820124,no,no
29,stage1_coarse,caregiver_1_3,caregiver,adhd,balanced_subset,rf_regularized,20260712,none,default_0_5,0.5,32,0.6795180722891566,1.0,0.885146804835924,0.942573402417962,0.8091822094691535,0.9946655397542841,0.9793393605056314,0.0505659958234078,0.6267605633802817,0.9468085106382979,0.8626943005181347,0.9047514055782162,0.7542372881355932,0.9351780399073972,0.6669950615716594,0.0819696116687064,0.7484959614762998,0.03782199683974574,no,no
30,stage1_coarse,caregiver_1_3,caregiver,adhd,balanced_subset,rf_positive_push_strong,20260712,none,default_0_5,0.5,32,0.9337748344370861,1.0,0.9827288428324698,0.9913644214162349,0.9657534246575342,0.9999846886904542,0.9999382212667112,0.026155266794447633,0.640625,0.8723404255319149,0.8808290155440415,0.8765847205379782,0.7387387387387387,0.9327802888325432,0.6581517102014329,0.07701607885247459,0.7309828440497231,0.11477970087825673,no,no
31,stage1_coarse,caregiver_1_3,caregiver,adhd,stability_pruned_subset,rf_baseline,20260712,none,default_0_5,0.5,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01712841800589005,0.6521739130434783,0.7978723404255319,0.8963730569948186,0.8471226987101752,0.7177033492822966,0.9340756256201082,0.6590407737951036,0.07758777789135503,0.7171370653232356,0.1528773012898248,no,no
32,stage1_coarse,caregiver_1_3,caregiver,adhd,stability_pruned_subset,rf_balanced_subsample,20260712,none,default_0_5,0.5,30,0.8676923076923077,1.0,0.9628670120898101,0.9814335060449051,0.929159802306425,0.9997029605948138,0.9987680939112025,0.028692321159044284,0.6370967741935484,0.8404255319148937,0.883419689119171,0.8619226105170323,0.7247706422018348,0.9321739609745343,0.6578294064020326,0.08079259206733527,0.7216788351083258,0.11951089552787275,no,no
33,stage1_coarse,caregiver_1_3,caregiver,adhd,stability_pruned_subset,rf_precision_push,20260712,none,default_0_5,0.5,30,0.9306930693069307,1.0,0.9818652849740933,0.9909326424870466,0.9641025641025641,0.9996723379757224,0.9986227268070842,0.030364973096781725,0.6461538461538462,0.8936170212765957,0.8808290155440415,0.8872230184103186,0.75,0.9307683827582405,0.6640234276709077,0.07714194671417417,0.7403396958935518,0.10370962407672801,no,no
34,stage1_coarse,caregiver_1_3,caregiver,adhd,stability_pruned_subset,rf_recall_guard,20260712,none,default_0_5,0.5,30,0.9964664310954063,1.0,0.9991364421416234,0.9995682210708117,0.9982300884955753,1.0,1.0,0.01743384422280702,0.646551724137931,0.7978723404255319,0.8937823834196891,0.8458273619226104,0.7142857142857143,0.9321739609745343,0.6722137281948621,0.0791578759635579,0.7162971660797822,0.15374085914820124,no,no
35,stage1_coarse,caregiver_1_3,caregiver,adhd,stability_pruned_subset,rf_regularized,20260712,none,default_0_5,0.5,30,0.6762589928057554,1.0,0.883419689119171,0.9417098445595855,0.8068669527896996,0.9944664927301903,0.9785085972772409,0.05089939100017957,0.6363636363636364,0.9680851063829787,0.8652849740932642,0.9166850402381215,0.7679324894514767,0.9324771249035388,0.6688842667857592,0.08261863621083328,0.7595047589769472,0.025024804321464034,no,no
36,stage1_coarse,caregiver_1_3,caregiver,adhd,stability_pruned_subset,rf_positive_push_strong,20260712,none,default_0_5,0.5,30,0.9215686274509803,1.0,0.9792746113989638,0.9896373056994818,0.9591836734693877,0.9999173189284534,0.9996634915695652,0.026575016946274434,0.6370370370370371,0.9148936170212766,0.8730569948186528,0.8939753059199647,0.7510917030567685,0.9321188402601698,0.6605659669750451,0.07773588293466384,0.7404608836256273,0.09566199977951717,no,no
37,stage2_search,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_regularized,20260712,none,default_0_5,0.5,24,0.6714285714285714,1.0,0.8808290155440415,0.9404145077720207,0.8034188034188035,0.9897016131995737,0.9612569622473874,0.055553400525469775,0.6326530612244898,0.9893617021276596,0.8601036269430051,0.9247326645353324,0.7717842323651453,0.9372450666960644,0.6793024849317686,0.0832949595672441,0.7649649109451485,0.01568184323668831,yes,no
38,stage2_search,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_regularized,20260712,none,precision_oriented,0.4649999999999999,24,0.6588785046728972,1.0,0.8739205526770294,0.9369602763385148,0.7943661971830986,0.9897016131995737,0.9612569622473874,0.055553400525469775,0.6351351351351351,1.0,0.8601036269430051,0.9300518134715026,0.7768595041322314,0.9372450666960644,0.6793024849317686,0.0832949595672441,0.7692128024283424,0.006908462867012188,yes,no
39,stage2_search,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_regularized,20260712,none,balanced,0.4649999999999999,24,0.6588785046728972,1.0,0.8739205526770294,0.9369602763385148,0.7943661971830986,0.9897016131995737,0.9612569622473874,0.055553400525469775,0.6351351351351351,1.0,0.8601036269430051,0.9300518134715026,0.7768595041322314,0.9372450666960644,0.6793024849317686,0.0832949595672441,0.7692128024283424,0.006908462867012188,yes,no
40,stage2_search,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_regularized,20260712,none,recall_guard,0.4649999999999999,24,0.6588785046728972,1.0,0.8739205526770294,0.9369602763385148,0.7943661971830986,0.9897016131995737,0.9612569622473874,0.055553400525469775,0.6351351351351351,1.0,0.8601036269430051,0.9300518134715026,0.7768595041322314,0.9372450666960644,0.6793024849317686,0.0832949595672441,0.7692128024283424,0.006908462867012188,yes,no
41,stage2_search,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_regularized,20260712,none,precision_min_recall,0.4649999999999999,24,0.6588785046728972,1.0,0.8739205526770294,0.9369602763385148,0.7943661971830986,0.9897016131995737,0.9612569622473874,0.055553400525469775,0.6351351351351351,1.0,0.8601036269430051,0.9300518134715026,0.7768595041322314,0.9372450666960644,0.6793024849317686,0.0832949595672441,0.7692128024283424,0.006908462867012188,yes,no
42,stage2_search,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_regularized,20260712,sigmoid,default_0_5,0.5,24,0.8355263157894737,0.900709219858156,0.9568221070811744,0.9287656634696653,0.8668941979522184,0.9897016131995737,0.9612569622473874,0.047441394693851426,0.6272727272727273,0.7340425531914894,0.8937823834196891,0.8139124683055892,0.6764705882352942,0.9372450666960644,0.6793024849317685,0.07778035259660368,0.7006691011791468,0.1148531951640761,yes,no
43,stage2_search,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_regularized,20260712,sigmoid,precision_oriented,0.21499999999999997,24,0.6588785046728972,1.0,0.8739205526770294,0.9369602763385148,0.7943661971830986,0.9897016131995737,0.9612569622473874,0.047441394693851426,0.6351351351351351,1.0,0.8601036269430051,0.9300518134715026,0.7768595041322314,0.9372450666960644,0.6793024849317685,0.07778035259660368,0.7695436788465809,0.006908462867012188,yes,no
44,stage2_search,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_regularized,20260712,sigmoid,balanced,0.21499999999999997,24,0.6588785046728972,1.0,0.8739205526770294,0.9369602763385148,0.7943661971830986,0.9897016131995737,0.9612569622473874,0.047441394693851426,0.6351351351351351,1.0,0.8601036269430051,0.9300518134715026,0.7768595041322314,0.9372450666960644,0.6793024849317685,0.07778035259660368,0.7695436788465809,0.006908462867012188,yes,no
45,stage2_search,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_regularized,20260712,sigmoid,recall_guard,0.21499999999999997,24,0.6588785046728972,1.0,0.8739205526770294,0.9369602763385148,0.7943661971830986,0.9897016131995737,0.9612569622473874,0.047441394693851426,0.6351351351351351,1.0,0.8601036269430051,0.9300518134715026,0.7768595041322314,0.9372450666960644,0.6793024849317685,0.07778035259660368,0.7695436788465809,0.006908462867012188,yes,no
46,stage2_search,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_regularized,20260712,sigmoid,precision_min_recall,0.21499999999999997,24,0.6588785046728972,1.0,0.8739205526770294,0.9369602763385148,0.7943661971830986,0.9897016131995737,0.9612569622473874,0.047441394693851426,0.6351351351351351,1.0,0.8601036269430051,0.9300518134715026,0.7768595041322314,0.9372450666960644,0.6793024849317685,0.07778035259660368,0.7695436788465809,0.006908462867012188,yes,no
47,stage2_search,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_regularized,20260712,isotonic,default_0_5,0.5,24,0.6650943396226415,1.0,0.8773747841105354,0.9386873920552676,0.7988668555240793,0.9867832776001666,0.927608718536414,0.05045606601856461,0.6351351351351351,1.0,0.8601036269430051,0.9300518134715026,0.7768595041322314,0.944066255098666,0.7055852415031654,0.06893274802217271,0.77414160691513,0.008635578583765069,yes,no
48,stage2_search,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_regularized,20260712,isotonic,precision_oriented,0.05,24,0.6573426573426573,1.0,0.8730569948186528,0.9365284974093264,0.7932489451476793,0.9867832776001666,0.927608718536414,0.05045606601856461,0.6351351351351351,1.0,0.8601036269430051,0.9300518134715026,0.7768595041322314,0.944066255098666,0.7055852415031654,0.06893274802217271,0.7743143184868053,0.006476683937823857,yes,no
49,stage2_search,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_regularized,20260712,isotonic,balanced,0.05,24,0.6573426573426573,1.0,0.8730569948186528,0.9365284974093264,0.7932489451476793,0.9867832776001666,0.927608718536414,0.05045606601856461,0.6351351351351351,1.0,0.8601036269430051,0.9300518134715026,0.7768595041322314,0.944066255098666,0.7055852415031654,0.06893274802217271,0.7743143184868053,0.006476683937823857,yes,yes
50,stage2_search,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_regularized,20260712,isotonic,recall_guard,0.05,24,0.6573426573426573,1.0,0.8730569948186528,0.9365284974093264,0.7932489451476793,0.9867832776001666,0.927608718536414,0.05045606601856461,0.6351351351351351,1.0,0.8601036269430051,0.9300518134715026,0.7768595041322314,0.944066255098666,0.7055852415031654,0.06893274802217271,0.7743143184868053,0.006476683937823857,yes,no
51,stage2_search,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_regularized,20260712,isotonic,precision_min_recall,0.05,24,0.6573426573426573,1.0,0.8730569948186528,0.9365284974093264,0.7932489451476793,0.9867832776001666,0.927608718536414,0.05045606601856461,0.6351351351351351,1.0,0.8601036269430051,0.9300518134715026,0.7768595041322314,0.944066255098666,0.7055852415031654,0.06893274802217271,0.7743143184868053,0.006476683937823857,yes,no
