domain,role,mode,active_model_id,model_family,feature_set_id,threshold,n_features,feature_columns_sha16,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,final_class,final_operational_class,confidence_pct,confidence_band,guardrail_margin_min,near_guardrail_flag,guardrail_violation_flag,weak_class_flag,overfit_or_gap_flag,secondary_anomaly_text_flag,feature_dominance_pending_audit,clone_pending_audit,missing_features_in_dataset,missing_features_in_inputs_master,input_compatibility_ok
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_structural_mode_rescue_v1__rf__structural_dsm5_plus_context_1_3,rf,structural_dsm5_plus_context_1_3,0.57,36,6a443060444a03ab,0.7073170731707317,0.925531914893617,0.9067357512953368,0.9161338330944768,0.8018433179723502,0.9538915224341308,0.7445006080765808,0.0753460583624701,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,62.9,limited,0.026108477565869204,no,no,yes,no,yes,yes,yes,,,yes
adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_structural_mode_rescue_v1__rf__structural_compact_2_3,rf,structural_compact_2_3,0.54,69,8b312fa01539fe35,0.7063492063492064,0.946808510638298,0.9041450777202072,0.9254767941792524,0.8090909090909091,0.9545529710065044,0.7295274311684008,0.0744408560108688,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,63.0,limited,0.025447028993495602,no,no,yes,no,yes,yes,yes,,,yes
adhd,caregiver,caregiver_full,adhd__caregiver_full__rebuild_v2__rf__engineered_compact,rf,engineered_compact,0.4049999999999999,53,982a6cc07389a227,0.7403846153846154,0.8191489361702128,0.9300518134715026,0.8746003748208577,0.7777777777777778,0.9506394002866276,0.7118788252075036,0.0687218130961477,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,52.6,limited,0.02936059971337235,no,no,yes,no,yes,yes,yes,,,yes
adhd,psychologist,psychologist_1_3,adhd__psychologist_1_3__hybrid_final_model_structural_compliance_v1__logreg__structural_ranked_direct,logreg,structural_ranked_direct,0.62,9,7a17cc38a62ff6a8,0.6640625,0.9042553191489362,0.8886010362694301,0.8964281777091831,0.7657657657657657,0.950446477786352,0.7241215262864815,0.0875123423719748,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,53.5,limited,0.02955352221364793,no,no,yes,no,yes,yes,yes,,,yes
adhd,psychologist,psychologist_2_3,adhd__psychologist_2_3__hybrid_structural_mode_rescue_v1__logreg__structural_ranked_2_3,logreg,structural_ranked_2_3,0.74,101,6fcb43f11bc9d427,0.780952380952381,0.8723404255319149,0.9404145077720208,0.9063774666519678,0.8241206030150754,0.9777036710395768,0.91944061580705,0.0878566848290679,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,63.0,limited,0.0022963289604231996,yes,no,yes,no,yes,yes,yes,,,yes
adhd,psychologist,psychologist_full,adhd__psychologist_full__v6_hotfix_v1__logreg__dsm5_core_only,logreg,dsm5_core_only,0.654,27,f0a5ea80b9a25ada,0.6910569105691057,0.9042553191489362,0.9015544041450776,0.902904861647007,0.783410138248848,0.9690497188843568,0.8323549472799558,0.0817923949186582,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,57.5,limited,0.010950281115643223,no,no,yes,no,yes,yes,yes,,,yes
anxiety,caregiver,caregiver_1_3,anxiety__caregiver_1_3__rebuild_v2__rf__engineered_full,rf,engineered_full,0.3199999999999999,58,dbfc185778ae6371,0.8875,0.8255813953488372,0.9771573604060914,0.9013693778774644,0.8554216867469879,0.9767441860465116,0.9266917820093952,0.0368358394115982,PRIMARY_WITH_CAVEAT,ACTIVE_MODERATE_CONFIDENCE,83.6,moderate,0.0028426395939086246,yes,no,no,no,yes,yes,yes,,,yes
anxiety,caregiver,caregiver_2_3,anxiety__caregiver_2_3__v6_hotfix_v1__logreg__engineered_pruned_no_eng_v1,logreg,engineered_pruned_no_eng_v1,0.8649999999999999,59,52fbb664640d2f7d,0.9,0.8372093023255814,0.9796954314720812,0.9084523668988314,0.8674698795180723,0.976508086412466,0.9296147704456827,0.0567813344547886,PRIMARY_WITH_CAVEAT,ACTIVE_MODERATE_CONFIDENCE,84.9,moderate,0.00030456852791882483,yes,no,no,no,yes,yes,yes,,,yes
anxiety,caregiver,caregiver_full,anxiety__caregiver_full__v6_hotfix_v1__logreg__full_eligible,logreg,full_eligible,0.73,126,35e7f847366e4396,0.8390804597701149,0.8488372093023255,0.964467005076142,0.9066521071892338,0.8439306358381503,0.9746488017943572,0.9164530208073066,0.0533859879741393,PRIMARY_WITH_CAVEAT,ACTIVE_MODERATE_CONFIDENCE,80.9,moderate,0.005351198205642782,yes,no,no,no,no,yes,yes,,,yes
anxiety,psychologist,psychologist_1_3,anxiety__psychologist_1_3__hybrid_final_model_structural_compliance_v1__logreg__legacy_structural_intersection,logreg,legacy_structural_intersection,0.5599999999999999,14,fa65c9fdcc8b3349,0.7572815533980582,0.9069767441860463,0.9365482233502538,0.9217624837681502,0.8253968253968254,0.9792527446582456,0.924012075363762,0.0603310349484983,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,63.0,limited,0.0007472553417543493,yes,no,yes,no,yes,yes,yes,,,yes
