domain,role,mode,active_model_id,config_id,calibration,threshold_policy,threshold,val_brier,brier,val_ece,holdout_ece
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_calibrated_regularized,isotonic,recall_target_guard,0.3999999999999999,0.05141762672912759,0.06389466244508701,0.021599654038151686,0.02389242241529588
adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_precision_guarded,none,recall_target_guard,0.5599999999999999,0.06367980701802674,0.07868796345116312,0.06975453443891634,0.0783782435811946
adhd,caregiver,caregiver_full,adhd__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_balanced_regularized,none,recall_target_guard,0.4666534718198245,0.0600858764843049,0.07554613242576143,0.06291018539887792,0.07107558383791154
adhd,psychologist,psychologist_1_3,adhd__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_calibrated_regularized,none,f1_ba_conservative,0.5499999999999999,0.07090482694229593,0.07867751257646273,0.06983471943387672,0.0730023421604309
adhd,psychologist,psychologist_2_3,adhd__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_calibrated_regularized,isotonic,f1_ba_conservative,0.27999999999999997,0.024607928798472668,0.040598501827319756,0.020543796531834715,0.017592707690663182
adhd,psychologist,psychologist_full,adhd__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_guardrail_randomized,none,recall_target_guard,0.6,0.08485897178241059,0.09390187028874665,0.14015862991194458,0.12325976241349514
anxiety,caregiver,caregiver_1_3,anxiety__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_calibrated_regularized,isotonic,recall_target_guard,0.29,0.045075050155823956,0.03778474446195049,0.03386859611336722,0.013880122045605998
anxiety,caregiver,caregiver_2_3,anxiety__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_guardrail_very_random,none,f1_ba_conservative,0.5509721185330153,0.13771602771332164,0.1324680784221708,0.25858730690714626,0.26493920824030165
anxiety,caregiver,caregiver_full,anxiety__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_guardrail_very_random,none,f1_ba_conservative,0.5299999999999999,0.14071972375403058,0.1363188022729681,0.2554982249873236,0.2529130586569768
anxiety,psychologist,psychologist_1_3,anxiety__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_guardrail_very_random,none,f1_ba_conservative,0.5336125226848083,0.12783419673472704,0.11958115342547092,0.2500079956016035,0.247191530887696
anxiety,psychologist,psychologist_2_3,anxiety__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_guardrail_very_random,none,f1_ba_conservative,0.5394416137058918,0.12706588808421013,0.12154854311232437,0.2508812834686903,0.2547239203575779
anxiety,psychologist,psychologist_full,anxiety__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_guardrail_very_random,none,f1_ba_conservative,0.5279665721525749,0.1595414333435718,0.1582824747037536,0.29563689703583884,0.2920891207806689
conduct,caregiver,caregiver_1_3,conduct__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_balanced_regularized,none,recall_target_guard,0.48999999999999994,0.058479742447569386,0.057866313543761684,0.06266683117368188,0.059046477441403
