domain,role,mode,old_champion,old_model_family,new_rf_champion,champion_final,promoted,old_f1,new_f1,delta_f1,old_recall,new_recall,delta_recall,old_precision,new_precision,delta_precision,old_specificity,new_specificity,delta_specificity,old_balanced_accuracy,new_balanced_accuracy,delta_balanced_accuracy,old_roc_auc,new_roc_auc,delta_roc_auc,old_pr_auc,new_pr_auc,delta_pr_auc,old_brier,new_brier,delta_brier,old_class,new_class,old_confidence_pct,new_confidence_pct,selection_reason
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_structural_mode_rescue_v1__rf__structural_dsm5_plus_context_1_3,rf,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.8018433179723502,0.8093023255813954,0.007459007609045165,0.925531914893617,0.925531914893617,0.0,0.7073170731707317,0.71900826446281,0.011691191292078296,0.9067357512953368,0.9119170984455959,0.005181347150259086,0.9161338330944768,0.9187245066696064,0.002590673575129543,0.9538915224341308,0.9492613824275163,-0.004630140006614436,0.7445006080765808,0.7241089004526715,-0.020391707623909294,0.0753460583624701,0.06389466244508701,-0.01145139591738309,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,62.9,63.0,rf_improves_or_matches_previous_balance
adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_structural_mode_rescue_v1__rf__structural_compact_2_3,rf,adhd__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.8090909090909091,0.7982062780269058,-0.01088463106400328,0.946808510638298,0.9468085106382979,-1.1102230246251565e-16,0.7063492063492064,0.689922480620155,-0.01642672572905135,0.9041450777202072,0.8963730569948186,-0.007772020725388629,0.9254767941792524,0.9215907838165582,-0.0038860103626942033,0.9545529710065044,0.9524583838606547,-0.0020945871458496468,0.7295274311684008,0.7461931953430669,0.016665764174666142,0.0744408560108688,0.07868796345116312,0.004247107440294315,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,63.0,63.0,rf_only_mandate_best_valid_rf_even_if_regression
adhd,caregiver,caregiver_full,adhd__caregiver_full__rebuild_v2__rf__engineered_compact,rf,adhd__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.7777777777777778,0.8036529680365296,0.025875190258751846,0.8191489361702128,0.9361702127659575,0.11702127659574468,0.7403846153846154,0.704,-0.03638461538461546,0.9300518134715026,0.9041450777202072,-0.025906735751295318,0.8746003748208577,0.9201576452430824,0.04555727042222468,0.9506394002866276,0.951383529930548,0.0007441296439203438,0.7118788252075036,0.7300419974766443,0.01816317226914077,0.0687218130961477,0.07554613242576143,0.0068243193296137344,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,52.6,63.0,rf_improves_or_matches_previous_balance
adhd,psychologist,psychologist_1_3,adhd__psychologist_1_3__hybrid_final_model_structural_compliance_v1__logreg__structural_ranked_direct,logreg,adhd__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.7657657657657657,0.7909090909090909,0.02514332514332518,0.9042553191489362,0.925531914893617,0.02127659574468077,0.6640625,0.6904761904761905,0.026413690476190466,0.8886010362694301,0.8989637305699482,0.01036269430051806,0.8964281777091831,0.9122478227317825,0.01581964502259936,0.950446477786352,0.9497299084996141,-0.0007165692867379114,0.7241215262864815,0.7180700559629031,-0.006051470323578445,0.0875123423719748,0.07867751257646273,-0.008834829795512075,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,53.5,63.0,rf_improves_or_matches_previous_balance
adhd,psychologist,psychologist_2_3,adhd__psychologist_2_3__hybrid_structural_mode_rescue_v1__logreg__structural_ranked_2_3,logreg,adhd__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.8241206030150754,0.8421052631578947,0.017984660142819298,0.8723404255319149,0.851063829787234,-0.021276595744680882,0.780952380952381,0.8333333333333334,0.05238095238095242,0.9404145077720208,0.9585492227979274,0.018134715025906578,0.9063774666519678,0.9048065262925807,-0.0015709403593870963,0.9777036710395768,0.9720675779958107,-0.0056360930437661105,0.91944061580705,0.9313831206397698,0.011942504832719747,0.0878566848290679,0.040598501827319756,-0.047258183001748146,ACTIVE_LIMITED_USE,ACTIVE_MODERATE_CONFIDENCE,63.0,84.8,rf_improves_or_matches_previous_balance
adhd,psychologist,psychologist_full,adhd__psychologist_full__v6_hotfix_v1__logreg__dsm5_core_only,logreg,adhd__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.783410138248848,0.8075117370892019,0.0241015988403539,0.9042553191489362,0.9148936170212766,0.010638297872340385,0.6910569105691057,0.7226890756302521,0.03163216506114641,0.9015544041450776,0.9145077720207254,0.012953367875647825,0.902904861647007,0.914700694521001,0.011795832873993994,0.9690497188843568,0.9629313195899019,-0.0061183992944549015,0.8323549472799558,0.8534145929527844,0.021059645672828586,0.0817923949186582,0.09390187028874665,0.012109475370088454,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,57.5,63.0,rf_improves_or_matches_previous_balance
anxiety,caregiver,caregiver_1_3,anxiety__caregiver_1_3__rebuild_v2__rf__engineered_full,rf,anxiety__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,anxiety__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.8554216867469879,0.8700564971751412,0.014634810428153289,0.8255813953488372,0.8953488372093024,0.06976744186046513,0.8875,0.8461538461538461,-0.04134615384615381,0.9771573604060914,0.9644670050761421,-0.012690355329949221,0.9013693778774644,0.9299079211427222,0.028538543265257843,0.9767441860465116,0.9767884547278951,4.426868138351914e-05,0.9266917820093952,0.9193327479894848,-0.007359034019910338,0.0368358394115982,0.03778474446195049,0.0009489050503522847,ACTIVE_MODERATE_CONFIDENCE,ACTIVE_MODERATE_CONFIDENCE,83.6,84.9,rf_improves_or_matches_previous_balance
anxiety,caregiver,caregiver_2_3,anxiety__caregiver_2_3__v6_hotfix_v1__logreg__engineered_pruned_no_eng_v1,logreg,anxiety__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,anxiety__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.8674698795180723,0.8402366863905325,-0.0272331931275398,0.8372093023255814,0.8255813953488372,-0.011627906976744207,0.9,0.8554216867469879,-0.04457831325301209,0.9796954314720812,0.9695431472081218,-0.01015228426395931,0.9084523668988314,0.8975622712784795,-0.010890095620351814,0.976508086412466,0.9643637114862472,-0.012144374926218782,0.9296147704456827,0.8985296515822613,-0.031085118863421468,0.0567813344547886,0.1324680784221708,0.07568674396738219,ACTIVE_MODERATE_CONFIDENCE,ACTIVE_LIMITED_USE,84.9,63.0,rf_only_mandate_best_valid_rf_even_if_regression
anxiety,caregiver,caregiver_full,anxiety__caregiver_full__v6_hotfix_v1__logreg__full_eligible,logreg,anxiety__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,anxiety__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.8439306358381503,0.8187134502923976,-0.025217185545752696,0.8488372093023255,0.813953488372093,-0.03488372093023251,0.8390804597701149,0.8235294117647058,-0.015551048005409074,0.964467005076142,0.9619289340101523,-0.002538071065989689,0.9066521071892338,0.8879412111911227,-0.018710895998111154,0.9746488017943572,0.9536654468185574,-0.02098335497579984,0.9164530208073066,0.8531067850920091,-0.06334623571529752,0.0533859879741393,0.1363188022729681,0.08293281429882882,ACTIVE_MODERATE_CONFIDENCE,ACTIVE_LIMITED_USE,80.9,63.0,rf_only_mandate_best_valid_rf_even_if_regression
anxiety,psychologist,psychologist_1_3,anxiety__psychologist_1_3__hybrid_final_model_structural_compliance_v1__logreg__legacy_structural_intersection,logreg,anxiety__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,anxiety__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.8253968253968254,0.8352941176470589,0.009897292250233503,0.9069767441860463,0.8255813953488372,-0.08139534883720911,0.7572815533980582,0.8452380952380952,0.08795654184003698,0.9365482233502538,0.9670050761421319,0.030456852791878153,0.9217624837681502,0.8962932357454846,-0.02546924802266559,0.9792527446582456,0.9639652933537952,-0.015287451304450417,0.924012075363762,0.8800940637253928,-0.04391801163836917,0.0603310349484983,0.11958115342547092,0.05925011847697262,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,63.0,63.0,rf_only_mandate_best_valid_rf_even_if_regression
