domain,mode,role,active_model_id,shortcut_dominance_flag,dominance_type,top1_importance_share,top3_importance_share,top1_drop_abs_ba,model_balanced_accuracy
adhd,caregiver_1_3,caregiver,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.12007874009063566,0.3356172994613815,0.025906735751295318,0.9187245066696064
adhd,caregiver_2_3,caregiver,adhd__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.21166810484327067,0.5027311566591611,0.025906735751295318,0.9215907838165582
adhd,caregiver_full,caregiver,adhd__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.1661946241025774,0.4056902459165198,0.06540072759342963,0.9201576452430824
adhd,psychologist_1_3,psychologist,adhd__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.20282389379708332,0.5567100696677907,0.07358615367655164,0.9122478227317825
adhd,psychologist_2_3,psychologist,adhd__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.07412749792175703,0.19831123354476576,0.014248704663212375,0.9048065262925807
adhd,psychologist_full,psychologist,adhd__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.1551609710626186,0.3664564888715325,0.024611398963730657,0.914700694521001
anxiety,caregiver_1_3,caregiver,anxiety__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.21685553440506222,0.5065758752667631,0.06088419312950066,0.9299079211427222
anxiety,caregiver_2_3,caregiver,anxiety__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.09375,0.21875,0.12103057490260893,0.8975622712784795
anxiety,caregiver_full,caregiver,anxiety__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.09375,0.21875,0.10485774997048758,0.8879412111911227
anxiety,psychologist_1_3,psychologist,anxiety__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.17142857142857143,0.42857142857142855,0.0038071065989847552,0.8962932357454846
anxiety,psychologist_2_3,psychologist,anxiety__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.09677419354838708,0.2258064516129032,0.03308346122063521,0.9008381537008618
anxiety,psychologist_full,psychologist,anxiety__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.07692307692307693,0.23076923076923078,0.1306516349899658,0.8316019360169992
conduct,caregiver_1_3,caregiver,conduct__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.1771339366496858,0.4058562589644231,0.01718749999999991,0.9265625
conduct,caregiver_2_3,caregiver,conduct__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.09090909090909091,0.21212121212121213,0.0015625000000001332,0.9109375
conduct,caregiver_full,caregiver,conduct__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.17318176246186823,0.3507839616652251,0.0031250000000000444,0.909375
conduct,psychologist_1_3,psychologist,conduct__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.13579569389879492,0.3455721793912744,0.015625,0.9265625
conduct,psychologist_2_3,psychologist,conduct__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.17203330059553265,0.3579314740439101,0.020312500000000067,0.909375
conduct,psychologist_full,psychologist,conduct__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.16509260815412044,0.3272989764313847,0.014062499999999867,0.9078124999999999
depression,caregiver_1_3,caregiver,depression__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.1798300374716645,0.3668233692904771,0.10580340728030391,0.9237651672999142
depression,caregiver_2_3,caregiver,depression__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.13782768732221812,0.28354232186403655,0.07405932099521995,0.9321914450300282
depression,caregiver_full,caregiver,depression__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.22839666405867878,0.43579817868859316,0.15565633043265104,0.9176676063243044
depression,psychologist_1_3,psychologist,depression__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.30357743506807755,0.6824066120185742,0.2130469420272092,0.929862728275524
depression,psychologist_2_3,psychologist,depression__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.14560281375992495,0.31075680045535975,0.059535482289496344,0.9311190096825592
depression,psychologist_full,psychologist,depression__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.10063189914037589,0.2083680580268676,0.057022919475425926,0.9199963230788086
elimination,caregiver_1_3,caregiver,elimination__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,top_feature_or_top3_dominance,0.41818181818181815,1.0,0.4282890007189073,0.9282890007189073
elimination,caregiver_2_3,caregiver,elimination__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.39473684210526316,0.868421052631579,0.05212077641984181,0.9259525521207764
elimination,caregiver_full,caregiver,elimination__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.3097264277566705,0.7086654660154035,0.403217109992811,0.9597411933860532
elimination,psychologist_1_3,psychologist,elimination__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.4842624289865905,0.7647129958238695,0.4032171099928109,0.940510424155284
elimination,psychologist_2_3,psychologist,elimination__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.33086422256672454,0.7173538881669071,0.4043853342918763,0.9524622573687994
elimination,psychologist_full,psychologist,elimination__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,none,0.40334351682006975,0.7021865984315462,0.4128324946081955,0.9609094176851186
