candidate_id,domain,mode,role,winner_feature_set_id,winner_config_id,winner_calibration,winner_threshold_policy,winner_threshold,winner_threshold_policy_score,winner_seed,n_features,top_features,train_precision,train_recall,train_specificity,train_balanced_accuracy,train_f1,train_roc_auc,train_pr_auc,train_brier,val_precision,val_recall,val_specificity,val_balanced_accuracy,val_f1,val_roc_auc,val_pr_auc,val_brier,holdout_precision,holdout_recall,holdout_specificity,holdout_balanced_accuracy,holdout_f1,holdout_roc_auc,holdout_pr_auc,holdout_brier,overfit_gap_train_val_ba,generalization_gap_val_holdout_ba,seed_ba_std,seed_precision_std,seed_recall_std,seed_pr_auc_std,seed_brier_std,worst_stress_ba_drop,worst_stress_precision_drop,dominant_feature_share,hybrid_minus_clean_balanced_accuracy,hybrid_minus_clean_pr_auc,hybrid_minus_clean_precision,hybrid_minus_clean_brier,v3_holdout_precision,v3_holdout_recall,v3_holdout_balanced_accuracy,v3_holdout_pr_auc,v3_holdout_brier,delta_precision_vs_v3,delta_recall_vs_v3,delta_balanced_accuracy_vs_v3,delta_pr_auc_vs_v3,delta_brier_vs_v3,material_improvement_vs_v3,ranking_score,promotion_decision,decision_reason
elimination__caregiver_2_3,elimination,caregiver_2_3,caregiver,precision_oriented_subset,rf_positive_push_strong,isotonic,balanced,0.05,1.0,20260712,45,enuresis_distress_impairment|enuresis_event_frequency_per_week|encopresis_event_frequency_per_month|enuresis_duration_months_consecutive|encopresis_duration_months_consecutive|dmdd_outbursts_frequency_per_week|age_years|dmdd_duration_months,0.9567901234567902,1.0,0.9945525291828794,0.9972762645914397,0.9779179810725552,0.998825153759257,0.9808924999934979,0.003029635828709377,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000318707e-12,0.9811320754716981,1.0,0.9976635514018691,0.9988317757009346,0.9904761904761905,1.0,1.0,0.000147235894965618,-0.0027237354085603016,0.001168224299065379,0.0005841121495326895,0.009433962264150941,0.0,0.0,8.85695165389578e-05,-0.06730769230769229,-0.0028712059064807116,0.3707065771946918,,,,,0.981132075471698,1.0,0.9988317757009346,1.0,0.0001472358949656,1.1102230246251565e-16,0.0,0.0,0.0,1.7997756063259374e-17,no,0.9121606774853063,CEILING_CONFIRMED_NO_MATERIAL_GAIN,stable_no_material_gain_vs_v3
elimination__psychologist_2_3,elimination,psychologist_2_3,psychologist,compact_robust_subset,rf_positive_push_strong__pos_weight_mid,isotonic,balanced,0.05,1.0,20260712,61,enuresis_distress_impairment|enuresis_event_frequency_per_week|encopresis_event_frequency_per_month|enuresis_duration_months_consecutive|encopresis_duration_months_consecutive|icut_total|sep_anx_duration_weeks|dmdd_duration_months,0.9627329192546584,1.0,0.9953307392996109,0.9976653696498055,0.9810126582278481,0.9988326848249027,0.9810126582278481,0.0032452398059751413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000318707e-12,0.9811320754716981,1.0,0.9976635514018691,0.9988317757009346,0.9904761904761905,1.0,1.0,0.0008869532963330752,-0.0023346303501945442,0.001168224299065379,0.0,0.0,0.0,0.00955295303370384,0.0008124029878240517,-0.039629762760603926,-0.03567753001715268,0.5118429447125622,0.44446441409058235,0.8313072578858787,0.843989218328841,-0.0947040877775042,0.981132075471698,1.0,0.9988317757009346,1.0,0.0004370981708801,1.1102230246251565e-16,0.0,0.0,0.0,0.00044985512545297514,no,0.9121015000931968,CEILING_CONFIRMED_NO_MATERIAL_GAIN,stable_no_material_gain_vs_v3
anxiety__caregiver_2_3,anxiety,caregiver_2_3,caregiver,precision_oriented_subset,rf_positive_push_strong,isotonic,precision_min_recall,0.5049999999999999,0.9571627905348286,20260712,45,sep_anx_symptom_count|sep_anx_impairment|gad_assoc_symptom_count|gad_impairment|sep_anx_duration_weeks|mdd_symptom_count|social_anxiety_fear_negative_evaluation|gad_difficulty_controlling_worry,0.9878048780487805,0.9418604651162791,0.9974619289340102,0.9696611970251446,0.9642857142857143,0.9997278295885308,0.9984927283164813,0.006992885300347921,0.9629629629629629,0.9069767441860465,0.9923857868020305,0.9496812654940385,0.9341317365269461,0.9955878880887734,0.9710009296534314,0.01695283882863883,0.9506172839506173,0.8953488372093024,0.9898477157360406,0.9425982764726715,0.9221556886227545,0.9871915948530279,0.9401752429816774,0.01995237273790314,0.01997993153110611,0.007082989021367059,0.05624330178655601,0.007604055112142485,0.11248660357311206,0.0041774261642563175,0.0010695073062419766,-0.19059142958328412,-0.04739147749900441,0.45410912119977753,,,,,0.95,0.8837209302325582,0.9367843229842994,0.9405128390040636,0.0207487300709346,0.0006172839506173311,0.011627906976744207,0.005813953488372103,-0.00033759602238614406,-0.0007963573330314576,no,0.863640737572288,PROMOTE_WITH_CAVEAT,usable_but_with_limitations
anxiety__caregiver_full,anxiety,caregiver_full,caregiver,stability_pruned_subset,rf_positive_push_strong__pos_weight_mid,isotonic,default_0_5,0.5,0.8736963777179458,20260712,84,scared_p_total|scared_p_separation_anxiety|sep_anx_impairment|mfq_p_total|sep_anx_symptom_count|scared_p_generalized_anxiety|scared_p_panic_somatic|sep_anx_duration_weeks,0.9883268482490273,0.9844961240310077,0.9974619289340102,0.9909790264825089,0.9864077669902913,0.9997507837196186,0.9980793745453637,0.007115468201773872,0.9222222222222223,0.9651162790697675,0.9822335025380711,0.9736748908039192,0.9431818181818182,0.9961633809467595,0.9774874975726102,0.01667328042412834,0.9166666666666666,0.8953488372093024,0.9822335025380711,0.9387911698736867,0.9058823529411765,0.9863504899067406,0.9363791025648567,0.030046323796972658,0.017304135678589683,0.03488372093023251,0.0,0.0,0.0,0.008684418258544645,0.0013426203644581244,-0.07304332428284732,-0.010784313725490158,0.4201023642456848,0.06976744186046513,0.061355315667089405,0.01388888888888884,-0.012357320485023072,0.9111111111111112,0.9534883720930232,0.9665919017825524,0.9335693366588522,0.0255939378067374,0.005555555555555425,-0.05813953488372081,-0.027800731908865672,0.0028097659060044577,0.004452385990235258,no,0.8476559637151981,REJECT_AS_PRIMARY,worse_than_v3_or_unstable
depression__psychologist_2_3,depression,psychologist_2_3,psychologist,stability_pruned_subset,rf_positive_push_strong,isotonic,precision_min_recall,0.62,0.9171934709573024,20260729,68,mdd_symptom_count|mdd_duration_weeks|mdd_impairment|mdd_core_symptom_met|pdd_duration_months_child|mfq_p_total|dmdd_duration_months|ari_p_symptom_total,0.9486166007905138,0.9795918367346939,0.9891213389121339,0.984356587823414,0.963855421686747,0.9978891640338144,0.9813342678844943,0.011404707992942244,0.9305555555555556,0.8170731707317073,0.9874371859296482,0.9022551783306778,0.8701298701298701,0.9889692364260326,0.933001220991907,0.02778459318158256,0.8918918918918919,0.8048780487804879,0.9798994974874372,0.8923887731339626,0.8461538461538461,0.9766975119499939,0.8795058636783943,0.043644181809701234,0.08210140949273614,0.009866405196715222,0.0022273998085419323,0.021433416898273307,0.0060975609756097615,0.008043320163398014,0.0017675732612517894,-0.19493810515994614,-0.09413908290312789,0.46404570768462117,0.03624831474445411,0.10872242596106962,0.22178879910838678,-0.025584627851619322,0.8918918918918919,0.8048780487804879,0.8923887731339626,0.8795058636783943,0.0436441818097012,0.0,0.0,0.0,0.0,3.469446951953614e-17,no,0.8062373881042915,PROMOTE_WITH_CAVEAT,usable_but_with_limitations
depression__psychologist_full,depression,psychologist_full,psychologist,full_eligible,rf_precision_push,none,recall_constrained,0.36499999999999994,0.9164613037121049,20260712,202,mdd_symptom_count|mdd_impairment|mdd_duration_weeks|pdd_duration_months_child|mdd_core_symptom_met|pdd_symptom_count|mfq_p_total|mdd_02_loss_of_interest_or_pleasure,0.9386973180076629,1.0,0.9866108786610879,0.9933054393305439,0.9683794466403162,0.9997165058492017,0.9986316157144332,0.010412142855334604,0.9024390243902439,0.9024390243902439,0.9798994974874372,0.9411692609388406,0.9024390243902439,0.9887853903664665,0.9574552972019412,0.03049062480273042,0.8255813953488372,0.8658536585365854,0.9623115577889447,0.9140826081627651,0.8452380952380952,0.9852003922049271,0.9477487948694039,0.03365353111556988,0.05213617839170337,0.02708665277607547,0.0005362176737345736,0.019308067757680125,0.0060975609756097615,0.0009779788135025956,8.474613969194771e-05,-0.11064468684887863,-0.06027527289985768,0.47085427372119587,0.07246598847898034,0.16657456784972247,0.1442627140301559,-0.033777022719968054,0.8255813953488372,0.8658536585365854,0.9140826081627652,0.947748794869404,0.0336535311155698,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,8.326672684688674e-17,no,0.8041002505395041,HOLD_FOR_FINAL_LIMITATION,fragility_or_metric_limit_without_safe_gain
elimination__caregiver_1_3,elimination,caregiver_1_3,caregiver,compact_robust_subset,rf_precision_push__shallow_precision,none,recall_constrained,0.4549999999999999,0.9053681236212193,20260712,27,enuresis_event_frequency_per_week|encopresis_event_frequency_per_month|dmdd_outbursts_frequency_per_week|adhd_hypimp_06_talks_excessively|conduct_recent_6m_count|adhd_hyperimpulsive_symptom_count|adhd_inatt_07_loses_things|conduct_symptom_count_12m,0.896969696969697,0.9548387096774194,0.9867704280155642,0.9708045688464918,0.925,0.9982879377431906,0.9859526620911643,0.01254004306183309,0.9166666666666666,0.8461538461538461,0.9906542056074766,0.9184040258806614,0.88,0.9789944284687276,0.9408846869670463,0.021270733062962018,0.8070175438596491,0.8846153846153846,0.9742990654205608,0.9294572250179727,0.8440366972477065,0.9925413371675053,0.9432765741870175,0.021935225718214366,0.05240054296583041,0.011053199137311287,0.019160707016932406,0.01315784602461447,0.04154320960517859,0.002699636486518563,0.00011673775311022532,-0.10343278217109986,-0.03429027113237637,0.730687023423545,,,,,0.7818181818181819,0.8269230769230769,0.8994428468727533,0.9382639506693078,0.0224723810005421,0.02519936204146722,0.05769230769230771,0.030014378145219345,0.005012623517709702,-0.0005371552823277351,yes,0.8023732553059175,HOLD_FOR_FINAL_LIMITATION,fragility_or_metric_limit_without_safe_gain
depression__caregiver_full,depression,caregiver_full,caregiver,precision_oriented_subset,rf_positive_push_strong,isotonic,recall_constrained,0.09,0.9114603348930943,20260729,68,mdd_symptom_count|mdd_duration_weeks|mdd_impairment|mdd_core_symptom_met|pdd_duration_months_child|pdd_symptom_count|mfq_p_total|pdd_impairment,0.9040590405904059,1.0,0.9782426778242678,0.9891213389121338,0.9496124031007752,0.9981145931175819,0.9848377591040434,0.012649414533432981,0.875,0.9390243902439024,0.9723618090452262,0.9556930996445643,0.9058823529411765,0.9866558401764922,0.9340297492250962,0.026747199622005596,0.8043478260869565,0.9024390243902439,0.9547738693467337,0.9286064468684888,0.8505747126436781,0.9822435347469052,0.9115860387174166,0.037988122862413924,0.03342823926756955,0.02708665277607547,0.007403651526489193,0.00698297183612081,0.015345191941607229,0.009996609558439255,0.0011578051050453527,-0.1337786493442824,-0.22040622024754053,0.46423959805958553,0.06655227356293669,0.15820514795192753,0.16011705685618727,-0.03241603451725863,0.8043478260869565,0.902439024390244,0.9286064468684888,0.9115860387174166,0.0379881228624139,0.0,-1.1102230246251565e-16,0.0,0.0,2.0816681711721685e-17,no,0.7958950172623861,HOLD_FOR_FINAL_LIMITATION,fragility_or_metric_limit_without_safe_gain
depression__caregiver_2_3,depression,caregiver_2_3,caregiver,balanced_subset,rf_precision_push,isotonic,recall_constrained,0.33499999999999996,0.9134974759038537,20260729,62,mdd_symptom_count|mdd_impairment|mdd_duration_weeks|pdd_duration_months_child|mdd_core_symptom_met|dmdd_duration_months|mdd_02_loss_of_interest_or_pleasure|dmdd_outbursts_frequency_per_week,0.9272030651340997,0.9877551020408163,0.9841004184100418,0.985927760225429,0.9565217391304348,0.9974690461958843,0.9808221554429564,0.013075739668352368,0.9024390243902439,0.9024390243902439,0.9798994974874372,0.9411692609388406,0.9024390243902439,0.9884636597622257,0.927817019119429,0.0276988390390928,0.8,0.8780487804878049,0.9547738693467337,0.9164113249172693,0.8372093023255814,0.9633227111165584,0.8823485733137757,0.044622721457806235,0.04475849928658848,0.02475793602157128,0.0016479812685944598,0.024853250266927456,0.0060975609756097615,0.006725001151192624,0.0014309472022112203,-0.14830248805000612,-0.03404255319148941,0.48220924122694986,,,,,0.75,0.8780487804878049,0.9088736364750584,0.8809038329339172,0.0467397860859355,0.050000000000000044,0.0,0.007537688442210921,0.0014447403798585334,-0.0021170646281292657,yes,0.7829965215087803,HOLD_FOR_FINAL_LIMITATION,fragility_or_metric_limit_without_safe_gain
elimination__psychologist_1_3,elimination,psychologist_1_3,psychologist,full_eligible,rf_baseline,isotonic,default_0_5,0.5,0.842763057427685,20260712,71,enuresis_event_frequency_per_week|encopresis_event_frequency_per_month|dmdd_outbursts_frequency_per_week|sep_anx_symptom_count|conduct_symptom_count_12m|adhd_hyperimpulsive_symptom_count|adhd_inattention_symptom_count|mdd_symptom_count,0.9872611464968153,1.0,0.998443579766537,0.9992217898832685,0.9935897435897436,1.0,1.0,0.002334425625636351,0.9183673469387755,0.8653846153846154,0.9906542056074766,0.928019410496046,0.8910891089108911,0.9889692667145937,0.9312576073399499,0.01841713408160908,0.7884615384615384,0.7884615384615384,0.9742990654205608,0.8813803019410495,0.7884615384615384,0.9831506110711719,0.8737563002188758,0.03123659221675187,0.07120237938722251,0.04663910855499642,0.03762677206602288,0.03186123780676189,0.08215388216651474,0.00820870111628809,0.0020752643756005306,-0.07458662832494611,-0.017628205128205066,0.45225177276389283,,,,,0.7884615384615384,0.7884615384615384,0.8813803019410495,0.8737563002188758,0.0312365922167518,0.0,0.0,0.0,0.0,6.938893903907228e-17,no,0.7605392483586786,HOLD_FOR_FINAL_LIMITATION,fragility_or_metric_limit_without_safe_gain
