domain,role,feature,model_importance_score,questionnaire_rank,rank_score,domain_score,core_score,composite_importance,feature_type,selection_rationale
adhd,caregiver,adhd_onset_before_12,1.0,85.0,0.4246575342465754,1.0,0.45,0.829931506849315,history_flag,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
adhd,caregiver,adhd_inatt_08_easily_distracted,0.6211795703514035,17.0,0.8904109589041096,1.0,1.0,0.7886719769565237,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,adhd_impairment_home,0.45841503910336245,67.0,0.547945205479452,1.0,1.0,0.6387965606475716,impairment_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
adhd,caregiver,adhd_impairment_school,0.41984841848661314,68.0,0.5410958904109588,1.0,1.0,0.6181433873254983,impairment_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
adhd,caregiver,adhd_inatt_02_sustained_attention_difficulty,0.23230513139524728,11.0,0.9315068493150684,1.0,1.0,0.6024539355606374,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,adhd_inatt_03_seems_not_listening,0.21870656803949673,12.0,0.9246575342465754,1.0,1.0,0.5942847908690635,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,adhd_inatt_09_forgetful_daily_activities,0.21309613039797956,18.0,0.8835616438356164,1.0,1.0,0.5832603939661131,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,adhd_inatt_06_avoids_sustained_effort,0.1850932032773601,15.0,0.904109589041096,1.0,1.0,0.5733685194468993,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,adhd_hypimp_02_leaves_seat,0.10790500878898072,2.0,0.9931506849315068,1.0,1.0,0.5525826413807917,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,adhd_inatt_01_attention_to_detail_errors,0.11690289101373623,10.0,0.9383561643835616,1.0,1.0,0.5461226783835804,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,adhd_hypimp_04_cannot_play_quietly,0.0776275962659654,4.0,0.9794520547945206,1.0,1.0,0.5347042090918869,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,adhd_hypimp_03_runs_or_climbs_inappropriately,0.06484833014861134,3.0,0.9863013698630136,1.0,1.0,0.5296844390469084,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,adhd_inatt_07_loses_things,0.0881521199408072,16.0,0.8972602739726028,1.0,1.0,0.5235281147649241,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,adhd_hypimp_01_fidgets,0.04508209743265892,1.0,1.0,1.0,1.0,0.5225410487163294,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,adhd_hypimp_07_blurts_out,0.05123480401740621,7.0,0.9589041095890412,1.0,1.0,0.5173982239265114,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,adhd_hypimp_05_driven_by_motor,0.04085907945155377,5.0,0.9726027397260274,1.0,1.0,0.5149500876709824,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,adhd_hypimp_09_interrupts_intrudes,0.049803172796107256,9.0,0.9452054794520548,1.0,1.0,0.5139426822884646,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,adhd_hypimp_06_talks_excessively,0.03940709735977178,6.0,0.9657534246575342,1.0,1.0,0.5128542336113927,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,adhd_inatt_04_fails_to_finish_tasks,0.051598232241323067,13.0,0.9178082191780822,1.0,1.0,0.509360759956278,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,adhd_hypimp_08_difficulty_waiting_turn,0.033031747906707966,8.0,0.952054794520548,1.0,1.0,0.5069268328574636,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,adhd_inatt_05_organization_difficulty,0.04531479015150474,14.0,0.910958904109589,1.0,1.0,0.5048491758976702,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,adhd_impairment_social,0.1895739610771816,69.0,0.5342465753424658,1.0,1.0,0.501636295607084,impairment_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
adhd,caregiver,conduct_06_steals_confronting_victim,0.07188641049801724,24.0,0.8424657534246576,0.7,1.0,0.44443635593394015,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,conduct_03_weapon_use,0.04785429317585151,21.0,0.863013698630137,0.7,1.0,0.4365298863139532,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,conduct_04_physical_cruelty_people,0.03991798449818751,22.0,0.8561643835616438,0.7,1.0,0.4311918689614225,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,conduct_02_initiates_fights,0.03320171911663996,20.0,0.8698630136986302,0.7,1.0,0.43057346229804594,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,conduct_10_breaks_into_house_building_car,0.04297896799119212,28.0,0.815068493150685,0.7,1.0,0.42450318262573306,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,conduct_01_bullies_threatens_intimidates,0.015084564260105633,19.0,0.8767123287671232,0.7,1.0,0.4228847478834774,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,conduct_07_forced_sex,0.027203555250413288,25.0,0.8356164383561644,0.7,1.0,0.4207250652964395,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,conduct_09_property_destruction,0.031527218174851344,27.0,0.821917808219178,0.7,1.0,0.4201471707312613,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,conduct_05_physical_cruelty_animals,0.017859996380217246,23.0,0.8493150684931507,0.7,1.0,0.41879301188873874,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,conduct_11_lies_to_obtain_or_avoid,0.034102807054319124,29.0,0.8082191780821918,0.7,1.0,0.41869523914359785,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,conduct_15_truancy_before_13,0.042802155194961417,33.0,0.7808219178082192,0.7,1.0,0.4175654611591245,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,conduct_08_fire_setting,0.01568565949072877,26.0,0.8287671232876712,0.7,1.0,0.4135962544028986,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
adhd,caregiver,conduct_13_stays_out_at_night_before_13,0.023928653311246575,31.0,0.7945205479452055,0.7,1.0,0.4108684362446644,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
