domain,role,mode,feature_set_id,full_universe_n,target_mode_ratio,target_n,n_features,feature_list_pipe
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,126,0.3333333333333333,42,42,adhd_onset_before_12|adhd_inatt_08_easily_distracted|adhd_impairment_home|adhd_impairment_school|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_inatt_06_avoids_sustained_effort|adhd_hypimp_02_leaves_seat|adhd_inatt_01_attention_to_detail_errors|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_inatt_07_loses_things|adhd_hypimp_01_fidgets|adhd_hypimp_07_blurts_out|adhd_hypimp_05_driven_by_motor|adhd_hypimp_09_interrupts_intrudes|adhd_hypimp_06_talks_excessively|adhd_inatt_04_fails_to_finish_tasks|adhd_hypimp_08_difficulty_waiting_turn|adhd_inatt_05_organization_difficulty|adhd_impairment_social|conduct_06_steals_confronting_victim|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_02_initiates_fights|conduct_10_breaks_into_house_building_car|conduct_01_bullies_threatens_intimidates|conduct_07_forced_sex|conduct_09_property_destruction|conduct_05_physical_cruelty_animals|conduct_11_lies_to_obtain_or_avoid|conduct_15_truancy_before_13|conduct_08_fire_setting|conduct_13_stays_out_at_night_before_13|conduct_impairment_global|conduct_12_steals_without_confrontation|conduct_14_runs_away_overnight|dmdd_outbursts_frequency_per_week|adhd_context_home|encopresis_event_frequency_per_month|dmdd_irritable_between_outbursts
adhd,caregiver,caregiver_1_3,structural_dsm5_plus_context_1_3,126,0.3333333333333333,42,36,adhd_onset_before_12|adhd_inatt_08_easily_distracted|adhd_impairment_home|adhd_impairment_school|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_inatt_06_avoids_sustained_effort|adhd_hypimp_02_leaves_seat|adhd_inatt_01_attention_to_detail_errors|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_inatt_07_loses_things|adhd_hypimp_01_fidgets|adhd_hypimp_07_blurts_out|adhd_hypimp_05_driven_by_motor|adhd_hypimp_09_interrupts_intrudes|adhd_hypimp_06_talks_excessively|adhd_inatt_04_fails_to_finish_tasks|adhd_hypimp_08_difficulty_waiting_turn|adhd_inatt_05_organization_difficulty|adhd_impairment_social|adhd_context_home|adhd_context_school|adhd_context_other|conduct_impairment_global|dmdd_outbursts_frequency_per_week|encopresis_event_frequency_per_month|enuresis_event_frequency_per_week|agor_impairment|enuresis_distress_impairment|mdd_impairment|gad_impairment|social_anxiety_impairment|sep_anx_impairment|dmdd_duration_months
adhd,caregiver,caregiver_1_3,structural_compact_1_3,126,0.3333333333333333,42,34,adhd_onset_before_12|adhd_inatt_08_easily_distracted|adhd_impairment_home|adhd_impairment_school|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_inatt_06_avoids_sustained_effort|adhd_hypimp_02_leaves_seat|adhd_inatt_01_attention_to_detail_errors|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_inatt_07_loses_things|adhd_hypimp_01_fidgets|adhd_hypimp_07_blurts_out|adhd_hypimp_05_driven_by_motor|adhd_hypimp_09_interrupts_intrudes|adhd_hypimp_06_talks_excessively|adhd_inatt_04_fails_to_finish_tasks|adhd_hypimp_08_difficulty_waiting_turn|adhd_inatt_05_organization_difficulty|adhd_impairment_social|conduct_06_steals_confronting_victim|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_02_initiates_fights|conduct_10_breaks_into_house_building_car|conduct_01_bullies_threatens_intimidates|conduct_07_forced_sex|conduct_09_property_destruction|conduct_05_physical_cruelty_animals|conduct_11_lies_to_obtain_or_avoid|conduct_15_truancy_before_13|conduct_08_fire_setting
adhd,caregiver,caregiver_1_3,structural_pruned_1_3,126,0.3333333333333333,42,42,adhd_onset_before_12|adhd_inatt_08_easily_distracted|adhd_impairment_home|adhd_impairment_school|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_inatt_06_avoids_sustained_effort|adhd_hypimp_02_leaves_seat|adhd_inatt_01_attention_to_detail_errors|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_inatt_07_loses_things|adhd_hypimp_01_fidgets|adhd_hypimp_07_blurts_out|adhd_hypimp_05_driven_by_motor|adhd_hypimp_09_interrupts_intrudes|adhd_hypimp_06_talks_excessively|adhd_inatt_04_fails_to_finish_tasks|adhd_hypimp_08_difficulty_waiting_turn|adhd_inatt_05_organization_difficulty|adhd_impairment_social|conduct_06_steals_confronting_victim|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_02_initiates_fights|conduct_10_breaks_into_house_building_car|conduct_01_bullies_threatens_intimidates|conduct_07_forced_sex|conduct_09_property_destruction|conduct_05_physical_cruelty_animals|conduct_11_lies_to_obtain_or_avoid|conduct_15_truancy_before_13|conduct_08_fire_setting|conduct_13_stays_out_at_night_before_13|conduct_impairment_global|conduct_12_steals_without_confrontation|conduct_14_runs_away_overnight|dmdd_outbursts_frequency_per_week|encopresis_event_frequency_per_month|dmdd_irritable_between_outbursts|enuresis_event_frequency_per_week
adhd,caregiver,caregiver_1_3,registry_stability_pruned_subset,126,0.3333333333333333,42,24,adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_07_blurts_out|adhd_hypimp_09_interrupts_intrudes|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|conduct_02_initiates_fights|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_06_steals_confronting_victim|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_15_truancy_before_13|dmdd_outbursts_frequency_per_week
adhd,caregiver,caregiver_2_3,structural_ranked_2_3,126,0.6666666666666666,84,84,adhd_onset_before_12|adhd_inatt_08_easily_distracted|adhd_impairment_home|adhd_impairment_school|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_inatt_06_avoids_sustained_effort|adhd_hypimp_02_leaves_seat|adhd_inatt_01_attention_to_detail_errors|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_inatt_07_loses_things|adhd_hypimp_01_fidgets|adhd_hypimp_07_blurts_out|adhd_hypimp_05_driven_by_motor|adhd_hypimp_09_interrupts_intrudes|adhd_hypimp_06_talks_excessively|adhd_inatt_04_fails_to_finish_tasks|adhd_hypimp_08_difficulty_waiting_turn|adhd_inatt_05_organization_difficulty|adhd_impairment_social|conduct_06_steals_confronting_victim|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_02_initiates_fights|conduct_10_breaks_into_house_building_car|conduct_01_bullies_threatens_intimidates|conduct_07_forced_sex|conduct_09_property_destruction|conduct_05_physical_cruelty_animals|conduct_11_lies_to_obtain_or_avoid|conduct_15_truancy_before_13|conduct_08_fire_setting|conduct_13_stays_out_at_night_before_13|conduct_impairment_global|conduct_12_steals_without_confrontation|conduct_14_runs_away_overnight|dmdd_outbursts_frequency_per_week|adhd_context_home|encopresis_event_frequency_per_month|dmdd_irritable_between_outbursts|enuresis_event_frequency_per_week|mdd_03_weight_or_appetite_change|mdd_01_depressed_or_irritable_mood|gad_excessive_worry_multiple_areas|gad_difficulty_controlling_worry|mdd_02_loss_of_interest_or_pleasure|adhd_context_school|mdd_07_worthlessness_or_excessive_guilt|adhd_context_other|mdd_05_psychomotor_change|mdd_04_sleep_change|mdd_08_concentration_or_decision_difficulty|mdd_06_fatigue_or_low_energy|sep_anx_01_distress_on_separation|mdd_09_death_or_suicidal_thoughts|sep_anx_02_worry_losing_attachment_figures|sep_anx_03_worry_event_causing_separation|sep_anx_08_physical_complaints_on_separation|sep_anx_04_refuses_leaving_home_school|sep_anx_07_separation_nightmares|sep_anx_05_fear_being_alone_without_attachment|social_anxiety_fear_being_observed|social_anxiety_almost_always_triggered|sep_anx_06_refuses_sleep_away_or_alone|social_anxiety_avoid_or_endure_intense|social_anxiety_fear_interactions|social_anxiety_fear_performance|social_anxiety_fear_negative_evaluation|agor_escape_help_cognition|agor_avoid_or_need_companion|agor_impairment|enuresis_distress_impairment|gad_assoc_03_concentration_difficulty|gad_assoc_01_restlessness|gad_assoc_02_fatigue|gad_assoc_04_irritability|gad_assoc_05_muscle_tension|mdd_impairment|gad_assoc_06_sleep_problems|gad_impairment|social_anxiety_impairment|sep_anx_impairment
adhd,caregiver,caregiver_2_3,structural_dsm5_plus_context_2_3,126,0.6666666666666666,84,56,adhd_onset_before_12|adhd_inatt_08_easily_distracted|adhd_impairment_home|adhd_impairment_school|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_inatt_06_avoids_sustained_effort|adhd_hypimp_02_leaves_seat|adhd_inatt_01_attention_to_detail_errors|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_inatt_07_loses_things|adhd_hypimp_01_fidgets|adhd_hypimp_07_blurts_out|adhd_hypimp_05_driven_by_motor|adhd_hypimp_09_interrupts_intrudes|adhd_hypimp_06_talks_excessively|adhd_inatt_04_fails_to_finish_tasks|adhd_hypimp_08_difficulty_waiting_turn|adhd_inatt_05_organization_difficulty|adhd_impairment_social|adhd_context_home|adhd_context_school|adhd_context_other|conduct_impairment_global|dmdd_outbursts_frequency_per_week|encopresis_event_frequency_per_month|enuresis_event_frequency_per_week|agor_impairment|enuresis_distress_impairment|mdd_impairment|gad_impairment|social_anxiety_impairment|sep_anx_impairment|dmdd_duration_months|agor_duration_months|encopresis_duration_months_consecutive|enuresis_duration_months_consecutive|gad_duration_months|mdd_duration_weeks|pdd_duration_months_child|sep_anx_duration_weeks|social_anxiety_duration_months|age_years|pdd_impairment|dmdd_context_home|dmdd_context_school|dmdd_context_peers|conduct_06_steals_confronting_victim|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_02_initiates_fights|conduct_10_breaks_into_house_building_car|conduct_01_bullies_threatens_intimidates|conduct_07_forced_sex
adhd,caregiver,caregiver_2_3,structural_compact_2_3,126,0.6666666666666666,84,69,adhd_onset_before_12|adhd_inatt_08_easily_distracted|adhd_impairment_home|adhd_impairment_school|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_inatt_06_avoids_sustained_effort|adhd_hypimp_02_leaves_seat|adhd_inatt_01_attention_to_detail_errors|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_inatt_07_loses_things|adhd_hypimp_01_fidgets|adhd_hypimp_07_blurts_out|adhd_hypimp_05_driven_by_motor|adhd_hypimp_09_interrupts_intrudes|adhd_hypimp_06_talks_excessively|adhd_inatt_04_fails_to_finish_tasks|adhd_hypimp_08_difficulty_waiting_turn|adhd_inatt_05_organization_difficulty|adhd_impairment_social|conduct_06_steals_confronting_victim|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_02_initiates_fights|conduct_10_breaks_into_house_building_car|conduct_01_bullies_threatens_intimidates|conduct_07_forced_sex|conduct_09_property_destruction|conduct_05_physical_cruelty_animals|conduct_11_lies_to_obtain_or_avoid|conduct_15_truancy_before_13|conduct_08_fire_setting|conduct_13_stays_out_at_night_before_13|conduct_impairment_global|conduct_12_steals_without_confrontation|conduct_14_runs_away_overnight|dmdd_outbursts_frequency_per_week|adhd_context_home|encopresis_event_frequency_per_month|dmdd_irritable_between_outbursts|enuresis_event_frequency_per_week|mdd_03_weight_or_appetite_change|mdd_01_depressed_or_irritable_mood|gad_excessive_worry_multiple_areas|gad_difficulty_controlling_worry|mdd_02_loss_of_interest_or_pleasure|adhd_context_school|mdd_07_worthlessness_or_excessive_guilt|adhd_context_other|mdd_05_psychomotor_change|mdd_04_sleep_change|mdd_08_concentration_or_decision_difficulty|mdd_06_fatigue_or_low_energy|sep_anx_01_distress_on_separation|mdd_09_death_or_suicidal_thoughts|sep_anx_02_worry_losing_attachment_figures|sep_anx_03_worry_event_causing_separation|sep_anx_08_physical_complaints_on_separation|sep_anx_04_refuses_leaving_home_school|sep_anx_07_separation_nightmares|sep_anx_05_fear_being_alone_without_attachment|social_anxiety_fear_being_observed|social_anxiety_almost_always_triggered|sep_anx_06_refuses_sleep_away_or_alone|social_anxiety_avoid_or_endure_intense|social_anxiety_fear_interactions|social_anxiety_fear_performance
adhd,caregiver,caregiver_2_3,structural_pruned_2_3,126,0.6666666666666666,84,84,adhd_onset_before_12|adhd_inatt_08_easily_distracted|adhd_impairment_home|adhd_impairment_school|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_inatt_06_avoids_sustained_effort|adhd_hypimp_02_leaves_seat|adhd_inatt_01_attention_to_detail_errors|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_inatt_07_loses_things|adhd_hypimp_01_fidgets|adhd_hypimp_07_blurts_out|adhd_hypimp_05_driven_by_motor|adhd_hypimp_09_interrupts_intrudes|adhd_hypimp_06_talks_excessively|adhd_inatt_04_fails_to_finish_tasks|adhd_hypimp_08_difficulty_waiting_turn|adhd_inatt_05_organization_difficulty|adhd_impairment_social|conduct_06_steals_confronting_victim|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_02_initiates_fights|conduct_10_breaks_into_house_building_car|conduct_01_bullies_threatens_intimidates|conduct_07_forced_sex|conduct_09_property_destruction|conduct_05_physical_cruelty_animals|conduct_11_lies_to_obtain_or_avoid|conduct_15_truancy_before_13|conduct_08_fire_setting|conduct_13_stays_out_at_night_before_13|conduct_impairment_global|conduct_12_steals_without_confrontation|conduct_14_runs_away_overnight|dmdd_outbursts_frequency_per_week|encopresis_event_frequency_per_month|dmdd_irritable_between_outbursts|enuresis_event_frequency_per_week|mdd_03_weight_or_appetite_change|mdd_01_depressed_or_irritable_mood|gad_excessive_worry_multiple_areas|gad_difficulty_controlling_worry|mdd_02_loss_of_interest_or_pleasure|mdd_07_worthlessness_or_excessive_guilt|mdd_05_psychomotor_change|mdd_04_sleep_change|mdd_08_concentration_or_decision_difficulty|mdd_06_fatigue_or_low_energy|sep_anx_01_distress_on_separation|mdd_09_death_or_suicidal_thoughts|sep_anx_02_worry_losing_attachment_figures|sep_anx_03_worry_event_causing_separation|sep_anx_08_physical_complaints_on_separation|sep_anx_04_refuses_leaving_home_school|sep_anx_07_separation_nightmares|sep_anx_05_fear_being_alone_without_attachment|social_anxiety_fear_being_observed|social_anxiety_almost_always_triggered|sep_anx_06_refuses_sleep_away_or_alone|social_anxiety_avoid_or_endure_intense|social_anxiety_fear_interactions|social_anxiety_fear_performance|social_anxiety_fear_negative_evaluation|agor_escape_help_cognition|agor_avoid_or_need_companion|agor_impairment|enuresis_distress_impairment|gad_assoc_03_concentration_difficulty|gad_assoc_01_restlessness|gad_assoc_02_fatigue|gad_assoc_04_irritability|gad_assoc_05_muscle_tension|mdd_impairment|gad_assoc_06_sleep_problems|gad_impairment|social_anxiety_impairment|sep_anx_impairment|dmdd_duration_months|agor_duration_months|encopresis_duration_months_consecutive
adhd,caregiver,caregiver_2_3,registry_stability_pruned_subset,126,0.6666666666666666,84,49,adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes|adhd_impairment_home|adhd_impairment_school|adhd_impairment_social|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|adhd_onset_before_12|age_years|agor_duration_months|conduct_01_bullies_threatens_intimidates|conduct_02_initiates_fights|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_05_physical_cruelty_animals|conduct_06_steals_confronting_victim|conduct_07_forced_sex|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_11_lies_to_obtain_or_avoid|conduct_12_steals_without_confrontation|conduct_13_stays_out_at_night_before_13|conduct_15_truancy_before_13|conduct_impairment_global|dmdd_duration_months|dmdd_irritable_between_outbursts|dmdd_outbursts_frequency_per_week|gad_duration_months|mdd_01_depressed_or_irritable_mood|mdd_03_weight_or_appetite_change|mdd_07_worthlessness_or_excessive_guilt|mdd_duration_weeks|pdd_duration_months_child|sep_anx_duration_weeks|social_anxiety_duration_months
