domain,mode,role,active_model_id,source_campaign,model_family,feature_set_id,config_id,calibration,threshold_policy,threshold,seed,n_features,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,feature_list_pipe,source_file,slot,guard_ok,blacklisted_exact_id,non_degenerate,fallback_accepted_candidate,fallback_rejection_reason
adhd,caregiver_1_3,caregiver,adhd__caregiver_1_3__hybrid_structural_mode_rescue_v1__rf__structural_dsm5_plus_context_1_3,hybrid_structural_mode_rescue_v1,rf,structural_dsm5_plus_context_1_3,rf_structural_regularized_v1,none,f1_recall_structural_target_band,0.57,20270421,36.0,0.7073170731707317,0.925531914893617,0.9067357512953368,0.9161338330944768,0.8018433179723502,0.9538915224341308,0.7445006080765808,0.0753460583624701,adhd_onset_before_12|adhd_inatt_08_easily_distracted|adhd_impairment_home|adhd_impairment_school|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_inatt_06_avoids_sustained_effort|adhd_hypimp_02_leaves_seat|adhd_inatt_01_attention_to_detail_errors|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_inatt_07_loses_things|adhd_hypimp_01_fidgets|adhd_hypimp_07_blurts_out|adhd_hypimp_05_driven_by_motor|adhd_hypimp_09_interrupts_intrudes|adhd_hypimp_06_talks_excessively|adhd_inatt_04_fails_to_finish_tasks|adhd_hypimp_08_difficulty_waiting_turn|adhd_inatt_05_organization_difficulty|adhd_impairment_social|adhd_context_home|adhd_context_school|adhd_context_other|conduct_impairment_global|dmdd_outbursts_frequency_per_week|encopresis_event_frequency_per_month|enuresis_event_frequency_per_week|agor_impairment|enuresis_distress_impairment|mdd_impairment|gad_impairment|social_anxiety_impairment|sep_anx_impairment|dmdd_duration_months,data\hybrid_active_modes_freeze_v8\tables\hybrid_active_models_30_modes.csv,"('adhd', 'caregiver_1_3')",True,False,True,yes,none
adhd,caregiver_2_3,caregiver,adhd__caregiver_2_3__hybrid_structural_mode_rescue_v1__rf__structural_compact_2_3,hybrid_structural_mode_rescue_v1,rf,structural_compact_2_3,rf_structural_regularized_v1,none,f1_recall_structural_target_band,0.54,20270501,69.0,0.7063492063492064,0.946808510638298,0.9041450777202072,0.9254767941792524,0.8090909090909091,0.9545529710065044,0.7295274311684008,0.0744408560108688,adhd_onset_before_12|adhd_inatt_08_easily_distracted|adhd_impairment_home|adhd_impairment_school|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_inatt_06_avoids_sustained_effort|adhd_hypimp_02_leaves_seat|adhd_inatt_01_attention_to_detail_errors|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_inatt_07_loses_things|adhd_hypimp_01_fidgets|adhd_hypimp_07_blurts_out|adhd_hypimp_05_driven_by_motor|adhd_hypimp_09_interrupts_intrudes|adhd_hypimp_06_talks_excessively|adhd_inatt_04_fails_to_finish_tasks|adhd_hypimp_08_difficulty_waiting_turn|adhd_inatt_05_organization_difficulty|adhd_impairment_social|conduct_06_steals_confronting_victim|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_02_initiates_fights|conduct_10_breaks_into_house_building_car|conduct_01_bullies_threatens_intimidates|conduct_07_forced_sex|conduct_09_property_destruction|conduct_05_physical_cruelty_animals|conduct_11_lies_to_obtain_or_avoid|conduct_15_truancy_before_13|conduct_08_fire_setting|conduct_13_stays_out_at_night_before_13|conduct_impairment_global|conduct_12_steals_without_confrontation|conduct_14_runs_away_overnight|dmdd_outbursts_frequency_per_week|adhd_context_home|encopresis_event_frequency_per_month|dmdd_irritable_between_outbursts|enuresis_event_frequency_per_week|mdd_03_weight_or_appetite_change|mdd_01_depressed_or_irritable_mood|gad_excessive_worry_multiple_areas|gad_difficulty_controlling_worry|mdd_02_loss_of_interest_or_pleasure|adhd_context_school|mdd_07_worthlessness_or_excessive_guilt|adhd_context_other|mdd_05_psychomotor_change|mdd_04_sleep_change|mdd_08_concentration_or_decision_difficulty|mdd_06_fatigue_or_low_energy|sep_anx_01_distress_on_separation|mdd_09_death_or_suicidal_thoughts|sep_anx_02_worry_losing_attachment_figures|sep_anx_03_worry_event_causing_separation|sep_anx_08_physical_complaints_on_separation|sep_anx_04_refuses_leaving_home_school|sep_anx_07_separation_nightmares|sep_anx_05_fear_being_alone_without_attachment|social_anxiety_fear_being_observed|social_anxiety_almost_always_triggered|sep_anx_06_refuses_sleep_away_or_alone|social_anxiety_avoid_or_endure_intense|social_anxiety_fear_interactions|social_anxiety_fear_performance,data\hybrid_active_modes_freeze_v8\tables\hybrid_active_models_30_modes.csv,"('adhd', 'caregiver_2_3')",True,False,True,yes,none
adhd,psychologist_2_3,psychologist,adhd__psychologist_2_3__hybrid_structural_mode_rescue_v1__logreg__structural_ranked_2_3,hybrid_structural_mode_rescue_v1,logreg,structural_ranked_2_3,logreg_guard_mid_v1,none,f1_recall_structural_target_band,0.74,20270421,101.0,0.780952380952381,0.8723404255319149,0.9404145077720208,0.9063774666519678,0.8241206030150754,0.9777036710395768,0.91944061580705,0.0878566848290679,adhd_onset_before_12|adhd_inatt_08_easily_distracted|adhd_impairment_school|adhd_not_better_explained_other_mental|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_02_sustained_attention_difficulty|adhd_impairment_home|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_hypimp_02_leaves_seat|adhd_hypimp_04_cannot_play_quietly|adhd_inatt_07_loses_things|adhd_inatt_01_attention_to_detail_errors|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_inatt_04_fails_to_finish_tasks|adhd_impairment_social|adhd_hypimp_07_blurts_out|adhd_hypimp_01_fidgets|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes|adhd_inatt_05_organization_difficulty|conduct_03_weapon_use|conduct_impairment_global|conduct_06_steals_confronting_victim|conduct_04_physical_cruelty_people|conduct_02_initiates_fights|conduct_10_breaks_into_house_building_car|conduct_07_forced_sex|conduct_09_property_destruction|conduct_01_bullies_threatens_intimidates|conduct_11_lies_to_obtain_or_avoid|conduct_05_physical_cruelty_animals|conduct_08_fire_setting|adhd_context_home|conduct_15_truancy_before_13|conduct_13_stays_out_at_night_before_13|adhd_context_other|conduct_12_steals_without_confrontation|conduct_14_runs_away_overnight|dmdd_outbursts_frequency_per_week|adhd_context_school|encopresis_event_frequency_per_month|dmdd_irritable_between_outbursts|enuresis_event_frequency_per_week|mdd_03_weight_or_appetite_change|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|gad_difficulty_controlling_worry|gad_excessive_worry_multiple_areas|mdd_07_worthlessness_or_excessive_guilt|mdd_05_psychomotor_change|mdd_04_sleep_change|mdd_08_concentration_or_decision_difficulty|sep_anx_01_distress_on_separation|mdd_06_fatigue_or_low_energy|mdd_09_death_or_suicidal_thoughts|sep_anx_02_worry_losing_attachment_figures|sep_anx_08_physical_complaints_on_separation|sep_anx_03_worry_event_causing_separation|sep_anx_04_refuses_leaving_home_school|sep_anx_07_separation_nightmares|sep_anx_05_fear_being_alone_without_attachment|social_anxiety_fear_being_observed|social_anxiety_almost_always_triggered|sep_anx_06_refuses_sleep_away_or_alone|social_anxiety_avoid_or_endure_intense|social_anxiety_fear_interactions|social_anxiety_fear_performance|social_anxiety_fear_negative_evaluation|agor_escape_help_cognition|agor_avoid_or_need_companion|agor_impairment|enuresis_distress_impairment|gad_assoc_03_concentration_difficulty|gad_assoc_02_fatigue|gad_assoc_01_restlessness|gad_assoc_04_irritability|mdd_impairment|gad_assoc_05_muscle_tension|gad_assoc_06_sleep_problems|gad_impairment|social_anxiety_impairment|sep_anx_impairment|dmdd_duration_months|agor_duration_months|encopresis_duration_months_consecutive|enuresis_duration_months_consecutive|gad_duration_months|mdd_duration_weeks|agor_fear_02_open_spaces|sep_anx_duration_weeks|pdd_duration_months_child|agor_fear_01_public_transport|social_anxiety_duration_months|dmdd_outbursts_severity|agor_fear_03_enclosed_spaces|agor_fear_05_outside_home_alone|agor_fear_04_crowds_queues|pdd_depressed_or_irritable_mood,data\hybrid_active_modes_freeze_v8\tables\hybrid_active_models_30_modes.csv,"('adhd', 'psychologist_2_3')",True,False,True,yes,none
anxiety,psychologist_1_3,,,hybrid_v6_quick_champion_guard_hotfix_v1,hgb,engineered_full,hgb_quick_guard_v1,none,f1_recall_target_band,0.318,,69.0,0.79,0.9186046511627908,0.9467005076142132,0.932652579388502,0.8494623655913979,0.9779837091252508,0.9104031229648484,0.0431888626978257,,data\hybrid_operational_freeze_v6_hotfix_v1\tables\hybrid_operational_final_champions.csv,"('anxiety', 'psychologist_1_3')",True,False,True,yes,none
anxiety,psychologist_full,psychologist,anxiety__psychologist_full__hybrid_structural_mode_rescue_v1__hgb__structural_ranked_full,hybrid_structural_mode_rescue_v1,hgb,structural_ranked_full,hgb_ultra_conservative_v1,none,f1_recall_structural_target_band,0.52,20270421,151.0,0.8641975308641975,0.813953488372093,0.9720812182741116,0.8930173533231023,0.8383233532934131,0.9748553889741473,0.8872419857916958,0.1033800035587222,sep_anx_impairment|sep_anx_duration_weeks|agor_escape_help_cognition|sep_anx_07_separation_nightmares|gad_difficulty_controlling_worry|social_anxiety_duration_months|gad_duration_months|agor_impairment|social_anxiety_almost_always_triggered|agor_avoid_or_need_companion|gad_excessive_worry_multiple_areas|sep_anx_04_refuses_leaving_home_school|social_anxiety_fear_negative_evaluation|gad_assoc_06_sleep_problems|sep_anx_08_physical_complaints_on_separation|sep_anx_02_worry_losing_attachment_figures|gad_assoc_01_restlessness|social_anxiety_fear_being_observed|sep_anx_05_fear_being_alone_without_attachment|sep_anx_03_worry_event_causing_separation|social_anxiety_avoid_or_endure_intense|sep_anx_01_distress_on_separation|gad_assoc_05_muscle_tension|sep_anx_06_refuses_sleep_away_or_alone|gad_impairment|gad_assoc_03_concentration_difficulty|social_anxiety_fear_interactions|gad_assoc_02_fatigue|social_anxiety_fear_performance|gad_assoc_04_irritability|social_anxiety_impairment|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_02_leaves_seat|adhd_hypimp_01_fidgets|adhd_hypimp_07_blurts_out|adhd_hypimp_04_cannot_play_quietly|agor_fear_05_outside_home_alone|adhd_hypimp_09_interrupts_intrudes|adhd_inatt_02_sustained_attention_difficulty|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_inatt_01_attention_to_detail_errors|adhd_hypimp_08_difficulty_waiting_turn|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_03_seems_not_listening|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_05_organization_difficulty|agor_duration_months|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|conduct_02_initiates_fights|conduct_01_bullies_threatens_intimidates|agor_fear_01_public_transport|conduct_03_weapon_use|agor_fear_03_enclosed_spaces|conduct_07_forced_sex|conduct_04_physical_cruelty_people|agor_fear_04_crowds_queues|conduct_05_physical_cruelty_animals|mdd_01_depressed_or_irritable_mood|conduct_06_steals_confronting_victim|mdd_08_concentration_or_decision_difficulty|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_08_fire_setting|agor_fear_02_open_spaces|agor_almost_always_triggered|conduct_12_steals_without_confrontation|conduct_11_lies_to_obtain_or_avoid|mdd_04_sleep_change|conduct_13_stays_out_at_night_before_13|conduct_15_truancy_before_13|mdd_03_weight_or_appetite_change|conduct_14_runs_away_overnight|dmdd_outbursts_frequency_per_week|mdd_02_loss_of_interest_or_pleasure|mdd_06_fatigue_or_low_energy|encopresis_event_frequency_per_month|dmdd_irritable_between_outbursts|mdd_09_death_or_suicidal_thoughts|mdd_05_psychomotor_change|enuresis_event_frequency_per_week|mdd_07_worthlessness_or_excessive_guilt|mdd_duration_weeks|adhd_impairment_home|age_years|mdd_impairment|pdd_duration_months_child|pdd_depressed_or_irritable_mood|dmdd_outbursts_severity|agor_not_better_explained|gad_not_better_explained|gad_not_due_substance_medical|sep_anx_not_better_explained|social_anxiety_not_better_explained|social_anxiety_not_due_substance_medical|pdd_03_low_energy|pdd_01_appetite_change|pdd_02_sleep_change|pdd_impairment|pdd_05_concentration_difficulty|pdd_06_hopelessness|pdd_04_low_self_esteem|social_anxiety_children_peer_only_flag|adhd_impairment_school|conduct_impairment_global|adhd_impairment_social|enuresis_distress_impairment|adhd_context_home|adhd_context_school|agor_not_excessive_due_medical|agor_disproportionate|dmdd_duration_months|encopresis_duration_months_consecutive|social_anxiety_disproportionate|enuresis_duration_months_consecutive|adhd_onset_before_12|dmdd_onset_before_10|adhd_context_other|dmdd_context_peers|dmdd_context_school|dmdd_context_home|adhd_not_better_explained_other_mental|adhd_not_psychosis_exclusive|enuresis_not_due_substance_medical|encopresis_not_due_substance_medical|dmdd_no_mania_hypomania|dmdd_not_better_explained|dmdd_no_substance_medical|mdd_no_mania_hypomania_history|pdd_no_mania_hypomania|mdd_not_due_substance_medical|mdd_not_psychotic_explained|pdd_no_substance_medical|conduct_onset_before_10|pdd_no_gap_gt_2_months|conduct_lpe_02_callous_lack_empathy|conduct_lpe_04_shallow_deficient_affect|conduct_lpe_01_lack_remorse_guilt|conduct_lpe_03_unconcerned_performance|encopresis_constipation_present|enuresis_diurnal|enuresis_nocturnal|encopresis_overflow_incontinence|dmdd_developmentally_inappropriate|enuresis_secondary_course|enuresis_primary_course|pdd_no_psychotic_explained|encopresis_visible_deposition_pattern|conduct_no_antisocial_personality_if_18plus,data\hybrid_active_modes_freeze_v8\tables\hybrid_active_models_30_modes.csv,"('anxiety', 'psychologist_full')",True,False,True,yes,none
conduct,caregiver_2_3,caregiver,conduct__caregiver_2_3__hybrid_structural_mode_rescue_v1__logreg__registry_stability_pruned_subset,hybrid_structural_mode_rescue_v1,logreg,registry_stability_pruned_subset,logreg_guard_strong_v1,none,f1_recall_structural_target_band,0.55,20270421,49.0,0.8426966292134831,0.9375,0.9125,0.925,0.8875739644970414,0.97568359375,0.950366891995128,0.0790929039136678,adhd_context_home|adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes|adhd_impairment_home|adhd_impairment_school|adhd_impairment_social|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|age_years|agor_duration_months|conduct_01_bullies_threatens_intimidates|conduct_02_initiates_fights|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_05_physical_cruelty_animals|conduct_06_steals_confronting_victim|conduct_07_forced_sex|conduct_08_fire_setting|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_11_lies_to_obtain_or_avoid|conduct_12_steals_without_confrontation|conduct_13_stays_out_at_night_before_13|conduct_14_runs_away_overnight|conduct_15_truancy_before_13|conduct_impairment_global|dmdd_duration_months|dmdd_irritable_between_outbursts|dmdd_outbursts_frequency_per_week|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_09_death_or_suicidal_thoughts|mdd_duration_weeks|mdd_impairment|social_anxiety_duration_months,data\hybrid_active_modes_freeze_v8\tables\hybrid_active_models_30_modes.csv,"('conduct', 'caregiver_2_3')",True,False,True,yes,none
depression,caregiver_1_3,caregiver,depression__caregiver_1_3__hybrid_structural_mode_rescue_v1__rf__structural_ranked_1_3,hybrid_structural_mode_rescue_v1,rf,structural_ranked_1_3,rf_structural_regularized_v1,none,f1_recall_structural_target_band,0.59,20270501,42.0,0.7956989247311828,0.902439024390244,0.9522613065326632,0.9273501654614535,0.8457142857142858,0.9798994974874372,0.91517180652367,0.0501742162589722,mdd_duration_weeks|mdd_impairment|mdd_01_depressed_or_irritable_mood|pdd_duration_months_child|pdd_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_09_death_or_suicidal_thoughts|mdd_05_psychomotor_change|mdd_08_concentration_or_decision_difficulty|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|dmdd_irritable_between_outbursts|mdd_04_sleep_change|dmdd_outbursts_frequency_per_week|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_02_leaves_seat|dmdd_duration_months|pdd_impairment|adhd_hypimp_01_fidgets|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_05_driven_by_motor|adhd_hypimp_09_interrupts_intrudes|adhd_hypimp_06_talks_excessively|adhd_inatt_01_attention_to_detail_errors|adhd_hypimp_07_blurts_out|conduct_02_initiates_fights|adhd_hypimp_08_difficulty_waiting_turn|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_03_seems_not_listening|adhd_inatt_02_sustained_attention_difficulty|conduct_11_lies_to_obtain_or_avoid|adhd_inatt_05_organization_difficulty|conduct_03_weapon_use|conduct_05_physical_cruelty_animals|conduct_09_property_destruction|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|conduct_01_bullies_threatens_intimidates|adhd_inatt_09_forgetful_daily_activities|conduct_04_physical_cruelty_people,data\hybrid_active_modes_freeze_v8\tables\hybrid_active_models_30_modes.csv,"('depression', 'caregiver_1_3')",True,False,True,yes,none
depression,caregiver_2_3,caregiver,depression__caregiver_2_3__hybrid_structural_mode_rescue_v1__extra_trees__structural_compact_2_3,hybrid_structural_mode_rescue_v1,extra_trees,structural_compact_2_3,extra_trees_structural_regularized_v1,none,f1_recall_structural_target_band,0.61,20270501,69.0,0.7978723404255319,0.9146341463414634,0.9522613065326632,0.9334477264370632,0.8522727272727273,0.9797156514278712,0.9079978667723728,0.0584251216087021,mdd_duration_weeks|mdd_impairment|mdd_01_depressed_or_irritable_mood|pdd_duration_months_child|pdd_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_09_death_or_suicidal_thoughts|mdd_05_psychomotor_change|mdd_08_concentration_or_decision_difficulty|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|dmdd_irritable_between_outbursts|mdd_04_sleep_change|dmdd_outbursts_frequency_per_week|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_02_leaves_seat|dmdd_duration_months|pdd_impairment|adhd_hypimp_01_fidgets|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_05_driven_by_motor|adhd_hypimp_09_interrupts_intrudes|adhd_hypimp_06_talks_excessively|adhd_inatt_01_attention_to_detail_errors|adhd_hypimp_07_blurts_out|conduct_02_initiates_fights|adhd_hypimp_08_difficulty_waiting_turn|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_03_seems_not_listening|adhd_inatt_02_sustained_attention_difficulty|conduct_11_lies_to_obtain_or_avoid|adhd_inatt_05_organization_difficulty|conduct_03_weapon_use|conduct_05_physical_cruelty_animals|conduct_09_property_destruction|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|conduct_01_bullies_threatens_intimidates|adhd_inatt_09_forgetful_daily_activities|conduct_04_physical_cruelty_people|conduct_06_steals_confronting_victim|conduct_07_forced_sex|conduct_08_fire_setting|conduct_12_steals_without_confrontation|conduct_15_truancy_before_13|gad_difficulty_controlling_worry|conduct_14_runs_away_overnight|conduct_13_stays_out_at_night_before_13|conduct_10_breaks_into_house_building_car|encopresis_event_frequency_per_month|gad_excessive_worry_multiple_areas|enuresis_event_frequency_per_week|dmdd_outbursts_severity|sep_anx_02_worry_losing_attachment_figures|sep_anx_01_distress_on_separation|sep_anx_04_refuses_leaving_home_school|social_anxiety_fear_being_observed|pdd_05_concentration_difficulty|sep_anx_03_worry_event_causing_separation|sep_anx_08_physical_complaints_on_separation|sep_anx_05_fear_being_alone_without_attachment|sep_anx_06_refuses_sleep_away_or_alone|social_anxiety_fear_interactions|pdd_01_appetite_change|social_anxiety_almost_always_triggered|social_anxiety_avoid_or_endure_intense|social_anxiety_fear_negative_evaluation,data\hybrid_active_modes_freeze_v8\tables\hybrid_active_models_30_modes.csv,"('depression', 'caregiver_2_3')",True,False,True,yes,none
depression,psychologist_1_3,psychologist,depression__psychologist_1_3__hybrid_structural_mode_rescue_v1__rf__structural_compact_1_3,hybrid_structural_mode_rescue_v1,rf,structural_compact_1_3,rf_structural_regularized_v1,none,f1_recall_structural_target_band,0.6599999999999999,20270439,41.0,0.8271604938271605,0.8170731707317073,0.964824120603015,0.8909486456673612,0.8220858895705522,0.9795011643583772,0.91064630326594,0.0493639359464313,mdd_duration_weeks|mdd_impairment|pdd_duration_months_child|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|pdd_depressed_or_irritable_mood|mdd_03_weight_or_appetite_change|mdd_09_death_or_suicidal_thoughts|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_08_concentration_or_decision_difficulty|dmdd_irritable_between_outbursts|mdd_04_sleep_change|mdd_07_worthlessness_or_excessive_guilt|dmdd_outbursts_frequency_per_week|dmdd_duration_months|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_02_leaves_seat|adhd_hypimp_01_fidgets|pdd_impairment|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_05_driven_by_motor|adhd_hypimp_09_interrupts_intrudes|adhd_hypimp_06_talks_excessively|conduct_09_property_destruction|conduct_02_initiates_fights|adhd_hypimp_07_blurts_out|adhd_inatt_01_attention_to_detail_errors|adhd_hypimp_08_difficulty_waiting_turn|adhd_inatt_03_seems_not_listening|conduct_05_physical_cruelty_animals|adhd_inatt_02_sustained_attention_difficulty|conduct_11_lies_to_obtain_or_avoid|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|conduct_03_weapon_use|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|conduct_01_bullies_threatens_intimidates|adhd_inatt_09_forgetful_daily_activities,data\hybrid_active_modes_freeze_v8\tables\hybrid_active_models_30_modes.csv,"('depression', 'psychologist_1_3')",True,False,True,yes,none
depression,psychologist_2_3,psychologist,depression__psychologist_2_3__hybrid_structural_mode_rescue_v1__extra_trees__structural_compact_2_3,hybrid_structural_mode_rescue_v1,extra_trees,structural_compact_2_3,extra_trees_structural_regularized_v1,none,f1_recall_structural_target_band,0.6,20270501,83.0,0.7835051546391752,0.926829268292683,0.9472361809045228,0.9370327245986028,0.8491620111731844,0.9798688564775094,0.9104946822140751,0.0576198375850678,mdd_duration_weeks|mdd_impairment|pdd_duration_months_child|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|pdd_depressed_or_irritable_mood|mdd_03_weight_or_appetite_change|mdd_09_death_or_suicidal_thoughts|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_08_concentration_or_decision_difficulty|dmdd_irritable_between_outbursts|mdd_04_sleep_change|mdd_07_worthlessness_or_excessive_guilt|dmdd_outbursts_frequency_per_week|dmdd_duration_months|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_02_leaves_seat|adhd_hypimp_01_fidgets|pdd_impairment|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_05_driven_by_motor|adhd_hypimp_09_interrupts_intrudes|adhd_hypimp_06_talks_excessively|conduct_09_property_destruction|conduct_02_initiates_fights|adhd_hypimp_07_blurts_out|adhd_inatt_01_attention_to_detail_errors|adhd_hypimp_08_difficulty_waiting_turn|adhd_inatt_03_seems_not_listening|conduct_05_physical_cruelty_animals|adhd_inatt_02_sustained_attention_difficulty|conduct_11_lies_to_obtain_or_avoid|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|conduct_03_weapon_use|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|conduct_01_bullies_threatens_intimidates|adhd_inatt_09_forgetful_daily_activities|conduct_04_physical_cruelty_people|conduct_06_steals_confronting_victim|conduct_08_fire_setting|conduct_07_forced_sex|conduct_12_steals_without_confrontation|conduct_15_truancy_before_13|gad_difficulty_controlling_worry|conduct_14_runs_away_overnight|conduct_10_breaks_into_house_building_car|dmdd_outbursts_severity|conduct_13_stays_out_at_night_before_13|encopresis_event_frequency_per_month|gad_excessive_worry_multiple_areas|enuresis_event_frequency_per_week|sep_anx_02_worry_losing_attachment_figures|sep_anx_01_distress_on_separation|sep_anx_04_refuses_leaving_home_school|social_anxiety_fear_being_observed|sep_anx_03_worry_event_causing_separation|sep_anx_05_fear_being_alone_without_attachment|sep_anx_08_physical_complaints_on_separation|sep_anx_06_refuses_sleep_away_or_alone|social_anxiety_fear_interactions|pdd_01_appetite_change|social_anxiety_almost_always_triggered|social_anxiety_fear_negative_evaluation|social_anxiety_avoid_or_endure_intense|sep_anx_07_separation_nightmares|gad_impairment|social_anxiety_fear_performance|conduct_impairment_global|agor_avoid_or_need_companion|agor_escape_help_cognition|adhd_impairment_school|gad_assoc_03_concentration_difficulty|agor_impairment|gad_assoc_01_restlessness|adhd_impairment_social|adhd_impairment_home|gad_assoc_04_irritability|gad_assoc_05_muscle_tension|pdd_05_concentration_difficulty,data\hybrid_active_modes_freeze_v8\tables\hybrid_active_models_30_modes.csv,"('depression', 'psychologist_2_3')",True,False,True,yes,none
