domain,mode,role,old_active_model_id,new_active_model_id,old_feature_set_id,new_feature_set_id,old_n_features,new_n_features,old_precision,new_precision,old_recall,new_recall,old_specificity,new_specificity,old_balanced_accuracy,new_balanced_accuracy,old_f1,new_f1,old_roc_auc,new_roc_auc,old_pr_auc,new_pr_auc,old_brier,new_brier
adhd,caregiver_1_3,caregiver,adhd__caregiver_1_3__rebuild_v2__rf__engineered_full,adhd__caregiver_1_3__hybrid_structural_mode_rescue_v1__rf__structural_dsm5_plus_context_1_3,engineered_full,structural_dsm5_plus_context_1_3,58,36,0.6212121212121212,0.7073170731707317,0.8723404255319149,0.925531914893617,0.8704663212435233,0.9067357512953368,0.8714033733877191,0.9161338330944768,0.7256637168141593,0.8018433179723502,0.9276402822180576,0.9538915224341308,0.6319179403335605,0.7445006080765808,0.0868278728044155,0.07534605836247016
adhd,caregiver_2_3,caregiver,adhd__caregiver_2_3__rebuild_v2__rf__engineered_compact,adhd__caregiver_2_3__hybrid_structural_mode_rescue_v1__rf__structural_compact_2_3,engineered_compact,structural_compact_2_3,43,69,0.7017543859649122,0.7063492063492064,0.851063829787234,0.9468085106382979,0.911917098445596,0.9041450777202072,0.881490464116415,0.9254767941792525,0.7692307692307693,0.8090909090909091,0.9492613824275162,0.9545529710065043,0.7044217957677258,0.7295274311684008,0.072567246649348,0.07444085601086887
adhd,psychologist_1_3,psychologist,adhd__psychologist_1_3__rebuild_v2__rf__engineered_compact,adhd__psychologist_1_3__hybrid_structural_mode_rescue_v1__hgb__structural_ranked_1_3,engineered_compact,structural_ranked_1_3,30,50,0.6148148148148148,0.6589147286821705,0.8829787234042553,0.9042553191489362,0.8652849740932642,0.8860103626943006,0.8741318487487597,0.8951328409216184,0.7248908296943232,0.7623318385650224,0.9259453202513506,0.9394085547348694,0.6375451264670481,0.7094765451652199,0.0841732751976726,0.1502013143940209
adhd,psychologist_2_3,psychologist,adhd__psychologist_2_3__rebuild_v2__rf__engineered_pruned,adhd__psychologist_2_3__hybrid_structural_mode_rescue_v1__logreg__structural_ranked_2_3,engineered_pruned,structural_ranked_2_3,70,101,0.7289719626168224,0.780952380952381,0.8297872340425532,0.8723404255319149,0.9248704663212436,0.9404145077720207,0.8773288501818983,0.9063774666519678,0.7761194029850746,0.8241206030150754,0.9539604233270864,0.9777036710395767,0.7337389775224177,0.91944061580705,0.0680043361765456,0.08785668482906796
anxiety,psychologist_1_3,psychologist,anxiety__psychologist_1_3__v6_hotfix_v1__hgb__engineered_full,anxiety__psychologist_1_3__hybrid_structural_mode_rescue_v1__logreg__registry_stability_pruned_subset,engineered_full,registry_stability_pruned_subset,69,30,0.79,0.7247706422018348,0.9186046511627908,0.9186046511627907,0.9467005076142132,0.9238578680203046,0.932652579388502,0.9212312595915476,0.8494623655913979,0.8102564102564103,0.9779837091252508,0.9775115098571597,0.9104031229648484,0.9187381775273935,0.0431888626978257,0.07934155272551298
anxiety,psychologist_full,psychologist,anxiety__psychologist_full__v6_hotfix_v1__logreg__dsm5_core_single__sep_anx_symptom_count,anxiety__psychologist_full__hybrid_structural_mode_rescue_v1__hgb__structural_ranked_full,dsm5_core_single__sep_anx_symptom_count,structural_ranked_full,1,151,0.76,0.8222222222222222,0.8837209302325582,0.8604651162790697,0.9390862944162436,0.9593908629441624,0.9114036123244008,0.9099279896116161,0.8172043010752689,0.8409090909090909,0.9679052059969306,0.9744127021603117,0.8512733209157707,0.8859771705054296,0.076664504918768,0.10618304343873512
conduct,caregiver_2_3,caregiver,conduct__caregiver_2_3__conduct_honest_retrain_v1__rf__engineered_compact_no_shortcuts_v1,conduct__caregiver_2_3__hybrid_structural_mode_rescue_v1__logreg__registry_stability_pruned_subset,engineered_compact_no_shortcuts_v1,registry_stability_pruned_subset,41,49,0.9280575539568344,0.8426966292134831,0.80625,0.9375,0.96875,0.9125,0.8875,0.925,0.862876254180602,0.8875739644970414,0.975859375,0.97568359375,0.9476529887411712,0.9503668919951279,0.0598134006093339,0.07909290391366787
depression,caregiver_1_3,caregiver,depression__caregiver_1_3__rebuild_v2__rf__precision_oriented_subset,depression__caregiver_1_3__hybrid_structural_mode_rescue_v1__rf__structural_ranked_1_3,precision_oriented_subset,structural_ranked_1_3,20,42,0.8059701492537313,0.7956989247311828,0.6585365853658537,0.9024390243902439,0.9673366834170856,0.9522613065326633,0.8129366343914696,0.9273501654614535,0.7248322147651006,0.8457142857142858,0.958282264983454,0.9798994974874372,0.764765007527117,0.91517180652367,0.0600670985657974,0.05017421625897226
depression,caregiver_2_3,caregiver,depression__caregiver_2_3__hybrid_final_decisive_rescue_v5__rf__precision_oriented_subset,depression__caregiver_2_3__hybrid_structural_mode_rescue_v1__extra_trees__structural_compact_2_3,precision_oriented_subset,structural_compact_2_3,39,69,0.7789473684210526,0.7978723404255319,0.902439024390244,0.9146341463414634,0.9472361809045228,0.9522613065326633,0.9248376026473832,0.9334477264370633,0.8361581920903954,0.8522727272727273,0.9791334722392452,0.9797156514278711,0.9185052705693368,0.9079978667723727,0.0439804889728679,0.05842512160870217
depression,psychologist_1_3,psychologist,depression__psychologist_1_3__rebuild_v2__rf__stability_pruned_subset,depression__psychologist_1_3__hybrid_structural_mode_rescue_v1__rf__structural_compact_1_3,stability_pruned_subset,structural_compact_1_3,30,41,0.7974683544303798,0.8271604938271605,0.7682926829268293,0.8170731707317073,0.9597989949748744,0.964824120603015,0.8640458389508519,0.8909486456673612,0.782608695652174,0.8220858895705522,0.9483852187768108,0.9795011643583773,0.7681311253035743,0.91064630326594,0.0565304346753685,0.049363935946431334
