domain,mode,role,active_model_required,active_model_id,source_line,source_campaign,model_family,feature_set_id,config_id,calibration,threshold_policy,threshold,seed,n_features,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,final_operational_class,overfit_flag,generalization_flag,dataset_ease_flag,confidence_pct,confidence_band,operational_caveat,recommended_for_default_use,notes,feature_list_pipe
adhd,caregiver_1_3,caregiver,yes,adhd__caregiver_1_3__rebuild_v2__rf__engineered_full,hybrid_no_external_scores_rebuild_v2,rebuild_v2,rf,engineered_full,rf_regularized,isotonic,default_0_5,0.5,20261119,58,0.6212121212121212,0.8723404255319149,0.8704663212435233,0.8714033733877191,0.7256637168141593,0.9276402822180576,0.6319179403335605,0.0868278728044155,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,shortcut risk; mode fragility; low precision,no,clean_universe_no_external_scores,
adhd,caregiver_2_3,caregiver,yes,adhd__caregiver_2_3__rebuild_v2__rf__engineered_compact,hybrid_no_external_scores_rebuild_v2,rebuild_v2,rf,engineered_compact,rf_regularized,isotonic,default_0_5,0.5,20261101,43,0.7017543859649122,0.851063829787234,0.911917098445596,0.881490464116415,0.7692307692307693,0.9492613824275162,0.7044217957677258,0.072567246649348,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,mode fragility; low precision,no,clean_universe_no_external_scores,
adhd,psychologist_1_3,psychologist,yes,adhd__psychologist_1_3__rebuild_v2__rf__engineered_compact,hybrid_no_external_scores_rebuild_v2,rebuild_v2,rf,engineered_compact,rf_balanced_subsample,isotonic,balanced,0.18,20261101,30,0.6148148148148148,0.8829787234042553,0.8652849740932642,0.8741318487487597,0.7248908296943232,0.9259453202513506,0.6375451264670481,0.0841732751976726,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,mode fragility; low precision,no,clean_universe_no_external_scores,
adhd,psychologist_2_3,psychologist,yes,adhd__psychologist_2_3__rebuild_v2__rf__engineered_pruned,hybrid_no_external_scores_rebuild_v2,rebuild_v2,rf,engineered_pruned,rf_regularized,isotonic,precision_min_recall,0.5049999999999999,20261101,70,0.7289719626168224,0.8297872340425532,0.9248704663212436,0.8773288501818983,0.7761194029850746,0.9539604233270864,0.7337389775224177,0.0680043361765456,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,mode fragility; low precision,no,clean_universe_no_external_scores,
anxiety,psychologist_1_3,psychologist,yes,anxiety__psychologist_1_3__v6_hotfix_v1__hgb__engineered_full,v6_hotfix_v1,hybrid_v6_quick_champion_guard_hotfix_v1,hgb,engineered_full,hgb_quick_guard_v1,none,f1_recall_target_band,0.318,20270421,69,0.79,0.9186046511627908,0.9467005076142132,0.932652579388502,0.8494623655913979,0.9779837091252508,0.9104031229648484,0.0431888626978257,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,secondary metric anomaly; shortcut risk; mode fragility; low recall,no,v6_quick_hotfix_guard_replacement:retrained_light,adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|conduct_01_bullies_threatens_intimidates|conduct_02_initiates_fights|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_05_physical_cruelty_animals|conduct_06_steals_confronting_victim|conduct_07_forced_sex|conduct_08_fire_setting|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_11_lies_to_obtain_or_avoid|conduct_12_steals_without_confrontation|conduct_13_stays_out_at_night_before_13|conduct_14_runs_away_overnight|conduct_15_truancy_before_13|dmdd_irritable_between_outbursts|dmdd_outbursts_frequency_per_week|encopresis_event_frequency_per_month|eng_adhd_context_spread|eng_adhd_core_mean|eng_anxiety_core_mean|eng_conduct_core_mean|eng_depression_core_mean|eng_elimination_intensity|eng_externalizing_index|eng_internalizing_index|eng_mood_discrepancy|enuresis_event_frequency_per_week|gad_difficulty_controlling_worry|gad_excessive_worry_multiple_areas|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts|sep_anx_01_distress_on_separation|sep_anx_02_worry_losing_attachment_figures|sep_anx_03_worry_event_causing_separation|sep_anx_04_refuses_leaving_home_school|sep_anx_05_fear_being_alone_without_attachment|sep_anx_06_refuses_sleep_away_or_alone|sep_anx_07_separation_nightmares|sep_anx_08_physical_complaints_on_separation|social_anxiety_almost_always_triggered|social_anxiety_avoid_or_endure_intense|social_anxiety_fear_being_observed|social_anxiety_fear_interactions
conduct,caregiver_2_3,caregiver,yes,conduct__caregiver_2_3__conduct_honest_retrain_v1__rf__engineered_compact_no_shortcuts_v1,hybrid_conduct_honest_retrain_v1,conduct_honest_retrain_v1,rf,engineered_compact_no_shortcuts_v1,rf_balanced_subsample_v1,none,precision_min_recall,0.6849999999999999,20270421,41,0.9280575539568344,0.80625,0.96875,0.8875,0.862876254180602,0.975859375,0.9476529887411712,0.0598134006093339,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,shortcut risk; mode fragility; calibration concern,no,conduct_honest_retrain_v1_replacement,
depression,caregiver_1_3,caregiver,yes,depression__caregiver_1_3__rebuild_v2__rf__precision_oriented_subset,hybrid_no_external_scores_rebuild_v2,rebuild_v2,rf,precision_oriented_subset,rf_baseline,none,recall_constrained,0.5299999999999999,20261101,20,0.8059701492537313,0.6585365853658537,0.9673366834170856,0.8129366343914696,0.7248322147651006,0.958282264983454,0.764765007527117,0.0600670985657974,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,mode fragility; calibration concern; low recall,no,clean_universe_no_external_scores,
depression,caregiver_2_3,caregiver,yes,depression__caregiver_2_3__hybrid_final_decisive_rescue_v5__rf__precision_oriented_subset,hybrid_final_decisive_rescue_v5,hybrid_final_decisive_rescue_v5,rf,precision_oriented_subset,rf_regularized_v3,none,balanced,0.4399999999999999,20270421,39,0.7789473684210526,0.902439024390244,0.9472361809045228,0.9248376026473832,0.8361581920903954,0.9791334722392452,0.9185052705693368,0.0439804889728679,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,mode fragility; low precision,no,final_decisive_rescue_v5_replacement,
depression,psychologist_1_3,psychologist,yes,depression__psychologist_1_3__rebuild_v2__rf__stability_pruned_subset,hybrid_no_external_scores_rebuild_v2,rebuild_v2,rf,stability_pruned_subset,rf_baseline,isotonic,default_0_5,0.5,20261101,30,0.7974683544303798,0.7682926829268293,0.9597989949748744,0.8640458389508519,0.782608695652174,0.9483852187768108,0.7681311253035743,0.0565304346753685,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,mode fragility; low precision,no,clean_universe_no_external_scores,
depression,psychologist_2_3,psychologist,yes,depression__psychologist_2_3__final_honest_improvement_v1__rf__compact_subset,hybrid_final_honest_improvement_v1,final_honest_improvement_v1,rf,compact_subset,rf_regularized_v2,none,balanced,0.3949999999999999,20270421,46,0.7872340425531915,0.902439024390244,0.949748743718593,0.9260938840544184,0.8409090909090909,0.9794092413285942,0.8675121016971403,0.0429005294006906,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,mode fragility; low precision; stress sensitivity,no,final_honest_improvement_v1_replacement,
