domain,mode,role,old_active_model_id,new_active_model_id,old_f1,new_f1,old_recall,new_recall,old_precision,new_precision,old_balanced_accuracy,new_balanced_accuracy,old_specificity,new_specificity,old_roc_auc,new_roc_auc,old_pr_auc,new_pr_auc
adhd,psychologist_full,psychologist,adhd__psychologist_full__rebuild_v2__rf__engineered_full,adhd__psychologist_full__v6_hotfix_v1__logreg__dsm5_core_only,0.88268156424581,0.783410138248848,0.8404255319148937,0.9042553191489362,0.9294117647058824,0.6910569105691057,0.9124407452320582,0.902904861647007,0.9844559585492229,0.9015544041450776,0.9892652408775218,0.9690497188843568,0.9271313857162288,0.8323549472799558
anxiety,caregiver_2_3,caregiver,anxiety__caregiver_2_3__final_honest_improvement_v1__rf__engineered_pruned,anxiety__caregiver_2_3__v6_hotfix_v1__logreg__engineered_pruned_no_eng_v1,0.8926553672316384,0.8674698795180723,0.9186046511627908,0.8372093023255814,0.8681318681318682,0.9,0.9440738991854564,0.9084523668988314,0.9695431472081218,0.9796954314720812,0.9919135875339392,0.976508086412466,0.9572096459522188,0.9296147704456827
anxiety,caregiver_full,caregiver,anxiety__caregiver_full__final_honest_improvement_v1__rf__engineered_compact,anxiety__caregiver_full__v6_hotfix_v1__logreg__full_eligible,0.898876404494382,0.8439306358381503,0.9302325581395348,0.8488372093023255,0.8695652173913043,0.8390804597701149,0.9498878526738284,0.9066521071892338,0.9695431472081218,0.964467005076142,0.9929465234328888,0.9746488017943572,0.9704386771709956,0.9164530208073066
anxiety,psychologist_1_3,psychologist,anxiety__psychologist_1_3__rebuild_v2__rf__engineered_full,anxiety__psychologist_1_3__v6_hotfix_v1__hgb__engineered_full,0.8211920529801324,0.8494623655913979,0.7209302325581395,0.9186046511627908,0.953846153846154,0.79,0.856658009680085,0.932652579388502,0.9923857868020304,0.9467005076142132,0.9836058316609608,0.9779837091252508,0.9167286511795306,0.9104031229648484
anxiety,psychologist_2_3,psychologist,anxiety__psychologist_2_3__final_honest_improvement_v1__rf__engineered_pruned,anxiety__psychologist_2_3__v6_hotfix_v1__logreg__engineered_pruned_no_eng_v1,0.8743169398907104,0.8757396449704142,0.9302325581395348,0.8604651162790697,0.8247422680412371,0.891566265060241,0.9435426750088538,0.9188112383425806,0.9568527918781726,0.9771573604060914,0.9918840750796836,0.9794593318380356,0.966312961726849,0.931394926615426
anxiety,psychologist_full,psychologist,anxiety__psychologist_full__final_honest_improvement_v1__rf__engineered_pruned,anxiety__psychologist_full__v6_hotfix_v1__logreg__dsm5_core_single__sep_anx_symptom_count,0.8839779005524862,0.8172043010752689,0.9302325581395348,0.8837209302325582,0.8421052631578947,0.76,0.9460807460748436,0.9114036123244008,0.9619289340101524,0.9390862944162436,0.9919135875339392,0.9679052059969306,0.9591820433560584,0.8512733209157707
conduct,caregiver_full,caregiver,conduct__caregiver_full__hybrid_final_aggressive_rescue_v6__extra_trees__dsm5_core_plus_context,conduct__caregiver_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,0.9968847352024922,0.8596491228070176,1.0,0.91875,0.9937888198757764,0.8076923076923077,0.9984375,0.9046875,0.996875,0.890625,1.0,0.9746875,1.0,0.9499594639068576
conduct,psychologist_full,psychologist,conduct__psychologist_full__hybrid_final_aggressive_rescue_v6__hgb__dsm5_core_plus_context,conduct__psychologist_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,0.9968847352024922,0.8768768768768769,1.0,0.9125,0.9937888198757764,0.8439306358381503,0.9984375,0.9140625,0.996875,0.915625,0.99994140625,0.975634765625,0.9998828094481228,0.9413294156917726
depression,caregiver_full,caregiver,depression__caregiver_full__boosted_v3__catboost__full_eligible,depression__caregiver_full__v6_hotfix_v1__hgb__no_shortcut_v1,0.891566265060241,0.7757575757575758,0.9487179487179488,0.7804878048780488,0.8409090909090909,0.7710843373493976,0.9569460390355912,0.866374555705356,0.965174129353234,0.9522613065326632,0.9909108304630694,0.9722086039955876,0.9434742112852106,0.8577614162582414
depression,psychologist_full,psychologist,depression__psychologist_full__boosted_v3__hgb__full_eligible,depression__psychologist_full__v6_hotfix_v1__hgb__no_shortcut_v1,0.9012345679012346,0.7878787878787878,0.935897435897436,0.7926829268292683,0.8690476190476191,0.7831325301204819,0.9542671259089168,0.8737283980880011,0.972636815920398,0.9547738693467336,0.9923140706722796,0.9750275769089348,0.9533076719585644,0.8740526749277387
