domain,mode,shortcut_dominance_flag
adhd,caregiver_1_3,no
adhd,caregiver_2_3,no
adhd,caregiver_full,no
adhd,psychologist_1_3,no
adhd,psychologist_2_3,no
adhd,psychologist_full,no
anxiety,caregiver_1_3,no
anxiety,caregiver_2_3,no
anxiety,caregiver_full,no
anxiety,psychologist_1_3,no
anxiety,psychologist_2_3,no
anxiety,psychologist_full,no
conduct,caregiver_1_3,no
conduct,caregiver_2_3,no
conduct,caregiver_full,no
conduct,psychologist_1_3,no
conduct,psychologist_2_3,no
conduct,psychologist_full,no
depression,caregiver_1_3,no
depression,caregiver_2_3,no
depression,caregiver_full,no
depression,psychologist_1_3,no
depression,psychologist_2_3,no
depression,psychologist_full,no
elimination,caregiver_1_3,no
elimination,caregiver_2_3,no
elimination,caregiver_full,no
elimination,psychologist_1_3,no
elimination,psychologist_2_3,no
elimination,psychologist_full,no
