input_key,domain,source_instrument_or_origin,caregiver_answerable_yes_no,clinician_entered_yes_no,child_self_report_only_yes_no,can_be_derived_yes_no,can_be_system_filled_yes_no,should_remain_missing_yes_no,route_a_caregiver_covered_yes_no,route_b_caregiver_covered_yes_no,route_c_caregiver_covered_yes_no,psychologist_mode_covered_yes_no,notes
age_years,adhd,general,yes,no,no,no,no,no,yes,yes,yes,yes,
sex_assigned_at_birth,adhd,general,yes,no,no,no,no,no,yes,yes,yes,yes,
site,adhd,general,yes,no,no,no,yes,no,yes,yes,yes,yes,
release,adhd,general,yes,no,no,no,yes,no,yes,yes,yes,yes,
has_swan,adhd,adhd,no,yes,no,no,yes,no,yes,yes,yes,yes,
swan_hyperactive_impulsive_total,adhd,adhd,yes,no,no,no,no,no,yes,yes,yes,yes,
swan_inattention_total,adhd,adhd,yes,no,no,no,no,no,yes,yes,yes,yes,
swan_total,adhd,adhd,yes,no,no,no,no,no,yes,yes,yes,yes,
has_conners,adhd,adhd,no,yes,no,no,yes,no,yes,yes,no,yes,
conners_cognitive_problems,adhd,adhd,no,no,yes,no,no,yes,no,yes,no,yes,self_report_admin_required
conners_conduct_problems,adhd,adhd,no,no,yes,no,no,yes,no,yes,no,yes,self_report_admin_required
conners_hyperactivity,adhd,adhd,no,no,yes,no,no,yes,no,yes,no,yes,self_report_admin_required
conners_total,adhd,adhd,no,no,yes,no,no,yes,no,yes,no,yes,self_report_admin_required
has_cbcl,adhd,transdiagnostic,no,yes,no,no,yes,no,yes,yes,yes,yes,
cbcl_aggressive_behavior_proxy,adhd,conduct,yes,no,no,no,no,no,yes,yes,yes,yes,
cbcl_anxious_depressed_proxy,adhd,depression,yes,no,no,no,no,no,yes,yes,yes,yes,
cbcl_attention_problems_proxy,adhd,adhd,yes,no,no,no,no,no,yes,yes,yes,yes,
cbcl_externalizing_proxy,adhd,transdiagnostic,yes,no,no,no,no,no,yes,yes,yes,yes,
cbcl_internalizing_proxy,adhd,transdiagnostic,yes,no,no,no,no,no,yes,yes,yes,yes,
cbcl_rule_breaking_proxy,adhd,conduct,yes,no,no,no,no,no,yes,yes,yes,yes,
has_sdq,adhd,transdiagnostic,no,yes,no,no,yes,no,no,yes,yes,yes,
sdq_conduct_problems,adhd,conduct,yes,no,no,no,no,no,yes,yes,yes,yes,
sdq_emotional_symptoms,adhd,transdiagnostic,yes,no,no,no,no,no,yes,yes,yes,yes,
sdq_hyperactivity_inattention,adhd,adhd,yes,no,no,no,no,no,yes,yes,yes,yes,
sdq_impact,adhd,transdiagnostic,yes,no,no,no,no,no,yes,yes,yes,yes,
sdq_peer_problems,adhd,transdiagnostic,yes,no,no,no,no,no,yes,yes,yes,yes,
sdq_prosocial_behavior,adhd,transdiagnostic,yes,no,no,no,no,no,yes,yes,yes,yes,
sdq_total_difficulties,adhd,transdiagnostic,yes,no,no,no,no,no,yes,yes,yes,yes,
has_ysr,adhd,transdiagnostic,no,yes,no,yes,yes,no,no,yes,no,yes,
ysr_aggressive_behavior_proxy,adhd,conduct,no,no,yes,yes,no,no,no,yes,no,yes,self_report_admin_required
ysr_anxious_depressed_proxy,adhd,depression,no,no,yes,yes,no,no,no,yes,no,yes,self_report_admin_required
ysr_attention_problems_proxy,adhd,adhd,no,no,yes,yes,no,no,no,yes,no,yes,self_report_admin_required
ysr_externalizing_proxy,adhd,transdiagnostic,no,no,yes,yes,no,no,no,yes,no,yes,self_report_admin_required
ysr_internalizing_proxy,adhd,transdiagnostic,no,no,yes,yes,no,no,no,yes,no,yes,self_report_admin_required
ysr_rule_breaking_proxy,adhd,conduct,no,no,yes,yes,no,no,no,yes,no,yes,self_report_admin_required
age_years,conduct,general,yes,no,no,no,no,no,yes,yes,yes,yes,
sex_assigned_at_birth,conduct,general,yes,no,no,no,no,no,yes,yes,yes,yes,
site,conduct,general,yes,no,no,no,yes,no,yes,yes,yes,yes,
release,conduct,general,yes,no,no,no,yes,no,yes,yes,yes,yes,
has_icut,conduct,conduct,no,yes,no,no,yes,no,yes,yes,yes,yes,
icut_total,conduct,conduct,yes,no,no,no,no,no,yes,yes,yes,yes,
has_ari_p,conduct,conduct,no,yes,no,no,yes,no,yes,yes,yes,yes,
ari_p_symptom_total,conduct,conduct,yes,no,no,no,no,no,yes,yes,yes,yes,
has_ari_sr,conduct,conduct,no,yes,no,yes,yes,no,yes,yes,yes,yes,
ari_sr_symptom_total,conduct,conduct,no,no,yes,yes,no,no,no,yes,no,yes,self_report_admin_required
has_cbcl,conduct,transdiagnostic,no,yes,no,no,yes,no,yes,yes,yes,yes,
cbcl_aggressive_behavior_proxy,conduct,conduct,yes,no,no,no,no,no,yes,yes,yes,yes,
cbcl_anxious_depressed_proxy,conduct,depression,yes,no,no,no,no,no,yes,yes,yes,yes,
cbcl_attention_problems_proxy,conduct,adhd,yes,no,no,no,no,no,yes,yes,yes,yes,
cbcl_externalizing_proxy,conduct,transdiagnostic,yes,no,no,no,no,no,yes,yes,yes,yes,
cbcl_internalizing_proxy,conduct,transdiagnostic,yes,no,no,no,no,no,yes,yes,yes,yes,
cbcl_rule_breaking_proxy,conduct,conduct,yes,no,no,no,no,no,yes,yes,yes,yes,
has_sdq,conduct,transdiagnostic,no,yes,no,no,yes,no,no,yes,yes,yes,
sdq_conduct_problems,conduct,conduct,yes,no,no,no,no,no,yes,yes,yes,yes,
sdq_emotional_symptoms,conduct,transdiagnostic,yes,no,no,no,no,no,yes,yes,yes,yes,
sdq_hyperactivity_inattention,conduct,adhd,yes,no,no,no,no,no,yes,yes,yes,yes,
sdq_impact,conduct,transdiagnostic,yes,no,no,no,no,no,yes,yes,yes,yes,
sdq_total_difficulties,conduct,transdiagnostic,yes,no,no,no,no,no,yes,yes,yes,yes,
age_years,elimination,general,yes,no,no,no,no,no,yes,yes,yes,yes,
sex_assigned_at_birth,elimination,general,yes,no,no,no,no,no,yes,yes,yes,yes,
site,elimination,general,yes,no,no,no,yes,no,yes,yes,yes,yes,
release,elimination,general,yes,no,no,no,yes,no,yes,yes,yes,yes,
has_cbcl,elimination,transdiagnostic,no,yes,no,no,yes,no,yes,yes,yes,yes,
cbcl_aggressive_behavior_proxy,elimination,conduct,yes,no,no,no,no,no,yes,yes,yes,yes,
cbcl_anxious_depressed_proxy,elimination,depression,yes,no,no,no,no,no,yes,yes,yes,yes,
cbcl_attention_problems_proxy,elimination,adhd,yes,no,no,no,no,no,yes,yes,yes,yes,
cbcl_externalizing_proxy,elimination,transdiagnostic,yes,no,no,no,no,no,yes,yes,yes,yes,
cbcl_internalizing_proxy,elimination,transdiagnostic,yes,no,no,no,no,no,yes,yes,yes,yes,
cbcl_rule_breaking_proxy,elimination,conduct,yes,no,no,no,no,no,yes,yes,yes,yes,
