mode,domain,profile_name,config_id,seed,n_features,calibration,threshold_policy,threshold,val_objective,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,missingness_sensitivity,partial_questionnaire_sensitivity,uncertainty_rate,high_conf_precision,high_conf_coverage,input_missing_ratio
caregiver,adhd,base,rf_base,11,23,isotonic,precision_guarded,0.605,0.9224325181569578,0.9496402877697842,0.8198757763975155,0.944,0.8819378881987577,0.88,0.9516521739130435,0.9562882432130714,0.08402775866676811,0.02221118012422363,0.009341614906832274,0.024475524475524476,0.9496402877697842,0.9755244755244755,0.08300395256916995
caregiver,adhd,base,rf_base,29,23,isotonic,precision_guarded,0.505,0.9286303572404704,0.9310344827586207,0.8385093167701864,0.92,0.8792546583850932,0.8823529411764706,0.9540372670807454,0.9579412039643158,0.0831462029790484,0.0075776397515529,0.0002608695652174253,0.10839160839160839,0.9310344827586207,0.8916083916083916,0.08300395256916995
caregiver,adhd,base,rf_base,47,23,isotonic,precision_guarded,0.67,0.9231804185786501,0.9548872180451128,0.7888198757763976,0.952,0.8704099378881988,0.8639455782312925,0.9509565217391305,0.956677849041039,0.0846408713720324,0.005316770186335362,0.0026832298136645893,0.027972027972027972,0.9548872180451128,0.972027972027972,0.08300395256916995
caregiver,adhd,base,rf_base,83,23,isotonic,precision_guarded,0.64,0.9225748335566123,0.9496402877697842,0.8198757763975155,0.944,0.8819378881987577,0.88,0.9505341614906833,0.9568727413136169,0.08535500847220101,0.009316770186335366,0.006894409937888146,0.027972027972027972,0.9496402877697842,0.9685314685314685,0.08300395256916995
caregiver,adhd,base,rf_hardened,11,23,isotonic,precision_guarded,0.41000000000000003,0.9242771266800498,0.9375,0.8385093167701864,0.928,0.8832546583850932,0.8852459016393442,0.9559751552795032,0.959454218080062,0.08315288103502415,0.004521739130434854,-0.0003726708074533458,0.14335664335664336,0.9375,0.8531468531468531,0.08300395256916995
caregiver,adhd,base,rf_hardened,29,23,isotonic,precision_guarded,0.63,0.9266192601488898,0.9555555555555556,0.8012422360248447,0.952,0.8766211180124224,0.8716216216216216,0.954857142857143,0.9593574029750185,0.08230194138979055,0.007105590062111866,-0.00042236024844721776,0.03146853146853147,0.9555555555555556,0.9685314685314685,0.08300395256916995
caregiver,adhd,base,rf_hardened,47,23,isotonic,precision_guarded,0.505,0.9225977289524863,0.9370629370629371,0.8322981366459627,0.928,0.8801490683229813,0.881578947368421,0.9518260869565218,0.9587390235072724,0.0819403380409307,-0.0026335403726708284,0.003366459627329177,0.11538461538461539,0.9370629370629371,0.8706293706293706,0.08300395256916995
caregiver,adhd,base,rf_hardened,83,23,isotonic,precision_guarded,0.67,0.9229647192191718,0.9552238805970149,0.7950310559006211,0.952,0.8735155279503105,0.8677966101694915,0.9556770186335404,0.960879572222897,0.08272294918396801,0.01552795031055898,0.008447204968944078,0.04195804195804196,0.9548872180451128,0.958041958041958,0.08300395256916995
caregiver,adhd,base,rf_precision,11,23,isotonic,precision_guarded,0.67,0.916473022133672,0.9626865671641791,0.8012422360248447,0.96,0.8806211180124224,0.8745762711864407,0.9486708074534163,0.9553450215187558,0.08569946680257044,0.02621118012422352,0.011130434782608667,0.027972027972027972,0.9752066115702479,0.9300699300699301,0.08300395256916995
caregiver,adhd,base,rf_precision,29,23,isotonic,precision_guarded,0.505,0.9220618749131616,0.9436619718309859,0.8322981366459627,0.936,0.8841490683229813,0.8844884488448845,0.9479503105590062,0.9549148745563566,0.08534903351657595,0.008944099378881964,0.01273291925465836,0.13636363636363635,0.950354609929078,0.8601398601398601,0.08300395256916995
