mode,domain,default_dependency,fine_tuning_dependency,overfit_risk,leakage_risk,missingness_sensitivity,partial_questionnaire_sensitivity,split_std,honesty_score,robustness_score,combined_honesty_robustness
caregiver,adhd,0.04243483788938334,0.25,low,low,0.0096024844720497,0.0038913043478260995,0.0032236024844720657,0.686347743165925,0.9744332298136645,0.8303904864897947
caregiver,conduct,0.032134532134532136,0.25,low,low,-0.002639563106796111,0.017149575242718457,0.00364077669902918,0.7017982017982018,0.9788159890776698,0.8403070954379358
caregiver,elimination,0.031031468531468535,0.1,low,low,0.016509316770186327,0.1253136645962733,0.006211180124223614,0.8534527972027972,0.8011642857142858,0.8273085414585415
caregiver,anxiety,0.08542808542808543,0.25,low,low,0.019318181818181845,0.036458333333333384,0.0035984848484849064,0.6218578718578719,0.9142329545454544,0.7680454132016632
caregiver,depression,0.06705059646236118,0.1,low,low,0.01855453852021363,0.010983981693363828,0.0014619883040936088,0.7994241053064582,0.9508606661581489,0.8751423857323035
psychologist,adhd,0.36333666333666326,0.25,low,low,0.0071428571428571175,0.005372670807453406,0.0015527950310558758,0.20499500499500511,0.9786055900621119,0.5918002975285586
psychologist,conduct,0.033140772271207056,0.1,low,low,-0.0016080097087378675,0.01429763349514565,0.0005157766990291357,0.8502888415931894,0.9837917172330097,0.9170402794130996
psychologist,elimination,0.03187988482106129,0.1,low,low,-0.029521739130434793,0.1237080745341615,1.1102230246251565e-16,0.8521801727684081,0.8923186335403726,0.8722494031543904
psychologist,anxiety,0.1302716514254976,0.25,low,low,-0.0007575757575757069,0.24469696969696977,0.0,0.5545925228617536,0.6832575757575755,0.6189250493096645
psychologist,depression,0.06721056721056723,0.25,low,low,0.015744978387999015,0.015913424866514092,0.001442918891431555,0.6491841491841491,0.9495286676837019,0.7993564084339255
