route,domain,feature,in_contract,mode
A,adhd,age_years,yes,direct
B,adhd,age_years,yes,direct
C,adhd,age_years,yes,direct
A,adhd,sex_assigned_at_birth,yes,direct
B,adhd,sex_assigned_at_birth,yes,direct
C,adhd,sex_assigned_at_birth,yes,direct
A,adhd,site,yes,direct
B,adhd,site,yes,direct
C,adhd,site,yes,direct
A,adhd,release,yes,direct
B,adhd,release,yes,direct
C,adhd,release,yes,direct
A,adhd,has_swan,yes,direct
B,adhd,has_swan,yes,direct
C,adhd,has_swan,yes,direct
A,adhd,swan_hyperactive_impulsive_total,yes,direct
B,adhd,swan_hyperactive_impulsive_total,yes,direct
C,adhd,swan_hyperactive_impulsive_total,yes,direct
A,adhd,swan_inattention_total,yes,direct
B,adhd,swan_inattention_total,yes,direct
C,adhd,swan_inattention_total,yes,direct
A,adhd,swan_total,yes,direct
B,adhd,swan_total,yes,direct
C,adhd,swan_total,yes,direct
A,adhd,has_conners,yes,direct
B,adhd,has_conners,yes,direct
C,adhd,has_conners,no,excluded_self_or_noncaregiver
A,adhd,conners_cognitive_problems,no,missing_structural
B,adhd,conners_cognitive_problems,yes,derived
C,adhd,conners_cognitive_problems,no,excluded_self_or_noncaregiver
A,adhd,conners_conduct_problems,no,missing_structural
B,adhd,conners_conduct_problems,yes,derived
C,adhd,conners_conduct_problems,no,excluded_self_or_noncaregiver
A,adhd,conners_hyperactivity,no,missing_structural
B,adhd,conners_hyperactivity,yes,derived
C,adhd,conners_hyperactivity,no,excluded_self_or_noncaregiver
A,adhd,conners_total,no,missing_structural
B,adhd,conners_total,yes,derived
C,adhd,conners_total,no,excluded_self_or_noncaregiver
A,adhd,has_cbcl,yes,direct
B,adhd,has_cbcl,yes,direct
C,adhd,has_cbcl,yes,direct
A,adhd,cbcl_aggressive_behavior_proxy,yes,direct
B,adhd,cbcl_aggressive_behavior_proxy,yes,direct
C,adhd,cbcl_aggressive_behavior_proxy,yes,direct
A,adhd,cbcl_anxious_depressed_proxy,yes,direct
B,adhd,cbcl_anxious_depressed_proxy,yes,direct
C,adhd,cbcl_anxious_depressed_proxy,yes,direct
A,adhd,cbcl_attention_problems_proxy,yes,direct
B,adhd,cbcl_attention_problems_proxy,yes,direct
C,adhd,cbcl_attention_problems_proxy,yes,direct
A,adhd,cbcl_externalizing_proxy,yes,direct
B,adhd,cbcl_externalizing_proxy,yes,direct
C,adhd,cbcl_externalizing_proxy,yes,direct
A,adhd,cbcl_internalizing_proxy,yes,direct
B,adhd,cbcl_internalizing_proxy,yes,direct
C,adhd,cbcl_internalizing_proxy,yes,direct
A,adhd,cbcl_rule_breaking_proxy,yes,direct
B,adhd,cbcl_rule_breaking_proxy,yes,direct
C,adhd,cbcl_rule_breaking_proxy,yes,direct
A,adhd,has_sdq,no,missing_structural
B,adhd,has_sdq,yes,imputed
C,adhd,has_sdq,yes,direct
A,adhd,sdq_conduct_problems,yes,direct
B,adhd,sdq_conduct_problems,yes,direct
C,adhd,sdq_conduct_problems,yes,direct
A,adhd,sdq_emotional_symptoms,yes,direct
B,adhd,sdq_emotional_symptoms,yes,direct
C,adhd,sdq_emotional_symptoms,yes,direct
A,adhd,sdq_hyperactivity_inattention,yes,direct
B,adhd,sdq_hyperactivity_inattention,yes,direct
C,adhd,sdq_hyperactivity_inattention,yes,direct
A,adhd,sdq_impact,yes,direct
B,adhd,sdq_impact,yes,direct
C,adhd,sdq_impact,yes,direct
A,adhd,sdq_peer_problems,yes,direct
B,adhd,sdq_peer_problems,yes,direct
C,adhd,sdq_peer_problems,yes,direct
A,adhd,sdq_prosocial_behavior,yes,direct
B,adhd,sdq_prosocial_behavior,yes,direct
C,adhd,sdq_prosocial_behavior,yes,direct
A,adhd,sdq_total_difficulties,yes,direct
B,adhd,sdq_total_difficulties,yes,direct
C,adhd,sdq_total_difficulties,yes,direct
A,adhd,has_ysr,no,missing_structural
B,adhd,has_ysr,yes,derived
C,adhd,has_ysr,no,excluded_self_or_noncaregiver
A,adhd,ysr_aggressive_behavior_proxy,no,missing_structural
B,adhd,ysr_aggressive_behavior_proxy,yes,derived
C,adhd,ysr_aggressive_behavior_proxy,no,excluded_self_or_noncaregiver
A,adhd,ysr_anxious_depressed_proxy,no,missing_structural
B,adhd,ysr_anxious_depressed_proxy,yes,derived
C,adhd,ysr_anxious_depressed_proxy,no,excluded_self_or_noncaregiver
A,adhd,ysr_attention_problems_proxy,no,missing_structural
B,adhd,ysr_attention_problems_proxy,yes,derived
C,adhd,ysr_attention_problems_proxy,no,excluded_self_or_noncaregiver
A,adhd,ysr_externalizing_proxy,no,missing_structural
B,adhd,ysr_externalizing_proxy,yes,derived
C,adhd,ysr_externalizing_proxy,no,excluded_self_or_noncaregiver
A,adhd,ysr_internalizing_proxy,no,missing_structural
B,adhd,ysr_internalizing_proxy,yes,derived
C,adhd,ysr_internalizing_proxy,no,excluded_self_or_noncaregiver
A,adhd,ysr_rule_breaking_proxy,no,missing_structural
B,adhd,ysr_rule_breaking_proxy,yes,derived
C,adhd,ysr_rule_breaking_proxy,no,excluded_self_or_noncaregiver
A,conduct,age_years,yes,direct
B,conduct,age_years,yes,direct
C,conduct,age_years,yes,direct
A,conduct,sex_assigned_at_birth,yes,direct
B,conduct,sex_assigned_at_birth,yes,direct
C,conduct,sex_assigned_at_birth,yes,direct
A,conduct,site,yes,direct
B,conduct,site,yes,direct
C,conduct,site,yes,direct
A,conduct,release,yes,direct
B,conduct,release,yes,direct
C,conduct,release,yes,direct
A,conduct,has_icut,yes,direct
B,conduct,has_icut,yes,direct
C,conduct,has_icut,yes,direct
A,conduct,icut_total,yes,direct
B,conduct,icut_total,yes,direct
C,conduct,icut_total,yes,direct
A,conduct,has_ari_p,yes,direct
B,conduct,has_ari_p,yes,direct
C,conduct,has_ari_p,yes,direct
A,conduct,ari_p_symptom_total,yes,direct
B,conduct,ari_p_symptom_total,yes,direct
C,conduct,ari_p_symptom_total,yes,direct
A,conduct,has_ari_sr,yes,direct
B,conduct,has_ari_sr,yes,direct
C,conduct,has_ari_sr,yes,direct
A,conduct,ari_sr_symptom_total,no,missing_structural
B,conduct,ari_sr_symptom_total,yes,derived
C,conduct,ari_sr_symptom_total,no,excluded_self_or_noncaregiver
A,conduct,has_cbcl,yes,direct
B,conduct,has_cbcl,yes,direct
C,conduct,has_cbcl,yes,direct
A,conduct,cbcl_aggressive_behavior_proxy,yes,direct
B,conduct,cbcl_aggressive_behavior_proxy,yes,direct
C,conduct,cbcl_aggressive_behavior_proxy,yes,direct
A,conduct,cbcl_anxious_depressed_proxy,yes,direct
B,conduct,cbcl_anxious_depressed_proxy,yes,direct
C,conduct,cbcl_anxious_depressed_proxy,yes,direct
A,conduct,cbcl_attention_problems_proxy,yes,direct
B,conduct,cbcl_attention_problems_proxy,yes,direct
C,conduct,cbcl_attention_problems_proxy,yes,direct
A,conduct,cbcl_externalizing_proxy,yes,direct
B,conduct,cbcl_externalizing_proxy,yes,direct
C,conduct,cbcl_externalizing_proxy,yes,direct
A,conduct,cbcl_internalizing_proxy,yes,direct
B,conduct,cbcl_internalizing_proxy,yes,direct
C,conduct,cbcl_internalizing_proxy,yes,direct
A,conduct,cbcl_rule_breaking_proxy,yes,direct
B,conduct,cbcl_rule_breaking_proxy,yes,direct
C,conduct,cbcl_rule_breaking_proxy,yes,direct
A,conduct,has_sdq,no,missing_structural
B,conduct,has_sdq,yes,imputed
C,conduct,has_sdq,yes,direct
A,conduct,sdq_conduct_problems,yes,direct
B,conduct,sdq_conduct_problems,yes,direct
C,conduct,sdq_conduct_problems,yes,direct
A,conduct,sdq_emotional_symptoms,yes,direct
B,conduct,sdq_emotional_symptoms,yes,direct
C,conduct,sdq_emotional_symptoms,yes,direct
A,conduct,sdq_hyperactivity_inattention,yes,direct
B,conduct,sdq_hyperactivity_inattention,yes,direct
C,conduct,sdq_hyperactivity_inattention,yes,direct
A,conduct,sdq_impact,yes,direct
B,conduct,sdq_impact,yes,direct
C,conduct,sdq_impact,yes,direct
A,conduct,sdq_total_difficulties,yes,direct
B,conduct,sdq_total_difficulties,yes,direct
C,conduct,sdq_total_difficulties,yes,direct
A,elimination,age_years,yes,direct
B,elimination,age_years,yes,direct
C,elimination,age_years,yes,direct
A,elimination,sex_assigned_at_birth,yes,direct
B,elimination,sex_assigned_at_birth,yes,direct
C,elimination,sex_assigned_at_birth,yes,direct
A,elimination,site,yes,direct
B,elimination,site,yes,direct
C,elimination,site,yes,direct
A,elimination,release,yes,direct
B,elimination,release,yes,direct
C,elimination,release,yes,direct
A,elimination,has_cbcl,yes,direct
B,elimination,has_cbcl,yes,direct
C,elimination,has_cbcl,yes,direct
A,elimination,cbcl_aggressive_behavior_proxy,yes,direct
B,elimination,cbcl_aggressive_behavior_proxy,yes,direct
C,elimination,cbcl_aggressive_behavior_proxy,yes,direct
A,elimination,cbcl_anxious_depressed_proxy,yes,direct
B,elimination,cbcl_anxious_depressed_proxy,yes,direct
C,elimination,cbcl_anxious_depressed_proxy,yes,direct
A,elimination,cbcl_attention_problems_proxy,yes,direct
B,elimination,cbcl_attention_problems_proxy,yes,direct
C,elimination,cbcl_attention_problems_proxy,yes,direct
A,elimination,cbcl_externalizing_proxy,yes,direct
B,elimination,cbcl_externalizing_proxy,yes,direct
C,elimination,cbcl_externalizing_proxy,yes,direct
A,elimination,cbcl_internalizing_proxy,yes,direct
B,elimination,cbcl_internalizing_proxy,yes,direct
C,elimination,cbcl_internalizing_proxy,yes,direct
A,elimination,cbcl_rule_breaking_proxy,yes,direct
B,elimination,cbcl_rule_breaking_proxy,yes,direct
C,elimination,cbcl_rule_breaking_proxy,yes,direct
A,elimination,has_sdq,no,missing_structural
B,elimination,has_sdq,yes,imputed
C,elimination,has_sdq,yes,direct
A,elimination,sdq_conduct_problems,yes,direct
B,elimination,sdq_conduct_problems,yes,direct
C,elimination,sdq_conduct_problems,yes,direct
A,elimination,sdq_emotional_symptoms,yes,direct
B,elimination,sdq_emotional_symptoms,yes,direct
C,elimination,sdq_emotional_symptoms,yes,direct
A,elimination,sdq_hyperactivity_inattention,yes,direct
B,elimination,sdq_hyperactivity_inattention,yes,direct
C,elimination,sdq_hyperactivity_inattention,yes,direct
A,elimination,sdq_impact,yes,direct
B,elimination,sdq_impact,yes,direct
C,elimination,sdq_impact,yes,direct
A,elimination,sdq_total_difficulties,yes,direct
B,elimination,sdq_total_difficulties,yes,direct
C,elimination,sdq_total_difficulties,yes,direct
A,anxiety,age_years,yes,direct
B,anxiety,age_years,yes,direct
C,anxiety,age_years,yes,direct
A,anxiety,sex_assigned_at_birth,yes,direct
B,anxiety,sex_assigned_at_birth,yes,direct
C,anxiety,sex_assigned_at_birth,yes,direct
A,anxiety,site,yes,direct
B,anxiety,site,yes,direct
C,anxiety,site,yes,direct
A,anxiety,release,yes,direct
B,anxiety,release,yes,direct
C,anxiety,release,yes,direct
A,anxiety,has_scared_p,yes,direct
B,anxiety,has_scared_p,yes,direct
C,anxiety,has_scared_p,no,excluded_self_or_noncaregiver
A,anxiety,scared_p_01,no,missing_structural
B,anxiety,scared_p_01,yes,imputed
C,anxiety,scared_p_01,no,excluded_self_or_noncaregiver
A,anxiety,scared_p_02,no,missing_structural
B,anxiety,scared_p_02,yes,imputed
C,anxiety,scared_p_02,no,excluded_self_or_noncaregiver
A,anxiety,scared_p_03,no,missing_structural
B,anxiety,scared_p_03,yes,imputed
C,anxiety,scared_p_03,no,excluded_self_or_noncaregiver
A,anxiety,scared_p_04,no,missing_structural
B,anxiety,scared_p_04,yes,imputed
C,anxiety,scared_p_04,no,excluded_self_or_noncaregiver
A,anxiety,scared_p_05,no,missing_structural
B,anxiety,scared_p_05,yes,imputed
C,anxiety,scared_p_05,no,excluded_self_or_noncaregiver
A,anxiety,scared_p_06,no,missing_structural
B,anxiety,scared_p_06,yes,imputed
