route,domain,config_id,seed,n_features,calibration_strategy,threshold,val_balanced_accuracy,test_balanced_accuracy,test_precision,test_recall,test_specificity,test_f1,test_roc_auc,test_pr_auc,test_brier,robustness_missing15_ba,robustness_missing30_ba,robustness_missing15_delta,robustness_missing30_delta,direct_fill_pct,derived_fill_pct,imputed_fill_pct,remaining_missing_pct
B,adhd,rf_compact,11,35,none,0.6200000000000001,0.894360248447205,0.8832546583850932,0.9375,0.8385093167701864,0.928,0.8852459016393442,0.9572173913043479,0.9692623576137842,0.08281553798922935,0.8730434782608696,0.8819378881987577,0.010211180124223618,0.0013167701863354697,0.6025974025974026,0.3016983016983017,0.0957042957042957,0.0
B,adhd,rf_compact,29,35,none,0.645,0.8921490683229814,0.8761490683229813,0.9305555555555556,0.8322981366459627,0.92,0.8786885245901639,0.9560248447204969,0.9691308770538719,0.08335018104090247,0.8606211180124224,0.8530931677018634,0.01552795031055898,0.023055900621117953,0.6025974025974026,0.3016983016983017,0.0957042957042957,0.0
B,adhd,rf_compact,47,35,none,0.6800000000000002,0.8961490683229814,0.8841490683229813,0.9436619718309859,0.8322981366459627,0.936,0.8844884488448845,0.9560248447204969,0.9683507377475651,0.08381820114640355,0.8850434782608696,0.8664099378881988,-0.000894409937888252,0.01773913043478259,0.6025974025974026,0.3016983016983017,0.0957042957042957,0.0
B,adhd,rf_stability,11,35,none,0.685,0.8952546583850931,0.8810434782608696,0.9432624113475178,0.8260869565217391,0.936,0.8807947019867549,0.9565714285714286,0.9687374812907945,0.0837715029121841,0.8584099378881989,0.8504596273291926,0.022633540372670735,0.030583850931677037,0.6025974025974026,0.3016983016983017,0.0957042957042957,0.0
B,adhd,rf_stability,29,35,none,0.675,0.8952546583850931,0.8841490683229813,0.9436619718309859,0.8322981366459627,0.936,0.8844884488448845,0.9556770186335403,0.9683523511084715,0.08475406559707982,0.8468819875776398,0.8353540372670807,0.037267080745341574,0.04879503105590066,0.6025974025974026,0.3016983016983017,0.0957042957042957,0.0
B,adhd,rf_stability,47,35,none,0.6500000000000001,0.894360248447205,0.8792546583850932,0.9310344827586207,0.8385093167701864,0.92,0.8823529411764706,0.9568198757763976,0.9689764898567984,0.08355804613461468,0.8881490683229813,0.8757267080745341,-0.008894409937888148,0.0035279503105590804,0.6025974025974026,0.3016983016983017,0.0957042957042957,0.0
B,conduct,rf_compact,11,23,platt_val_fitted,0.35500000000000004,0.9628640776699029,0.9253640776699029,0.9333333333333333,0.875,0.9757281553398058,0.9032258064516129,0.987378640776699,0.9713171355480503,0.04527043449135814,0.9090412621359223,0.8840412621359224,0.016322815533980628,0.04132281553398054,0.8837032532684707,0.04287017330495591,0.07342657342657342,0.0
B,conduct,rf_compact,29,23,platt_val_fitted,0.36000000000000004,0.9628640776699029,0.9215412621359224,0.9452054794520548,0.8625,0.9805825242718447,0.9019607843137255,0.9884101941747573,0.9738021088209919,0.04345861148205401,0.9114684466019418,0.8725728155339806,0.01007281553398054,0.04896844660194177,0.8837032532684707,0.04287017330495591,0.07342657342657342,0.0
B,conduct,rf_compact,47,23,platt_val_fitted,0.33000000000000007,0.9628640776699029,0.9253640776699029,0.9333333333333333,0.875,0.9757281553398058,0.9032258064516129,0.9881067961165049,0.9727520267032588,0.044089753045814375,0.9142597087378641,0.8927184466019418,0.01110436893203881,0.032645631067961145,0.8837032532684707,0.04287017330495591,0.07342657342657342,0.0
B,conduct,rf_stability,11,23,none,0.4,0.9604368932038835,0.9191140776699029,0.9324324324324325,0.8625,0.9757281553398058,0.8961038961038961,0.9880461165048544,0.9728100504513852,0.04132325211079266,0.8902912621359224,0.8489684466019418,0.028822815533980584,0.07014563106796112,0.8837032532684707,0.04287017330495591,0.07342657342657342,0.0
B,conduct,rf_stability,29,23,platt_val_fitted,0.32500000000000007,0.9604368932038835,0.9215412621359224,0.9452054794520548,0.8625,0.9805825242718447,0.9019607843137255,0.9876820388349514,0.9727764215238516,0.044445876566215674,0.9152912621359224,0.8913228155339805,0.006249999999999978,0.03021844660194184,0.8837032532684707,0.04287017330495591,0.07342657342657342,0.0
B,conduct,rf_stability,47,23,platt_val_fitted,0.3350000000000001,0.9628640776699029,0.9263956310679612,0.971830985915493,0.8625,0.9902912621359223,0.9139072847682119,0.9881067961165049,0.9732218752975648,0.045118076161200824,0.9128640776699029,0.8826456310679611,0.013531553398058338,0.04375000000000007,0.8837032532684707,0.04287017330495591,0.07342657342657342,0.0
B,elimination,rf_compact,11,17,none,0.7450000000000001,0.8637763975155279,0.781664596273292,0.926605504587156,0.6273291925465838,0.936,0.7481481481481481,0.8841242236024845,0.9115145673885436,0.13535114426701023,0.7430807453416148,0.681863354037267,0.038583850931677155,0.09980124223602493,0.9119703825586178,0.0,0.08802961744138214,0.0
B,elimination,rf_compact,29,17,none,0.7650000000000001,0.8637763975155279,0.7723478260869565,0.9245283018867925,0.6086956521739131,0.936,0.7340823970037453,0.8837267080745342,0.9114739003222363,0.13522317919144095,0.7253416149068322,0.6721242236024845,0.04700621118012427,0.10022360248447204,0.9119703825586178,0.0,0.08802961744138214,0.0
B,elimination,rf_compact,47,17,none,0.7850000000000001,0.8606708074534162,0.7785590062111801,0.9259259259259259,0.6211180124223602,0.936,0.7434944237918215,0.8839751552795031,0.9121811754069591,0.13482298953578964,0.7129192546583851,0.6752298136645962,0.065639751552795,0.1033291925465839,0.9119703825586178,0.0,0.08802961744138214,0.0
B,elimination,rf_stability,11,17,none,0.7950000000000002,0.8615652173913043,0.7692422360248448,0.9238095238095239,0.6024844720496895,0.936,0.7293233082706767,0.8827329192546585,0.9123360014774595,0.13580223576280642,0.7324472049689441,0.6650186335403727,0.03679503105590065,0.10422360248447204,0.9119703825586178,0.0,0.08802961744138214,0.0
