path,size_bytes,suffix,mtime_utc
.dockerignore,182,,1768846366
.env,2027,,1776825038
.env.example,2947,.example,1777662382
.gitattributes,291,,1776311997
.gitignore,2431,,1776889189
AGENTS.md,57977,.md,1777748858
AGENTS_CONTEXT.md,1716,.md,1770648761
CHANGELOG.md,633,.md,1776886186
CONTRIBUTING.md,1026,.md,1768852495
Dockerfile,600,,1768846366
README.md,43246,.md,1777748316
README_hybrid_dsm5_v2.md,470,.md,1776886136
REPO_CONTENT_POLICY.md,313,.md,1776311997
VERSION,18,,1776886186
alembic.ini,770,.ini,1768846366
docker-compose.yml,1194,.yml,1768846366
icon.ico,214975,.ico,1768846366
requirements.txt,585,.txt,1777166836
run.py,2423,.py,1774896623
sonar-project.properties,857,.properties,1777748290
