path,size_bytes,suffix,mtime_utc
.coverage,69632,,1776826996
.dockerignore,182,,1768846366
.env,2027,,1776825038
.env.example,2947,.example,1777662382
.gitattributes,291,,1776311997
.gitignore,2431,,1776889189
AGENTS.md,55997,.md,1777738152
AGENTS_CONTEXT.md,1716,.md,1770648761
CHANGELOG.md,633,.md,1776886186
CONTRIBUTING.md,1026,.md,1768852495
Dockerfile,600,,1768846366
README.md,43208,.md,1777733691
README_hybrid_dsm5_v2.md,470,.md,1776886136
REPO_CONTENT_POLICY.md,313,.md,1776311997
VERSION,18,,1776886186
alembic.ini,770,.ini,1768846366
coverage.xml,336572,.xml,1776886216
docker-compose.yml,1194,.yml,1768846366
icon.ico,214975,.ico,1768846366
requirements.txt,585,.txt,1777166836
run.py,2423,.py,1774896623
sonar-project.properties,827,.properties,1776886216
sonar_issues.csv,124046,.csv,1776886216
sonar_issues.json,3178515,.json,1776886216
