field,migration_strategy,schema_change_required,legacy_plaintext_supported
questionnaire_sessions.metadata_json,application_layer_encryption_dual_read,no,yes
questionnaire_session_answers.answer_raw,application_layer_encryption_dual_read,no,yes
questionnaire_session_answers.answer_normalized,application_layer_encryption_dual_read,no,yes
questionnaire_session_internal_features.feature_value_numeric,application_layer_encryption_dual_read,no,yes
questionnaire_session_internal_features.feature_value_text,application_layer_encryption_dual_read,no,yes
questionnaire_session_results.summary_text,application_layer_encryption_dual_read,no,yes
questionnaire_session_results.operational_recommendation,application_layer_encryption_dual_read,no,yes
questionnaire_session_results.metadata_json,application_layer_encryption_dual_read,no,yes
questionnaire_session_result_domains.result_summary,application_layer_encryption_dual_read,no,yes
questionnaire_session_result_comorbidity.domains_json,application_layer_encryption_dual_read,no,yes
questionnaire_session_result_comorbidity.summary,application_layer_encryption_dual_read,no,yes
