disorder,feature,abs_mean_delta_fp_vs_tn,fp_mean,tn_mean
adhd,swan_total,32.996794871794876,9.333333333333334,-23.66346153846154
adhd,swan_inattention_total,21.619230769230768,6.6,-15.01923076923077
adhd,cbcl_externalizing_proxy,12.531593406593407,21.714285714285715,9.182692307692308
adhd,swan_hyperactive_impulsive_total,11.377564102564104,2.7333333333333334,-8.64423076923077
adhd,sdq_total_difficulties,10.563106796116504,15.0,4.436893203883495
adhd,cbcl_rule_breaking_proxy,8.664835164835164,11.357142857142858,2.6923076923076925
adhd,cbcl_attention_problems_proxy,5.115384615384615,6.0,0.8846153846153846
adhd,cbcl_aggressive_behavior_proxy,3.8667582417582427,10.357142857142858,6.490384615384615
adhd,sdq_peer_problems,3.427877947295423,4.214285714285714,0.7864077669902912
adhd,sdq_conduct_problems,2.794729542302358,3.5714285714285716,0.7766990291262136
anxiety,scared_sr_total,35.211711711711715,43.5,8.288288288288289
anxiety,scared_p_total,18.685185185185183,33.75,15.064814814814815
anxiety,cbcl_internalizing_proxy,17.5625,21.5,3.9375
anxiety,sdq_total_difficulties,15.486764705882353,21.2,5.713235294117647
anxiety,cbcl_anxious_depressed_proxy,10.316666666666666,11.9,1.5833333333333333
anxiety,scared_sr_panic_somatic,8.72072072072072,13.0,4.2792792792792795
anxiety,scared_sr_generalized_anxiety,8.22072072072072,9.5,1.2792792792792793
anxiety,scared_sr_separation_anxiety,8.007882882882884,9.125,1.117117117117117
anxiety,cbcl_externalizing_proxy,7.761111111111109,22.9,15.13888888888889
anxiety,scared_sr_social_anxiety,6.90990990990991,8.0,1.09009009009009
conduct,icut_total,30.22108208955224,51.9375,21.71641791044776
conduct,cbcl_externalizing_proxy,22.303308823529413,36.40625,14.102941176470589
conduct,sdq_total_difficulties,15.84871794871795,26.1,10.251282051282052
conduct,cbcl_rule_breaking_proxy,13.968137254901961,20.125,6.1568627450980395
conduct,cbcl_attention_problems_proxy,8.724264705882353,13.8125,5.088235294117647
conduct,cbcl_aggressive_behavior_proxy,8.335171568627452,16.28125,7.946078431372549
conduct,ari_p_symptom_total,7.344776119402985,9.633333333333333,2.288557213930348
conduct,ari_sr_symptom_total,6.88296568627451,9.09375,2.2107843137254903
conduct,cbcl_internalizing_proxy,6.308210784313726,19.15625,12.848039215686274
conduct,sdq_conduct_problems,4.835897435897436,7.066666666666666,2.230769230769231
depression,mfq_p_total,35.191014492753624,50.72,15.528985507246377
depression,cbcl_internalizing_proxy,25.60221937686726,34.15151515151515,8.549295774647888
depression,sdq_total_difficulties,17.85109310502981,27.903225806451612,10.052132701421801
depression,cbcl_anxious_depressed_proxy,14.191207853179684,18.515151515151516,4.323943661971831
depression,cbcl_attention_problems_proxy,5.162185232607767,10.969696969696969,5.807511737089202
depression,sdq_peer_problems,4.942516434795902,7.354838709677419,2.4123222748815167
depression,sdq_hyperactivity_inattention,4.891301024308209,7.32258064516129,2.4312796208530805
depression,sdq_conduct_problems,4.8893135606176426,7.225806451612903,2.3364928909952605
depression,cbcl_externalizing_proxy,4.679897567221513,22.78787878787879,18.107981220657276
depression,cbcl_rule_breaking_proxy,3.5271020059752463,12.151515151515152,8.624413145539906
elimination,sdq_total_difficulties,16.914901960784313,24.388235294117646,7.473333333333334
elimination,cbcl_externalizing_proxy,16.313381045326395,30.011494252873565,13.69811320754717
elimination,cbcl_internalizing_proxy,14.80503144654088,22.333333333333332,7.528301886792453
elimination,cbcl_attention_problems_proxy,10.407503795272175,13.413793103448276,3.006289308176101
elimination,cbcl_rule_breaking_proxy,10.06159184558664,16.080459770114942,6.018867924528302
elimination,cbcl_anxious_depressed_proxy,8.256343526350033,11.816091954022989,3.559748427672956
elimination,cbcl_aggressive_behavior_proxy,6.251789199739753,13.931034482758621,7.679245283018868
elimination,sdq_hyperactivity_inattention,4.819607843137255,6.552941176470588,1.7333333333333334
elimination,sdq_conduct_problems,4.7564705882352944,6.376470588235295,1.62
elimination,sdq_emotional_symptoms,2.978039215686274,5.364705882352941,2.3866666666666667
