disorder,variant,model_id_strict,balanced_accuracy_strict,recall_strict,specificity_strict,f1_strict,roc_auc_strict,model_id_research,balanced_accuracy_research,recall_research,specificity_research,f1_research,roc_auc_research,delta_balanced_accuracy_research_minus_strict,delta_recall_research_minus_strict,delta_specificity_research_minus_strict
adhd,clinical,dataset_adhd_clinical__strict_no_leakage,0.8373511904761904,0.79375,0.8809523809523809,0.8410596026490066,0.9226686507936508,dataset_adhd_clinical__research_extended,0.8800099206349206,0.91875,0.8412698412698413,0.8990825688073395,0.95828373015873,0.04265873015873012,0.125,-0.03968253968253965
adhd,items,dataset_adhd_items__strict_no_leakage,0.8273809523809523,0.75,0.9047619047619048,0.821917808219178,0.9231150793650794,dataset_adhd_items__research_extended,0.8487599206349206,0.85625,0.8412698412698413,0.8643533123028391,0.9354166666666668,0.021378968253968234,0.10624999999999996,-0.06349206349206349
adhd,minimal,dataset_adhd_minimal__strict_no_leakage,0.8371031746031745,0.825,0.8492063492063492,0.8488745980707395,0.9221726190476192,dataset_adhd_minimal__research_extended,0.8992559523809525,0.89375,0.9047619047619048,0.907936507936508,0.9628968253968254,0.062152777777777946,0.06875000000000009,0.05555555555555558
anxiety,combined,dataset_anxiety_combined__strict_no_leakage,0.8415674603174603,0.9206349206349206,0.7625,0.8285714285714286,0.9421130952380952,dataset_anxiety_combined__research_extended,0.8986607142857144,0.9285714285714286,0.86875,0.8863636363636364,0.963095238095238,0.05709325396825404,0.00793650793650802,0.10625000000000007
anxiety,items,dataset_anxiety_items__strict_no_leakage,0.8497023809523809,0.7619047619047619,0.9375,0.8275862068965517,0.9434523809523808,dataset_anxiety_items__research_extended,0.8682539682539683,0.9365079365079364,0.8,0.855072463768116,0.9518849206349206,0.018551587301587347,0.17460317460317454,-0.13749999999999996
anxiety,parent,dataset_anxiety_parent__strict_no_leakage,0.8380456349206349,0.7698412698412699,0.90625,0.8151260504201681,0.9434027777777778,dataset_anxiety_parent__research_extended,0.9136904761904762,0.9523809523809524,0.875,0.9022556390977444,0.9674603174603176,0.07564484126984128,0.18253968253968256,-0.03125
conduct,clinical,dataset_conduct_clinical__strict_no_leakage,0.8559718969555035,0.7857142857142857,0.9262295081967212,0.7096774193548387,0.9539422326307572,dataset_conduct_clinical__research_extended,0.9249609679937548,0.9523809523809524,0.8975409836065574,0.7476635514018691,0.9667252146760345,0.06898907103825136,0.16666666666666674,-0.0286885245901638
conduct,items,dataset_conduct_items__strict_no_leakage,0.8461163153786104,0.7619047619047619,0.930327868852459,0.7032967032967034,0.9523809523809524,dataset_conduct_items__research_extended,0.9102263856362216,0.9761904761904762,0.8442622950819673,0.6776859504132231,0.957552693208431,0.06411007025761117,0.2142857142857143,-0.08606557377049173
conduct,minimal,dataset_conduct_minimal__strict_no_leakage,0.8868071818891491,0.9047619047619048,0.8688524590163934,0.6785714285714286,0.952088212334114,dataset_conduct_minimal__research_extended,0.9035909445745512,0.8809523809523809,0.9262295081967212,0.7628865979381443,0.9707259953161592,0.01678376268540216,-0.023809523809523836,0.05737704918032782
depression,combined,dataset_depression_combined__strict_no_leakage,0.87578125,0.9,0.8515625,0.5684210526315789,0.930078125,dataset_depression_combined__research_extended,0.8807291666666667,0.9333333333333332,0.828125,0.5490196078431373,0.9622395833333334,0.0049479166666667185,0.033333333333333215,-0.0234375
depression,items,dataset_depression_items__strict_no_leakage,0.8541666666666667,0.8333333333333334,0.875,0.5747126436781609,0.9334635416666668,dataset_depression_items__research_extended,0.862109375,0.9,0.82421875,0.5294117647058824,0.9453125,0.007942708333333215,0.06666666666666665,-0.05078125
depression,parent,dataset_depression_parent__strict_no_leakage,0.8796875,0.9,0.859375,0.5806451612903226,0.9255208333333332,dataset_depression_parent__research_extended,0.878515625,0.8,0.95703125,0.7384615384615385,0.9651041666666668,-0.0011718749999999334,-0.09999999999999998,0.09765625
elimination,core,dataset_elimination_core__strict_no_leakage,0.699813258636788,0.7647058823529411,0.6349206349206349,0.3421052631578947,0.717436974789916,dataset_elimination_core__research_extended,0.8415032679738561,0.7941176470588235,0.8888888888888888,0.6067415730337079,0.8850373482726424,0.1416900093370681,0.02941176470588236,0.25396825396825395
elimination,items,dataset_elimination_items__strict_no_leakage,0.6509103641456583,0.6470588235294118,0.6547619047619048,0.3076923076923077,0.6721521942110178,dataset_elimination_items__research_extended,0.6742530345471522,0.5588235294117647,0.7896825396825397,0.3584905660377358,0.7820961718020542,0.02334267040149396,-0.08823529411764708,0.13492063492063489
multilabel,master,master_multilabel_ready__strict_no_leakage,,,,0.7582417582417582,,master_multilabel_ready__research_extended,,,,0.8,,,,
