variable_name,required_yes_no,default_present_yes_no,can_be_empty_yes_no,used_in,should_be_secret_managed,present_in_env_example,recommendation
ADMIN_AUDIT_RATE_LIMIT,no,yes,yes,runtime,no,no,optional
ADMIN_IMPERSONATION_TTL_SECONDS,no,yes,yes,runtime,no,no,optional
ADMIN_LIST_RATE_LIMIT,no,yes,yes,runtime,no,no,optional
ADMIN_MUTATION_RATE_LIMIT,no,yes,yes,runtime,no,no,optional
ADMIN_SECURITY_RATE_LIMIT,no,yes,yes,runtime,no,no,optional
DB_HOST,no,yes,no,runtime,yes,yes,set_in_render
DB_NAME,no,yes,no,runtime,yes,yes,set_in_render
DB_PASSWORD,no,yes,no,runtime,yes,yes,set_in_render
DB_PORT,no,yes,no,runtime,yes,yes,set_in_render
DB_SSL_MODE,no,yes,no,runtime,yes,yes,set_in_render
DB_USER,no,yes,no,runtime,yes,yes,set_in_render
EMAIL_ASSET_BASE_URL,no,yes,yes,runtime,no,yes,optional
EMAIL_ENABLED,no,yes,yes,runtime,no,yes,optional
EMAIL_FROM,no,yes,yes,runtime,no,yes,optional
EMAIL_LIST_UNSUBSCRIBE,yes,no,yes,runtime,no,yes,optional
EMAIL_REPLY_TO,yes,no,yes,runtime,no,yes,optional
EMAIL_SANDBOX,no,yes,yes,runtime,no,yes,optional
EMAIL_SEND_ASYNC,no,yes,yes,runtime,no,yes,optional
EMAIL_UNSUBSCRIBE_RATE_LIMIT,no,yes,yes,runtime,no,yes,optional
EMAIL_UNSUBSCRIBE_SECRET,yes,no,no,runtime,yes,yes,set_in_render
EMAIL_UNSUBSCRIBE_TOKEN_TTL_DAYS,yes,no,no,runtime,yes,yes,set_in_render
EMAIL_UNSUBSCRIBE_URL,yes,no,yes,runtime,no,yes,optional
EVALUATION_ALLOWED_STATUSES,no,yes,yes,runtime,no,no,optional
EVALUATION_MAX_AGE,no,yes,yes,runtime,no,no,optional
EVALUATION_MIN_AGE,no,yes,yes,runtime,no,no,optional
FRONTEND_URL,no,yes,yes,runtime,no,no,optional
JWT_COOKIE_DOMAIN,yes,no,yes,runtime,no,yes,optional
JWT_COOKIE_SAMESITE,yes,no,yes,runtime,no,yes,optional
LOGIN_LOCKOUT_MINUTES,no,yes,yes,runtime,no,no,optional
LOGIN_MFA_RATE_LIMIT,no,yes,yes,runtime,no,no,optional
LOGIN_RATE_LIMIT,no,yes,yes,runtime,no,no,optional
LOG_EXCLUDE_PATHS,no,yes,yes,runtime,no,no,optional
LOG_LEVEL,no,yes,yes,runtime,no,no,optional
LOG_REQUESTS,no,yes,yes,runtime,no,no,optional
MAX_LOGIN_ATTEMPTS,no,yes,yes,runtime,no,no,optional
METRICS_ENABLED,no,yes,yes,runtime,no,yes,optional
METRICS_TOKEN,yes,no,no,runtime,yes,yes,set_in_render
METRICS_TOKEN_REQUIRED,no,yes,no,runtime,yes,yes,set_in_render
MFA_CHALLENGE_TTL,no,yes,yes,runtime,no,no,optional
MFA_CONFIRM_RATE_LIMIT,no,yes,yes,runtime,no,no,optional
MFA_DISABLE_RATE_LIMIT,no,yes,yes,runtime,no,no,optional
MFA_ENROLL_TOKEN_TTL,no,yes,no,runtime,yes,no,set_in_render
MFA_SETUP_RATE_LIMIT,no,yes,yes,runtime,no,no,optional
MODEL_PATH,no,yes,yes,runtime,no,no,optional
PASSWORD_CHANGE_RATE_LIMIT,no,yes,no,runtime,yes,yes,set_in_render
PASSWORD_FORGOT_RATE_LIMIT,no,yes,no,runtime,yes,yes,set_in_render
PASSWORD_FORGOT_RATE_LIMIT_IP,no,yes,no,runtime,yes,yes,set_in_render
PASSWORD_INPUT_MAX,no,yes,no,runtime,yes,yes,set_in_render
PASSWORD_MIN_LENGTH,no,yes,no,runtime,yes,yes,set_in_render
PASSWORD_RESET_PATH,no,yes,no,runtime,yes,yes,set_in_render
PASSWORD_RESET_RATE_LIMIT,no,yes,no,runtime,yes,yes,set_in_render
PASSWORD_RESET_TOKEN_TTL_MINUTES,no,yes,no,runtime,yes,yes,set_in_render
PASSWORD_VERIFY_RATE_LIMIT,no,yes,no,runtime,yes,yes,set_in_render
PROPAGATE_EXCEPTIONS,no,yes,yes,runtime,no,no,optional
PROXY_FIX_X_FOR,no,yes,yes,runtime,no,no,optional
PROXY_FIX_X_HOST,no,yes,yes,runtime,no,no,optional
PROXY_FIX_X_PORT,no,yes,yes,runtime,no,no,optional
PROXY_FIX_X_PREFIX,no,yes,yes,runtime,no,no,optional
PROXY_FIX_X_PROTO,no,yes,yes,runtime,no,no,optional
RATELIMIT_ENABLED,no,yes,yes,runtime,no,no,optional
RECOVERY_CODE_MAX_AGE_DAYS,no,yes,yes,runtime,no,no,optional
REGISTER_RATE_LIMIT,no,yes,yes,runtime,no,no,optional
SECRET_KEY,no,yes,no,runtime,yes,yes,set_in_render
SECURITY_CONTENT_TYPE_OPTIONS,no,yes,yes,runtime,no,no,optional
SECURITY_CSP,yes,no,yes,runtime,no,no,optional
SECURITY_FRAME_OPTIONS,no,yes,yes,runtime,no,no,optional
SECURITY_HSTS_SECONDS,no,yes,yes,runtime,no,no,optional
SECURITY_PERMISSIONS_POLICY,yes,no,yes,runtime,no,no,optional
SECURITY_REFERRER_POLICY,no,yes,yes,runtime,no,no,optional
SMTP_DEBUG,no,yes,no,runtime,yes,yes,set_in_render
SMTP_HOST,yes,no,no,runtime,yes,yes,set_in_render
SMTP_PASSWORD,yes,no,no,runtime,yes,yes,set_in_render
SMTP_TIMEOUT,no,yes,no,runtime,yes,yes,set_in_render
SMTP_USER,yes,no,no,runtime,yes,yes,set_in_render
SMTP_USE_SSL,no,yes,no,runtime,yes,yes,set_in_render
SMTP_USE_TLS,no,yes,no,runtime,yes,yes,set_in_render
SWAGGER_ENABLED,no,yes,yes,runtime,no,no,optional
