model_version,parent_version,disorder,dataset_name,dataset_variant,data_scope,feature_strategy,class_balance_strategy,calibration_strategy,threshold_strategy,threshold_value,recall_floor,balanced_accuracy_tolerance,train_rows,val_rows,test_rows,n_features_raw,n_features_final,val_precision,val_recall,val_specificity,val_balanced_accuracy,val_f1,test_precision,test_recall,test_specificity,test_balanced_accuracy,test_f1,status,promoted,promoted_status,rejection_reason,notes
rf_adhd_v2_precision_sanity,rf_adhd_v1_baseline,adhd,dataset_adhd_clinical,clinical,strict_no_leakage,mi_top_k,balanced_subsample,none,precision_constrained,0.644978,0.7619875776397516,0.03,1333,286,286,35,20,0.95,0.8260869565217391,0.944,0.8850434782608696,0.8837209302325582,0.8962962962962963,0.75625,0.8888888888888888,0.8225694444444445,0.8203389830508474,rejected,no,challenger,validation_precision_or_constraints_not_met,Light sanity challenger for ADHD precision.
rf_anxiety_v2_precision_sanity,rf_anxiety_v1_baseline,anxiety,dataset_anxiety_items,items,strict_no_leakage,mi_top_k,balanced_subsample,none,precision_constrained,0.595479,0.7,0.03,1333,286,286,260,20,0.912621359223301,0.752,0.9440993788819876,0.8480496894409938,0.8245614035087719,0.8962264150943396,0.753968253968254,0.93125,0.8426091269841269,0.8189655172413793,rejected,no,challenger,validation_precision_or_constraints_not_met,Light sanity challenger for Anxiety precision.
rf_conduct_v4_precision_thresholded,rf_conduct_v1_baseline,conduct,dataset_conduct_minimal,minimal,strict_no_leakage,mi_top_k,balanced_subsample,none,precision_constrained,0.692412996873836,0.7547619047619047,0.03,1333,286,286,23,18,0.7954545454545454,0.8333333333333334,0.9631147540983607,0.8982240437158471,0.813953488372093,0.7105263157894737,0.6428571428571429,0.9549180327868853,0.7988875878220141,0.675,rejected,no,challenger,test_confirmation_not_met,Conduct minimal set tuned for precision with constrained threshold.
rf_conduct_v5_precision_calibrated,rf_conduct_v1_baseline,conduct,dataset_conduct_clinical,clinical,strict_no_leakage,externalizing_focus,balanced_subsample,sigmoid,precision_constrained,0.438892,0.7547619047619047,0.03,1333,286,286,37,26,0.7857142857142857,0.7857142857142857,0.9631147540983607,0.8744145199063231,0.7857142857142857,0.7,0.6666666666666666,0.9508196721311475,0.8087431693989071,0.6829268292682927,completed,no,challenger,,Clinical conduct challenger with externalizing focus and calibration.
rf_conduct_v6_precision_externalizing_pruned,rf_conduct_v1_baseline,conduct,dataset_conduct_clinical,clinical,strict_no_leakage,externalizing_focus,balanced,none,precision_constrained,0.644129,0.7547619047619047,0.03,1333,286,286,37,18,0.7857142857142857,0.7857142857142857,0.9631147540983607,0.8744145199063231,0.7857142857142857,0.7209302325581395,0.7380952380952381,0.9508196721311475,0.8444574551131928,0.7294117647058823,completed,no,challenger,,Externalizing-focused pruned conduct challenger for PPV improvement.
rf_depression_v4_precision_thresholded,rf_depression_v1_baseline,depression,dataset_depression_parent,parent,strict_no_leakage,mi_top_k,balanced_subsample,none,precision_constrained,0.346398,0.78,0.03,1333,286,286,21,18,0.5098039215686274,0.8666666666666667,0.90234375,0.8845052083333333,0.6419753086419753,0.45,0.9,0.87109375,0.885546875,0.6,promoted,yes,champion,,Precision-focused threshold optimization on depression parent set.
rf_depression_v6_precision_pruned,rf_depression_v1_baseline,depression,dataset_depression_combined,combined,strict_no_leakage,mi_top_k,balanced,sigmoid,precision_constrained,0.130322,0.78,0.03,1333,286,286,25,16,0.49019607843137253,0.8333333333333334,0.8984375,0.8658854166666667,0.6172839506172839,0.48148148148148145,0.8666666666666667,0.890625,0.8786458333333333,0.6190476190476191,rejected,no,challenger,validation_precision_or_constraints_not_met,Aggressive pruning on combined depression features for PPV uplift.
rf_depression_v5_precision_calibrated,rf_depression_v1_baseline,depression,dataset_depression_parent,parent,strict_no_leakage,mi_top_k,balanced_subsample,sigmoid,precision_constrained,0.140277,0.78,0.03,1333,286,286,21,20,0.4716981132075472,0.8333333333333334,0.890625,0.8619791666666667,0.6024096385542169,0.46551724137931033,0.9,0.87890625,0.889453125,0.6136363636363636,completed,no,challenger,,Depression precision challenger with calibration + constrained threshold.
rf_elimination_v7_precision_experimental_research,rf_elimination_v1_baseline,elimination,dataset_elimination_core,core,research_extended,missingness_augmented,balanced_subsample,sigmoid,precision_constrained,0.213723,0.5,0.05,1333,286,286,18,23,0.43137254901960786,0.6470588235294118,0.8849206349206349,0.7659897292250233,0.5176470588235295,0.5526315789473685,0.6176470588235294,0.9325396825396826,0.775093370681606,0.5833333333333334,rejected,no,challenger,non_promotable_scope,Research scope precision challenger (non-promotable by policy). | experimental_only
rf_elimination_v5_precision_missingness,rf_elimination_v1_baseline,elimination,dataset_elimination_core,core,strict_no_leakage,missingness_augmented,balanced_subsample,sigmoid,precision_constrained,0.124502,0.5,0.05,1333,286,286,17,22,0.19791666666666666,0.5588235294117647,0.6944444444444444,0.6266339869281046,0.2923076923076923,0.20224719101123595,0.5294117647058824,0.7182539682539683,0.6238328664799253,0.2926829268292683,completed,no,challenger,,Elimination core with missingness flags and precision-constrained threshold.
rf_elimination_v6_precision_proxy_pruned,rf_elimination_v1_baseline,elimination,dataset_elimination_items,items,strict_no_leakage,proxy_pruned,balanced,sigmoid,precision_constrained,0.1054194295853809,0.5,0.05,1333,286,286,162,36,0.16666666666666666,0.6470588235294118,0.5634920634920635,0.6052754435107377,0.26506024096385544,0.16783216783216784,0.7058823529411765,0.5277777777777778,0.6168300653594772,0.2711864406779661,completed,no,challenger,,Elimination proxy-pruned precision challenger.
