feature,importance
num__swan_inattention_total,0.19099741879405138
num__swan_total,0.18623947922368386
num__cbcl_attention_problems_proxy,0.14999302427258998
num__swan_hyperactive_impulsive_total,0.12387792127512563
num__cbcl_externalizing_proxy,0.07997073546388932
num__cbcl_rule_breaking_proxy,0.061116656221531285
num__cbcl_aggressive_behavior_proxy,0.04774112142502671
num__sdq_hyperactivity_inattention,0.027735401222954852
num__sdq_total_difficulties,0.027161893045843138
num__sdq_conduct_problems,0.024682485263257357
num__sdq_peer_problems,0.01636398584891951
num__age_years,0.015829256021316438
num__sdq_prosocial_behavior,0.012217915459284454
num__cbcl_anxious_depressed_proxy,0.009505176824143096
num__cbcl_internalizing_proxy,0.009306433339166817
num__sdq_impact,0.00922291423596423
num__sdq_emotional_symptoms,0.007844276590563788
num__conners_cognitive_problems,0.00013047566041126814
num__ysr_internalizing_proxy,6.342981227687183e-05
num__conners_hyperactivity,1.444221507124911e-17
