feature,importance_mean,importance_std
num__swan_total,0.009222360248447225,0.010135177094890936
num__swan_inattention_total,0.00415900621118015,0.008991984994635214
num__cbcl_attention_problems_proxy,0.0007155279503105793,0.00432915672298645
num__conners_hyperactivity,0.0,0.0
num__ysr_internalizing_proxy,0.0,0.0
num__conners_cognitive_problems,0.0,0.0
num__sdq_prosocial_behavior,-0.00026335403726711614,0.0019001647647640869
num__cbcl_aggressive_behavior_proxy,-0.001421118012422351,0.0016242747875026878
num__sdq_hyperactivity_inattention,-0.0037366459627329097,0.0038554203453215084
num__sdq_peer_problems,-0.0038211180124223753,0.0019964646041124986
num__swan_hyperactive_impulsive_total,-0.004273291925465839,0.0057717018248000474
num__age_years,-0.004978881987577633,0.002501931201162389
num__sdq_emotional_symptoms,-0.005242236024844749,0.002952071393468173
num__cbcl_internalizing_proxy,-0.005600000000000005,0.0016519478666641412
num__sdq_conduct_problems,-0.005957763975155262,0.0013326963744820957
num__sdq_impact,-0.006042236024844727,0.002597118350390779
num__sdq_total_difficulties,-0.007021118012422378,0.0027149084664448036
num__cbcl_anxious_depressed_proxy,-0.007200000000000007,0.004383819778863544
num__cbcl_rule_breaking_proxy,-0.009147826086956523,0.004317249001551663
num__cbcl_externalizing_proxy,-0.0137689440993789,0.003151047193301466
