threshold,accuracy,balanced_accuracy,precision,recall,sensitivity,specificity,f1,support_negative,support_positive,confusion_matrix,normalized_confusion_matrix,roc_auc,pr_auc,brier_score,method,fpr,fnr,meets_recall_floor,meets_bal_acc_floor,meets_constraints
0.0,0.5629370629370629,0.5,0.5629370629370629,1.0,1.0,0.0,0.7203579418344519,125,161,"[[0, 125], [0, 161]]","[[0.0, 1.0], [0.0, 1.0]]",0.9590062111801243,0.966138458131258,0.08000388948667661,grid_precision,1.0,0.0,True,False,False
0.000171,0.6538461538461539,0.604,0.6192307692307693,1.0,1.0,0.208,0.7648456057007126,125,161,"[[26, 99], [0, 161]]","[[0.208, 0.792], [0.0, 1.0]]",0.9590062111801243,0.966138458131258,0.08000388948667661,grid_precision,0.792,0.0,True,False,False
0.000754,0.6538461538461539,0.604,0.6192307692307693,1.0,1.0,0.208,0.7648456057007126,125,161,"[[26, 99], [0, 161]]","[[0.208, 0.792], [0.0, 1.0]]",0.9590062111801243,0.966138458131258,0.08000388948667661,grid_precision,0.792,0.0,True,False,False
0.001052,0.6608391608391608,0.612,0.624031007751938,1.0,1.0,0.224,0.7684964200477327,125,161,"[[28, 97], [0, 161]]","[[0.224, 0.776], [0.0, 1.0]]",0.9590062111801243,0.966138458131258,0.08000388948667661,grid_precision,0.776,0.0,True,False,False
0.001563,0.6643356643356644,0.616,0.6264591439688716,1.0,1.0,0.232,0.7703349282296651,125,161,"[[29, 96], [0, 161]]","[[0.232, 0.768], [0.0, 1.0]]",0.9590062111801243,0.966138458131258,0.08000388948667661,grid_precision,0.768,0.0,True,False,False
0.001774,0.6643356643356644,0.616,0.6264591439688716,1.0,1.0,0.232,0.7703349282296651,125,161,"[[29, 96], [0, 161]]","[[0.232, 0.768], [0.0, 1.0]]",0.9590062111801243,0.966138458131258,0.08000388948667661,grid_precision,0.768,0.0,True,False,False
0.003081,0.6678321678321678,0.62,0.62890625,1.0,1.0,0.24,0.7721822541966427,125,161,"[[30, 95], [0, 161]]","[[0.24, 0.76], [0.0, 1.0]]",0.9590062111801243,0.966138458131258,0.08000388948667661,grid_precision,0.76,0.0,True,False,False
0.003156,0.6713286713286714,0.624,0.6313725490196078,1.0,1.0,0.248,0.7740384615384616,125,161,"[[31, 94], [0, 161]]","[[0.248, 0.752], [0.0, 1.0]]",0.9590062111801243,0.966138458131258,0.08000388948667661,grid_precision,0.752,0.0,True,False,False
0.005587,0.6748251748251748,0.628,0.6338582677165354,1.0,1.0,0.256,0.7759036144578313,125,161,"[[32, 93], [0, 161]]","[[0.256, 0.744], [0.0, 1.0]]",0.9590062111801243,0.966138458131258,0.08000388948667661,grid_precision,0.744,0.0,True,False,False
0.005622,0.6783216783216783,0.632,0.6363636363636364,1.0,1.0,0.264,0.7777777777777778,125,161,"[[33, 92], [0, 161]]","[[0.264, 0.736], [0.0, 1.0]]",0.9590062111801243,0.966138458131258,0.08000388948667661,grid_precision,0.736,0.0,True,False,False
0.005795,0.6818181818181818,0.636,0.6388888888888888,1.0,1.0,0.272,0.7796610169491526,125,161,"[[34, 91], [0, 161]]","[[0.272, 0.728], [0.0, 1.0]]",0.9590062111801243,0.966138458131258,0.08000388948667661,grid_precision,0.728,0.0,True,False,False
0.006145,0.6888111888111889,0.644,0.644,1.0,1.0,0.288,0.7834549878345499,125,161,"[[36, 89], [0, 161]]","[[0.288, 0.712], [0.0, 1.0]]",0.9590062111801243,0.966138458131258,0.08000388948667661,grid_precision,0.712,0.0,True,False,False
0.006647,0.6888111888111889,0.644,0.644,1.0,1.0,0.288,0.7834549878345499,125,161,"[[36, 89], [0, 161]]","[[0.288, 0.712], [0.0, 1.0]]",0.9590062111801243,0.966138458131258,0.08000388948667661,grid_precision,0.712,0.0,True,False,False
0.007373,0.6923076923076923,0.648,0.6465863453815262,1.0,1.0,0.296,0.7853658536585366,125,161,"[[37, 88], [0, 161]]","[[0.296, 0.704], [0.0, 1.0]]",0.9590062111801243,0.966138458131258,0.08000388948667661,grid_precision,0.704,0.0,True,False,False
0.007812,0.6958041958041958,0.652,0.6491935483870968,1.0,1.0,0.304,0.7872860635696821,125,161,"[[38, 87], [0, 161]]","[[0.304, 0.696], [0.0, 1.0]]",0.9590062111801243,0.966138458131258,0.08000388948667661,grid_precision,0.696,0.0,True,False,False
0.008166,0.7027972027972028,0.66,0.6544715447154471,1.0,1.0,0.32,0.7911547911547911,125,161,"[[40, 85], [0, 161]]","[[0.32, 0.68], [0.0, 1.0]]",0.9590062111801243,0.966138458131258,0.08000388948667661,grid_precision,0.6799999999999999,0.0,True,False,False
0.008636,0.7062937062937062,0.664,0.6571428571428571,1.0,1.0,0.328,0.7931034482758621,125,161,"[[41, 84], [0, 161]]","[[0.328, 0.672], [0.0, 1.0]]",0.9590062111801243,0.966138458131258,0.08000388948667661,grid_precision,0.6719999999999999,0.0,True,False,False
0.010314,0.7062937062937062,0.664,0.6571428571428571,1.0,1.0,0.328,0.7931034482758621,125,161,"[[41, 84], [0, 161]]","[[0.328, 0.672], [0.0, 1.0]]",0.9590062111801243,0.966138458131258,0.08000388948667661,grid_precision,0.6719999999999999,0.0,True,False,False
