feature,importance
num__cbcl_internalizing_proxy,0.18025742315989363
num__cbcl_anxious_depressed_proxy,0.17661692188762665
num__cbcl_010,0.10069239309304973
num__cbcl_024,0.09109298508846181
num__cbcl_005,0.04507326114889039
num__cbcl_022,0.04406558027113955
num__cbcl_002,0.04361234010973927
num__cbcl_012,0.04317146877750594
num__scared_p_total,0.036758905795769715
num__scared_sr_social_anxiety,0.025076975803704948
num__scared_sr_separation_anxiety,0.024736652591240096
num__scared_sr_total,0.024494318058303897
num__cbcl_009,0.02336136740892996
num__cbcl_020,0.02287985485964535
num__cbcl_027,0.021115966791727798
num__cbcl_011,0.02066033193198827
num__cbcl_014,0.02039304873242529
num__scared_sr_generalized_anxiety,0.01954827454588618
num__scared_p_separation_anxiety,0.01930292343714503
num__scared_sr_panic_somatic,0.017089006506926373
