threshold,accuracy,balanced_accuracy,precision,recall,sensitivity,specificity,f1,support_negative,support_positive,confusion_matrix,normalized_confusion_matrix,roc_auc,pr_auc,brier_score,method,fpr,fnr,meets_recall_floor,meets_bal_acc_floor,meets_constraints
0.0,0.14685314685314685,0.5,0.14685314685314685,1.0,1.0,0.0,0.25609756097560976,244,42,"[[0, 244], [0, 42]]","[[0.0, 1.0], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,1.0,0.0,True,False,False
0.002275,0.541958041958042,0.7315573770491803,0.24277456647398843,1.0,1.0,0.46311475409836067,0.39069767441860465,244,42,"[[113, 131], [0, 42]]","[[0.46311475409836067, 0.5368852459016393], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.5368852459016393,0.0,True,False,False
0.002553,0.548951048951049,0.735655737704918,0.24561403508771928,1.0,1.0,0.4713114754098361,0.39436619718309857,244,42,"[[115, 129], [0, 42]]","[[0.4713114754098361, 0.5286885245901639], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.5286885245901639,0.0,True,False,False
0.003389,0.548951048951049,0.735655737704918,0.24561403508771928,1.0,1.0,0.4713114754098361,0.39436619718309857,244,42,"[[115, 129], [0, 42]]","[[0.4713114754098361, 0.5286885245901639], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.5286885245901639,0.0,True,False,False
0.004196,0.5629370629370629,0.7438524590163934,0.25149700598802394,1.0,1.0,0.48770491803278687,0.4019138755980861,244,42,"[[119, 125], [0, 42]]","[[0.48770491803278687, 0.5122950819672131], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.5122950819672132,0.0,True,False,False
0.005558,0.5629370629370629,0.7438524590163934,0.25149700598802394,1.0,1.0,0.48770491803278687,0.4019138755980861,244,42,"[[119, 125], [0, 42]]","[[0.48770491803278687, 0.5122950819672131], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.5122950819672132,0.0,True,False,False
0.005613,0.5699300699300699,0.7479508196721312,0.2545454545454545,1.0,1.0,0.4959016393442623,0.4057971014492754,244,42,"[[121, 123], [0, 42]]","[[0.4959016393442623, 0.5040983606557377], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.5040983606557377,0.0,True,False,False
0.005755,0.5734265734265734,0.75,0.25609756097560976,1.0,1.0,0.5,0.4077669902912621,244,42,"[[122, 122], [0, 42]]","[[0.5, 0.5], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.5,0.0,True,False,False
0.006104,0.5734265734265734,0.75,0.25609756097560976,1.0,1.0,0.5,0.4077669902912621,244,42,"[[122, 122], [0, 42]]","[[0.5, 0.5], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.5,0.0,True,False,False
0.00616,0.5804195804195804,0.7540983606557377,0.25925925925925924,1.0,1.0,0.5081967213114754,0.4117647058823529,244,42,"[[124, 120], [0, 42]]","[[0.5081967213114754, 0.4918032786885246], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.4918032786885246,0.0,True,False,False
0.006647,0.583916083916084,0.7561475409836065,0.2608695652173913,1.0,1.0,0.5122950819672131,0.41379310344827586,244,42,"[[125, 119], [0, 42]]","[[0.5122950819672131, 0.48770491803278687], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.4877049180327869,0.0,True,False,False
0.006846,0.5874125874125874,0.7581967213114754,0.2625,1.0,1.0,0.5163934426229508,0.4158415841584158,244,42,"[[126, 118], [0, 42]]","[[0.5163934426229508, 0.48360655737704916], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.48360655737704916,0.0,True,False,False
0.007432,0.5909090909090909,0.7602459016393442,0.2641509433962264,1.0,1.0,0.5204918032786885,0.417910447761194,244,42,"[[127, 117], [0, 42]]","[[0.5204918032786885, 0.47950819672131145], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.4795081967213115,0.0,True,False,False
0.008421,0.5944055944055944,0.7622950819672132,0.26582278481012656,1.0,1.0,0.5245901639344263,0.42,244,42,"[[128, 116], [0, 42]]","[[0.5245901639344263, 0.47540983606557374], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.47540983606557374,0.0,True,False,False
0.008846,0.5944055944055944,0.7622950819672132,0.26582278481012656,1.0,1.0,0.5245901639344263,0.42,244,42,"[[128, 116], [0, 42]]","[[0.5245901639344263, 0.47540983606557374], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.47540983606557374,0.0,True,False,False
0.009616,0.5979020979020979,0.764344262295082,0.267515923566879,1.0,1.0,0.5286885245901639,0.4221105527638191,244,42,"[[129, 115], [0, 42]]","[[0.5286885245901639, 0.4713114754098361], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.4713114754098361,0.0,True,False,False
0.011317,0.6048951048951049,0.7684426229508197,0.2709677419354839,1.0,1.0,0.5368852459016393,0.4263959390862944,244,42,"[[131, 113], [0, 42]]","[[0.5368852459016393, 0.46311475409836067], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.46311475409836067,0.0,True,False,False
0.011629,0.6048951048951049,0.7684426229508197,0.2709677419354839,1.0,1.0,0.5368852459016393,0.4263959390862944,244,42,"[[131, 113], [0, 42]]","[[0.5368852459016393, 0.46311475409836067], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.46311475409836067,0.0,True,False,False
0.011683,0.6083916083916084,0.7704918032786885,0.2727272727272727,1.0,1.0,0.5409836065573771,0.42857142857142855,244,42,"[[132, 112], [0, 42]]","[[0.5409836065573771, 0.45901639344262296], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.4590163934426229,0.0,True,False,False
0.013229,0.6153846153846154,0.7745901639344263,0.27631578947368424,1.0,1.0,0.5491803278688525,0.4329896907216495,244,42,"[[134, 110], [0, 42]]","[[0.5491803278688525, 0.45081967213114754], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.4508196721311475,0.0,True,False,False
0.013784,0.6188811188811189,0.7766393442622951,0.2781456953642384,1.0,1.0,0.5532786885245902,0.43523316062176165,244,42,"[[135, 109], [0, 42]]","[[0.5532786885245902, 0.44672131147540983], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.44672131147540983,0.0,True,False,False
0.015686,0.6223776223776224,0.7786885245901639,0.28,1.0,1.0,0.5573770491803278,0.4375,244,42,"[[136, 108], [0, 42]]","[[0.5573770491803278, 0.4426229508196721], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.4426229508196722,0.0,True,False,False
0.015939,0.6258741258741258,0.7807377049180328,0.28187919463087246,1.0,1.0,0.5614754098360656,0.4397905759162304,244,42,"[[137, 107], [0, 42]]","[[0.5614754098360656, 0.4385245901639344], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.4385245901639344,0.0,True,False,False
0.017267,0.6258741258741258,0.7807377049180328,0.28187919463087246,1.0,1.0,0.5614754098360656,0.4397905759162304,244,42,"[[137, 107], [0, 42]]","[[0.5614754098360656, 0.4385245901639344], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.4385245901639344,0.0,True,False,False
0.020153,0.6293706293706294,0.7827868852459017,0.28378378378378377,1.0,1.0,0.5655737704918032,0.4421052631578947,244,42,"[[138, 106], [0, 42]]","[[0.5655737704918032, 0.4344262295081967], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.43442622950819676,0.0,True,False,False
0.022677,0.6363636363636364,0.7868852459016393,0.2876712328767123,1.0,1.0,0.5737704918032787,0.44680851063829785,244,42,"[[140, 104], [0, 42]]","[[0.5737704918032787, 0.4262295081967213], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.42622950819672134,0.0,True,False,False
0.023008,0.6363636363636364,0.7868852459016393,0.2876712328767123,1.0,1.0,0.5737704918032787,0.44680851063829785,244,42,"[[140, 104], [0, 42]]","[[0.5737704918032787, 0.4262295081967213], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.42622950819672134,0.0,True,False,False
0.02812,0.6398601398601399,0.7889344262295082,0.2896551724137931,1.0,1.0,0.5778688524590164,0.44919786096256686,244,42,"[[141, 103], [0, 42]]","[[0.5778688524590164, 0.42213114754098363], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.4221311475409836,0.0,True,False,False
0.028774,0.6468531468531469,0.7930327868852459,0.2937062937062937,1.0,1.0,0.5860655737704918,0.4540540540540541,244,42,"[[143, 101], [0, 42]]","[[0.5860655737704918, 0.4139344262295082], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.41393442622950816,0.0,True,False,False
0.029492,0.6503496503496503,0.7950819672131147,0.29577464788732394,1.0,1.0,0.5901639344262295,0.45652173913043476,244,42,"[[144, 100], [0, 42]]","[[0.5901639344262295, 0.4098360655737705], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.4098360655737705,0.0,True,False,False
0.02953,0.6538461538461539,0.7971311475409837,0.2978723404255319,1.0,1.0,0.5942622950819673,0.45901639344262296,244,42,"[[145, 99], [0, 42]]","[[0.5942622950819673, 0.4057377049180328], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.40573770491803274,0.0,True,False,False
0.029619,0.6538461538461539,0.7971311475409837,0.2978723404255319,1.0,1.0,0.5942622950819673,0.45901639344262296,244,42,"[[145, 99], [0, 42]]","[[0.5942622950819673, 0.4057377049180328], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.40573770491803274,0.0,True,False,False
0.0299,0.6608391608391608,0.8012295081967213,0.302158273381295,1.0,1.0,0.6024590163934426,0.46408839779005523,244,42,"[[147, 97], [0, 42]]","[[0.6024590163934426, 0.3975409836065574], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.39754098360655743,0.0,True,False,False
0.030953,0.6608391608391608,0.8012295081967213,0.302158273381295,1.0,1.0,0.6024590163934426,0.46408839779005523,244,42,"[[147, 97], [0, 42]]","[[0.6024590163934426, 0.3975409836065574], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.39754098360655743,0.0,True,False,False
0.032756,0.6678321678321678,0.805327868852459,0.30656934306569344,1.0,1.0,0.610655737704918,0.4692737430167598,244,42,"[[149, 95], [0, 42]]","[[0.610655737704918, 0.38934426229508196], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.389344262295082,0.0,True,False,False
0.034886,0.6713286713286714,0.8073770491803278,0.3088235294117647,1.0,1.0,0.6147540983606558,0.47191011235955055,244,42,"[[150, 94], [0, 42]]","[[0.6147540983606558, 0.38524590163934425], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.38524590163934425,0.0,True,False,False
0.035659,0.6713286713286714,0.8073770491803278,0.3088235294117647,1.0,1.0,0.6147540983606558,0.47191011235955055,244,42,"[[150, 94], [0, 42]]","[[0.6147540983606558, 0.38524590163934425], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.38524590163934425,0.0,True,False,False
0.038715,0.6783216783216783,0.8114754098360656,0.31343283582089554,1.0,1.0,0.6229508196721312,0.4772727272727273,244,42,"[[152, 92], [0, 42]]","[[0.6229508196721312, 0.3770491803278688], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.3770491803278688,0.0,True,False,False
0.039908,0.6783216783216783,0.8114754098360656,0.31343283582089554,1.0,1.0,0.6229508196721312,0.4772727272727273,244,42,"[[152, 92], [0, 42]]","[[0.6229508196721312, 0.3770491803278688], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.3770491803278688,0.0,True,False,False
0.041161,0.6818181818181818,0.8135245901639344,0.3157894736842105,1.0,1.0,0.6270491803278688,0.48,244,42,"[[153, 91], [0, 42]]","[[0.6270491803278688, 0.3729508196721312], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.3729508196721312,0.0,True,False,False
0.042497,0.6888111888111889,0.8176229508196722,0.32061068702290074,1.0,1.0,0.6352459016393442,0.48554913294797686,244,42,"[[155, 89], [0, 42]]","[[0.6352459016393442, 0.36475409836065575], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.36475409836065575,0.0,True,False,False
0.047905,0.6888111888111889,0.8176229508196722,0.32061068702290074,1.0,1.0,0.6352459016393442,0.48554913294797686,244,42,"[[155, 89], [0, 42]]","[[0.6352459016393442, 0.36475409836065575], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.36475409836065575,0.0,True,False,False
0.048148,0.6958041958041958,0.8217213114754098,0.32558139534883723,1.0,1.0,0.6434426229508197,0.49122807017543857,244,42,"[[157, 87], [0, 42]]","[[0.6434426229508197, 0.35655737704918034], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.35655737704918034,0.0,True,False,False
0.05,0.6958041958041958,0.8217213114754098,0.32558139534883723,1.0,1.0,0.6434426229508197,0.49122807017543857,244,42,"[[157, 87], [0, 42]]","[[0.6434426229508197, 0.35655737704918034], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.35655737704918034,0.0,True,False,False
0.05021,0.6993006993006993,0.8237704918032787,0.328125,1.0,1.0,0.6475409836065574,0.49411764705882355,244,42,"[[158, 86], [0, 42]]","[[0.6475409836065574, 0.3524590163934426], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.35245901639344257,0.0,True,False,False
0.053621,0.7027972027972028,0.8258196721311475,0.33070866141732286,1.0,1.0,0.6516393442622951,0.4970414201183432,244,42,"[[159, 85], [0, 42]]","[[0.6516393442622951, 0.3483606557377049], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.3483606557377049,0.0,True,False,False
0.054943,0.7027972027972028,0.8258196721311475,0.33070866141732286,1.0,1.0,0.6516393442622951,0.4970414201183432,244,42,"[[159, 85], [0, 42]]","[[0.6516393442622951, 0.3483606557377049], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.3483606557377049,0.0,True,False,False
0.055587,0.7097902097902098,0.8299180327868853,0.336,1.0,1.0,0.6598360655737705,0.5029940119760479,244,42,"[[161, 83], [0, 42]]","[[0.6598360655737705, 0.3401639344262295], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.3401639344262295,0.0,True,False,False
0.055842,0.7132867132867133,0.8319672131147541,0.3387096774193548,1.0,1.0,0.6639344262295082,0.5060240963855421,244,42,"[[162, 82], [0, 42]]","[[0.6639344262295082, 0.3360655737704918], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.33606557377049184,0.0,True,False,False
0.055883,0.7167832167832168,0.834016393442623,0.34146341463414637,1.0,1.0,0.6680327868852459,0.509090909090909,244,42,"[[163, 81], [0, 42]]","[[0.6680327868852459, 0.3319672131147541], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.3319672131147541,0.0,True,False,False
0.056047,0.7167832167832168,0.834016393442623,0.34146341463414637,1.0,1.0,0.6680327868852459,0.509090909090909,244,42,"[[163, 81], [0, 42]]","[[0.6680327868852459, 0.3319672131147541], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.3319672131147541,0.0,True,False,False
0.06,0.7202797202797203,0.8360655737704918,0.3442622950819672,1.0,1.0,0.6721311475409836,0.5121951219512195,244,42,"[[164, 80], [0, 42]]","[[0.6721311475409836, 0.32786885245901637], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.3278688524590164,0.0,True,False,False
0.061801,0.7237762237762237,0.8381147540983607,0.34710743801652894,1.0,1.0,0.6762295081967213,0.5153374233128835,244,42,"[[165, 79], [0, 42]]","[[0.6762295081967213, 0.3237704918032787], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.32377049180327866,0.0,True,False,False
0.065057,0.7237762237762237,0.8381147540983607,0.34710743801652894,1.0,1.0,0.6762295081967213,0.5153374233128835,244,42,"[[165, 79], [0, 42]]","[[0.6762295081967213, 0.3237704918032787], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.32377049180327866,0.0,True,False,False
0.065192,0.7272727272727273,0.8401639344262295,0.35,1.0,1.0,0.680327868852459,0.5185185185185185,244,42,"[[166, 78], [0, 42]]","[[0.680327868852459, 0.319672131147541], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.319672131147541,0.0,True,False,False
0.065954,0.7307692307692307,0.8422131147540983,0.35294117647058826,1.0,1.0,0.6844262295081968,0.5217391304347826,244,42,"[[167, 77], [0, 42]]","[[0.6844262295081968, 0.3155737704918033], [0.0, 1.0]]",0.9630171740827479,0.8426878003352442,0.0649927872119496,grid_precision,0.31557377049180324,0.0,True,False,False
