feature,importance
num__cbcl_externalizing_proxy,0.135427486384486
num__cbcl_aggressive_behavior_proxy,0.13098247774830368
num__cbcl_rule_breaking_proxy,0.11122316324532203
num__ari_sr_symptom_total,0.10696707294714698
num__icut_uncaring,0.0867904159067633
num__icut_total,0.07998128656564833
num__ari_p_symptom_total,0.074721287455785
num__icut_callousness,0.05121059906488973
num__cbcl_attention_problems_proxy,0.03406085370314452
num__icut_unemotional,0.03404631997488817
num__sdq_total_difficulties,0.026545217562404157
num__ari_sr_impairment_item,0.023757089240233797
num__sdq_conduct_problems,0.02115162845339713
num__age_years,0.018808215450537888
num__ari_p_impairment_item,0.01812192725728069
num__cbcl_internalizing_proxy,0.016836408959001084
num__cbcl_anxious_depressed_proxy,0.013513287387373391
cat__sex_assigned_at_birth_Female,0.003810280253515073
cat__sex_assigned_at_birth_Male,0.0029190421516068787
cat__site_CBIC,0.0025791964259077546
cat__site_Staten Island,0.002537796407366239
cat__site_RUBIC,0.00200602460158426
cat__site_CUNY,0.001955861883016716
num__ysr_externalizing_proxy,4.706097039726705e-05
num__ysr_rule_breaking_proxy,2.0817300410288573e-17
num__has_ari_p,0.0
num__has_cbcl,0.0
num__has_ari_sr,0.0
num__has_sdq,0.0
cat__sex_assigned_at_birth_Unknown,0.0
num__has_icut,0.0
