feature,importance_mean,importance_std
num__cbcl_aggressive_behavior_proxy,0.016178766588602667,0.007195135088303265
num__ari_sr_symptom_total,0.011338797814207657,0.005216799574166373
num__ari_sr_impairment_item,0.0078064012490242085,0.010726525104324572
num__ari_p_symptom_total,0.00427400468384076,0.006217125973048349
num__cbcl_externalizing_proxy,0.0037080405932865324,0.0034289345349757033
num__has_sdq,0.0012295081967213183,0.0027796434357070655
num__icut_callousness,0.0010733801717408564,0.0072095718561683364
num__age_years,0.000819672131147553,0.002089762095734757
num__cbcl_attention_problems_proxy,0.000819672131147553,0.002089762095734757
num__icut_unemotional,0.0,0.0
cat__sex_assigned_at_birth_Male,0.0,0.0
cat__sex_assigned_at_birth_Female,0.0,0.0
num__ysr_rule_breaking_proxy,0.0,0.0
num__sdq_conduct_problems,0.0,0.0012960154344952212
num__has_cbcl,0.0,0.0
num__ysr_externalizing_proxy,0.0,0.0
num__sdq_total_difficulties,0.0,0.0
num__has_ari_p,0.0,0.0
num__has_ari_sr,0.0,0.0
num__has_icut,-0.0012295081967212962,0.0016393442622950616
num__ari_p_impairment_item,-0.0012295081967212962,0.0016393442622950618
num__icut_uncaring,-0.0024590163934425924,0.0008196721311475309
num__icut_total,-0.0024590163934425924,0.0015334661421204487
num__cbcl_internalizing_proxy,-0.0032006245120999033,0.008370841223918672
num__cbcl_rule_breaking_proxy,-0.006557377049180246,0.0008196721311475309
num__cbcl_anxious_depressed_proxy,-0.011982825917252082,0.0050298309788984995
