threshold,accuracy,balanced_accuracy,precision,recall,sensitivity,specificity,f1,support_negative,support_positive,confusion_matrix,normalized_confusion_matrix,roc_auc,pr_auc,brier_score,method,fpr,fnr,meets_recall_floor,meets_bal_acc_floor,meets_constraints
0.016743,0.14685314685314685,0.5,0.14685314685314685,1.0,1.0,0.0,0.25609756097560976,244,42,"[[0, 244], [0, 42]]","[[0.0, 1.0], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,1.0,0.0,True,False,False
0.016828,0.42657342657342656,0.6639344262295082,0.20388349514563106,1.0,1.0,0.32786885245901637,0.3387096774193548,244,42,"[[80, 164], [0, 42]]","[[0.32786885245901637, 0.6721311475409836], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.6721311475409837,0.0,True,False,False
0.016833,0.43006993006993005,0.665983606557377,0.2048780487804878,1.0,1.0,0.3319672131147541,0.340080971659919,244,42,"[[81, 163], [0, 42]]","[[0.3319672131147541, 0.6680327868852459], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.6680327868852459,0.0,True,False,False
0.016845,0.4370629370629371,0.6700819672131147,0.20689655172413793,1.0,1.0,0.3401639344262295,0.34285714285714286,244,42,"[[83, 161], [0, 42]]","[[0.3401639344262295, 0.6598360655737705], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.6598360655737705,0.0,True,False,False
0.016858,0.4370629370629371,0.6700819672131147,0.20689655172413793,1.0,1.0,0.3401639344262295,0.34285714285714286,244,42,"[[83, 161], [0, 42]]","[[0.3401639344262295, 0.6598360655737705], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.6598360655737705,0.0,True,False,False
0.016873,0.4405594405594406,0.6721311475409836,0.2079207920792079,1.0,1.0,0.3442622950819672,0.3442622950819672,244,42,"[[84, 160], [0, 42]]","[[0.3442622950819672, 0.6557377049180327], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.6557377049180328,0.0,True,False,False
0.016876,0.45104895104895104,0.6782786885245902,0.21105527638190955,1.0,1.0,0.35655737704918034,0.34854771784232363,244,42,"[[87, 157], [0, 42]]","[[0.35655737704918034, 0.6434426229508197], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.6434426229508197,0.0,True,False,False
0.016877,0.45104895104895104,0.6782786885245902,0.21105527638190955,1.0,1.0,0.35655737704918034,0.34854771784232363,244,42,"[[87, 157], [0, 42]]","[[0.35655737704918034, 0.6434426229508197], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.6434426229508197,0.0,True,False,False
0.016882,0.458041958041958,0.6823770491803278,0.2131979695431472,1.0,1.0,0.36475409836065575,0.3514644351464435,244,42,"[[89, 155], [0, 42]]","[[0.36475409836065575, 0.6352459016393442], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.6352459016393442,0.0,True,False,False
0.016947,0.458041958041958,0.6823770491803278,0.2131979695431472,1.0,1.0,0.36475409836065575,0.3514644351464435,244,42,"[[89, 155], [0, 42]]","[[0.36475409836065575, 0.6352459016393442], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.6352459016393442,0.0,True,False,False
0.01696,0.46153846153846156,0.6844262295081968,0.21428571428571427,1.0,1.0,0.36885245901639346,0.35294117647058826,244,42,"[[90, 154], [0, 42]]","[[0.36885245901639346, 0.6311475409836066], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.6311475409836065,0.0,True,False,False
0.016972,0.46503496503496505,0.6864754098360656,0.2153846153846154,1.0,1.0,0.3729508196721312,0.35443037974683544,244,42,"[[91, 153], [0, 42]]","[[0.3729508196721312, 0.6270491803278688], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.6270491803278688,0.0,True,False,False
0.016978,0.47202797202797203,0.6905737704918032,0.21761658031088082,1.0,1.0,0.38114754098360654,0.3574468085106383,244,42,"[[93, 151], [0, 42]]","[[0.38114754098360654, 0.6188524590163934], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.6188524590163935,0.0,True,False,False
0.016984,0.4755244755244755,0.6926229508196722,0.21875,1.0,1.0,0.38524590163934425,0.358974358974359,244,42,"[[94, 150], [0, 42]]","[[0.38524590163934425, 0.6147540983606558], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.6147540983606558,0.0,True,False,False
0.016991,0.479020979020979,0.694672131147541,0.2198952879581152,1.0,1.0,0.38934426229508196,0.3605150214592275,244,42,"[[95, 149], [0, 42]]","[[0.38934426229508196, 0.610655737704918], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.610655737704918,0.0,True,False,False
0.016998,0.4825174825174825,0.6967213114754098,0.22105263157894736,1.0,1.0,0.39344262295081966,0.3620689655172414,244,42,"[[96, 148], [0, 42]]","[[0.39344262295081966, 0.6065573770491803], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.6065573770491803,0.0,True,False,False
0.017029,0.48951048951048953,0.7008196721311475,0.22340425531914893,1.0,1.0,0.4016393442622951,0.3652173913043478,244,42,"[[98, 146], [0, 42]]","[[0.4016393442622951, 0.5983606557377049], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.5983606557377049,0.0,True,False,False
0.017063,0.493006993006993,0.7028688524590164,0.22459893048128343,1.0,1.0,0.4057377049180328,0.36681222707423583,244,42,"[[99, 145], [0, 42]]","[[0.4057377049180328, 0.5942622950819673], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.5942622950819672,0.0,True,False,False
0.017075,0.4965034965034965,0.7049180327868853,0.22580645161290322,1.0,1.0,0.4098360655737705,0.3684210526315789,244,42,"[[100, 144], [0, 42]]","[[0.4098360655737705, 0.5901639344262295], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.5901639344262295,0.0,True,False,False
0.017081,0.4965034965034965,0.7049180327868853,0.22580645161290322,1.0,1.0,0.4098360655737705,0.3684210526315789,244,42,"[[100, 144], [0, 42]]","[[0.4098360655737705, 0.5901639344262295], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.5901639344262295,0.0,True,False,False
0.017087,0.5034965034965035,0.709016393442623,0.22826086956521738,1.0,1.0,0.4180327868852459,0.37168141592920356,244,42,"[[102, 142], [0, 42]]","[[0.4180327868852459, 0.5819672131147541], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.5819672131147541,0.0,True,False,False
0.017109,0.506993006993007,0.7110655737704918,0.22950819672131148,1.0,1.0,0.42213114754098363,0.37333333333333335,244,42,"[[103, 141], [0, 42]]","[[0.42213114754098363, 0.5778688524590164], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.5778688524590163,0.0,True,False,False
0.017112,0.5104895104895105,0.7131147540983607,0.23076923076923078,1.0,1.0,0.4262295081967213,0.375,244,42,"[[104, 140], [0, 42]]","[[0.4262295081967213, 0.5737704918032787], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.5737704918032787,0.0,True,False,False
0.017142,0.513986013986014,0.7151639344262295,0.23204419889502761,1.0,1.0,0.430327868852459,0.37668161434977576,244,42,"[[105, 139], [0, 42]]","[[0.430327868852459, 0.569672131147541], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.569672131147541,0.0,True,False,False
0.017148,0.513986013986014,0.7151639344262295,0.23204419889502761,1.0,1.0,0.430327868852459,0.37668161434977576,244,42,"[[105, 139], [0, 42]]","[[0.430327868852459, 0.569672131147541], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.569672131147541,0.0,True,False,False
0.017172,0.5209790209790209,0.7192622950819672,0.2346368715083799,1.0,1.0,0.4385245901639344,0.38009049773755654,244,42,"[[107, 137], [0, 42]]","[[0.4385245901639344, 0.5614754098360656], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.5614754098360656,0.0,True,False,False
0.017182,0.5244755244755245,0.7213114754098361,0.23595505617977527,1.0,1.0,0.4426229508196721,0.38181818181818183,244,42,"[[108, 136], [0, 42]]","[[0.4426229508196721, 0.5573770491803278], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.5573770491803278,0.0,True,False,False
0.017215,0.527972027972028,0.7233606557377049,0.23728813559322035,1.0,1.0,0.44672131147540983,0.3835616438356164,244,42,"[[109, 135], [0, 42]]","[[0.44672131147540983, 0.5532786885245902], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.5532786885245902,0.0,True,False,False
0.017232,0.527972027972028,0.7233606557377049,0.23728813559322035,1.0,1.0,0.44672131147540983,0.3835616438356164,244,42,"[[109, 135], [0, 42]]","[[0.44672131147540983, 0.5532786885245902], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.5532786885245902,0.0,True,False,False
0.017266,0.534965034965035,0.7274590163934427,0.24,1.0,1.0,0.45491803278688525,0.3870967741935484,244,42,"[[111, 133], [0, 42]]","[[0.45491803278688525, 0.5450819672131147], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.5450819672131147,0.0,True,False,False
0.017272,0.534965034965035,0.7274590163934427,0.24,1.0,1.0,0.45491803278688525,0.3870967741935484,244,42,"[[111, 133], [0, 42]]","[[0.45491803278688525, 0.5450819672131147], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.5450819672131147,0.0,True,False,False
0.017285,0.5384615384615384,0.7295081967213115,0.2413793103448276,1.0,1.0,0.45901639344262296,0.3888888888888889,244,42,"[[112, 132], [0, 42]]","[[0.45901639344262296, 0.5409836065573771], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.540983606557377,0.0,True,False,False
0.017302,0.5454545454545454,0.7336065573770492,0.2441860465116279,1.0,1.0,0.4672131147540984,0.3925233644859813,244,42,"[[114, 130], [0, 42]]","[[0.4672131147540984, 0.5327868852459017], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.5327868852459017,0.0,True,False,False
0.017366,0.5454545454545454,0.7336065573770492,0.2441860465116279,1.0,1.0,0.4672131147540984,0.3925233644859813,244,42,"[[114, 130], [0, 42]]","[[0.4672131147540984, 0.5327868852459017], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.5327868852459017,0.0,True,False,False
0.017391,0.5524475524475524,0.7377049180327868,0.24705882352941178,1.0,1.0,0.47540983606557374,0.39622641509433965,244,42,"[[116, 128], [0, 42]]","[[0.47540983606557374, 0.5245901639344263], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.5245901639344263,0.0,True,False,False
0.017465,0.5559440559440559,0.7397540983606558,0.2485207100591716,1.0,1.0,0.47950819672131145,0.3981042654028436,244,42,"[[117, 127], [0, 42]]","[[0.47950819672131145, 0.5204918032786885], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.5204918032786885,0.0,True,False,False
0.017467,0.5559440559440559,0.7397540983606558,0.2485207100591716,1.0,1.0,0.47950819672131145,0.3981042654028436,244,42,"[[117, 127], [0, 42]]","[[0.47950819672131145, 0.5204918032786885], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.5204918032786885,0.0,True,False,False
0.017523,0.5594405594405595,0.7418032786885246,0.25,1.0,1.0,0.48360655737704916,0.4,244,42,"[[118, 126], [0, 42]]","[[0.48360655737704916, 0.5163934426229508], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.5163934426229508,0.0,True,False,False
0.017581,0.5664335664335665,0.7459016393442623,0.25301204819277107,1.0,1.0,0.4918032786885246,0.40384615384615385,244,42,"[[120, 124], [0, 42]]","[[0.4918032786885246, 0.5081967213114754], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.5081967213114754,0.0,True,False,False
0.017742,0.5664335664335665,0.7459016393442623,0.25301204819277107,1.0,1.0,0.4918032786885246,0.40384615384615385,244,42,"[[120, 124], [0, 42]]","[[0.4918032786885246, 0.5081967213114754], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.5081967213114754,0.0,True,False,False
0.017867,0.5699300699300699,0.7479508196721312,0.2545454545454545,1.0,1.0,0.4959016393442623,0.4057971014492754,244,42,"[[121, 123], [0, 42]]","[[0.4959016393442623, 0.5040983606557377], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.5040983606557377,0.0,True,False,False
0.017969,0.5769230769230769,0.7520491803278688,0.25766871165644173,1.0,1.0,0.5040983606557377,0.4097560975609756,244,42,"[[123, 121], [0, 42]]","[[0.5040983606557377, 0.4959016393442623], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.49590163934426235,0.0,True,False,False
0.017983,0.5769230769230769,0.7520491803278688,0.25766871165644173,1.0,1.0,0.5040983606557377,0.4097560975609756,244,42,"[[123, 121], [0, 42]]","[[0.5040983606557377, 0.4959016393442623], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.49590163934426235,0.0,True,False,False
0.01817,0.583916083916084,0.7561475409836065,0.2608695652173913,1.0,1.0,0.5122950819672131,0.41379310344827586,244,42,"[[125, 119], [0, 42]]","[[0.5122950819672131, 0.48770491803278687], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.4877049180327869,0.0,True,False,False
0.018221,0.583916083916084,0.7561475409836065,0.2608695652173913,1.0,1.0,0.5122950819672131,0.41379310344827586,244,42,"[[125, 119], [0, 42]]","[[0.5122950819672131, 0.48770491803278687], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.4877049180327869,0.0,True,False,False
0.018307,0.5909090909090909,0.7602459016393442,0.2641509433962264,1.0,1.0,0.5204918032786885,0.417910447761194,244,42,"[[127, 117], [0, 42]]","[[0.5204918032786885, 0.47950819672131145], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.4795081967213115,0.0,True,False,False
0.018504,0.5944055944055944,0.7622950819672132,0.26582278481012656,1.0,1.0,0.5245901639344263,0.42,244,42,"[[128, 116], [0, 42]]","[[0.5245901639344263, 0.47540983606557374], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.47540983606557374,0.0,True,False,False
0.018514,0.5944055944055944,0.7622950819672132,0.26582278481012656,1.0,1.0,0.5245901639344263,0.42,244,42,"[[128, 116], [0, 42]]","[[0.5245901639344263, 0.47540983606557374], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.47540983606557374,0.0,True,False,False
0.018833,0.5979020979020979,0.764344262295082,0.267515923566879,1.0,1.0,0.5286885245901639,0.4221105527638191,244,42,"[[129, 115], [0, 42]]","[[0.5286885245901639, 0.4713114754098361], [0.0, 1.0]]",0.9659445745511319,0.8459305861806701,0.04951150740953645,grid_precision,0.4713114754098361,0.0,True,False,False
