feature,importance_mean,importance_std
num__cbcl_externalizing_proxy,0.02685402029664328,0.00858402473447838
num__ari_sr_symptom_total,0.020374707259953183,0.006741755187627846
num__cbcl_aggressive_behavior_proxy,0.018481654957064775,0.0016393442622950616
num__ari_p_symptom_total,0.00862607338017174,0.0010038892388455523
num__cbcl_rule_breaking_proxy,0.006167056986729147,0.00238973438313329
num__ari_sr_impairment_item,0.004683840749414525,0.0055481769276262746
num__icut_unemotional,0.004508196721311553,0.0008196721311475752
num__cbcl_attention_problems_proxy,0.0024590163934427034,0.00271854491012741
num__cbcl_anxious_depressed_proxy,0.0013075722092115826,0.00971508909299751
num__sdq_conduct_problems,0.0012295081967213628,0.0010038892388456067
num__sdq_total_difficulties,0.0008196721311475974,0.0016393442622951117
num__has_cbcl,0.0,0.0
num__ysr_externalizing_proxy,0.0,0.0
num__has_ari_p,0.0,0.0
num__ari_p_impairment_item,-0.0008196721311475086,0.0016393442622951004
num__icut_uncaring,-0.003278688524590101,0.0033295239363262076
num__icut_total,-0.004098360655737654,0.0012960154344952212
num__icut_callousness,-0.004508196721311419,0.0020077784776911045
