threshold,accuracy,balanced_accuracy,precision,recall,sensitivity,specificity,f1,support_negative,support_positive,confusion_matrix,normalized_confusion_matrix,roc_auc,pr_auc,brier_score,method,fpr,fnr,meets_recall_floor,meets_bal_acc_floor,meets_constraints
0.0,0.14685314685314685,0.5,0.14685314685314685,1.0,1.0,0.0,0.25609756097560976,244,42,"[[0, 244], [0, 42]]","[[0.0, 1.0], [0.0, 1.0]]",0.9614558938329429,0.8127856142601524,0.06529722816813016,grid_precision,1.0,0.0,True,False,False
0.002074,0.5314685314685315,0.7254098360655737,0.23863636363636365,1.0,1.0,0.45081967213114754,0.3853211009174312,244,42,"[[110, 134], [0, 42]]","[[0.45081967213114754, 0.5491803278688525], [0.0, 1.0]]",0.9614558938329429,0.8127856142601524,0.06529722816813016,grid_precision,0.5491803278688525,0.0,True,False,False
0.002492,0.5384615384615384,0.7295081967213115,0.2413793103448276,1.0,1.0,0.45901639344262296,0.3888888888888889,244,42,"[[112, 132], [0, 42]]","[[0.45901639344262296, 0.5409836065573771], [0.0, 1.0]]",0.9614558938329429,0.8127856142601524,0.06529722816813016,grid_precision,0.540983606557377,0.0,True,False,False
0.002822,0.5454545454545454,0.7336065573770492,0.2441860465116279,1.0,1.0,0.4672131147540984,0.3925233644859813,244,42,"[[114, 130], [0, 42]]","[[0.4672131147540984, 0.5327868852459017], [0.0, 1.0]]",0.9614558938329429,0.8127856142601524,0.06529722816813016,grid_precision,0.5327868852459017,0.0,True,False,False
0.003297,0.5454545454545454,0.7336065573770492,0.2441860465116279,1.0,1.0,0.4672131147540984,0.3925233644859813,244,42,"[[114, 130], [0, 42]]","[[0.4672131147540984, 0.5327868852459017], [0.0, 1.0]]",0.9614558938329429,0.8127856142601524,0.06529722816813016,grid_precision,0.5327868852459017,0.0,True,False,False
0.003442,0.548951048951049,0.735655737704918,0.24561403508771928,1.0,1.0,0.4713114754098361,0.39436619718309857,244,42,"[[115, 129], [0, 42]]","[[0.4713114754098361, 0.5286885245901639], [0.0, 1.0]]",0.9614558938329429,0.8127856142601524,0.06529722816813016,grid_precision,0.5286885245901639,0.0,True,False,False
0.0036,0.5524475524475524,0.7377049180327868,0.24705882352941178,1.0,1.0,0.47540983606557374,0.39622641509433965,244,42,"[[116, 128], [0, 42]]","[[0.47540983606557374, 0.5245901639344263], [0.0, 1.0]]",0.9614558938329429,0.8127856142601524,0.06529722816813016,grid_precision,0.5245901639344263,0.0,True,False,False
0.004177,0.5699300699300699,0.7479508196721312,0.2545454545454545,1.0,1.0,0.4959016393442623,0.4057971014492754,244,42,"[[121, 123], [0, 42]]","[[0.4959016393442623, 0.5040983606557377], [0.0, 1.0]]",0.9614558938329429,0.8127856142601524,0.06529722816813016,grid_precision,0.5040983606557377,0.0,True,False,False
0.004973,0.5769230769230769,0.7520491803278688,0.25766871165644173,1.0,1.0,0.5040983606557377,0.4097560975609756,244,42,"[[123, 121], [0, 42]]","[[0.5040983606557377, 0.4959016393442623], [0.0, 1.0]]",0.9614558938329429,0.8127856142601524,0.06529722816813016,grid_precision,0.49590163934426235,0.0,True,False,False
0.005239,0.5804195804195804,0.7540983606557377,0.25925925925925924,1.0,1.0,0.5081967213114754,0.4117647058823529,244,42,"[[124, 120], [0, 42]]","[[0.5081967213114754, 0.4918032786885246], [0.0, 1.0]]",0.9614558938329429,0.8127856142601524,0.06529722816813016,grid_precision,0.4918032786885246,0.0,True,False,False
0.005469,0.5804195804195804,0.7540983606557377,0.25925925925925924,1.0,1.0,0.5081967213114754,0.4117647058823529,244,42,"[[124, 120], [0, 42]]","[[0.5081967213114754, 0.4918032786885246], [0.0, 1.0]]",0.9614558938329429,0.8127856142601524,0.06529722816813016,grid_precision,0.4918032786885246,0.0,True,False,False
0.006146,0.583916083916084,0.7561475409836065,0.2608695652173913,1.0,1.0,0.5122950819672131,0.41379310344827586,244,42,"[[125, 119], [0, 42]]","[[0.5122950819672131, 0.48770491803278687], [0.0, 1.0]]",0.9614558938329429,0.8127856142601524,0.06529722816813016,grid_precision,0.4877049180327869,0.0,True,False,False
0.006483,0.5874125874125874,0.7581967213114754,0.2625,1.0,1.0,0.5163934426229508,0.4158415841584158,244,42,"[[126, 118], [0, 42]]","[[0.5163934426229508, 0.48360655737704916], [0.0, 1.0]]",0.9614558938329429,0.8127856142601524,0.06529722816813016,grid_precision,0.48360655737704916,0.0,True,False,False
0.007201,0.5944055944055944,0.7622950819672132,0.26582278481012656,1.0,1.0,0.5245901639344263,0.42,244,42,"[[128, 116], [0, 42]]","[[0.5245901639344263, 0.47540983606557374], [0.0, 1.0]]",0.9614558938329429,0.8127856142601524,0.06529722816813016,grid_precision,0.47540983606557374,0.0,True,False,False
0.007794,0.5944055944055944,0.7622950819672132,0.26582278481012656,1.0,1.0,0.5245901639344263,0.42,244,42,"[[128, 116], [0, 42]]","[[0.5245901639344263, 0.47540983606557374], [0.0, 1.0]]",0.9614558938329429,0.8127856142601524,0.06529722816813016,grid_precision,0.47540983606557374,0.0,True,False,False
