feature,importance_mean,importance_std
num__cbcl_internalizing_proxy,0.13046874999999997,0.013446934268919396
num__cbcl_anxious_depressed_proxy,0.10458333333333332,0.02171871877495756
num__sdq_hyperactivity_inattention,0.06158854166666665,0.014756229557847432
num__mfq_p_total,0.03296874999999999,0.014265367338247487
num__sdq_prosocial_behavior,0.02078125000000004,0.006336532052697344
num__has_mfq_p,0.014114583333333375,0.007111139509356294
cat__sex_assigned_at_birth_Female,0.013723958333333352,0.012660803793242048
num__sdq_impact,0.0021614583333333438,0.006336532052697387
num__sdq_total_difficulties,0.0011979166666666653,0.017702664533827187
num__cbcl_rule_breaking_proxy,0.0,0.0012352647110032732
num__has_sdq,0.0,0.0
num__has_cbcl,0.0,0.0
cat__sex_assigned_at_birth_Male,0.0,0.0
num__cbcl_attention_problems_proxy,-0.002734375,0.0009568319307746789
num__cbcl_externalizing_proxy,-0.003723958333333344,0.005563782428635637
num__age_years,-0.004505208333333344,0.012715322104950383
num__cbcl_aggressive_behavior_proxy,-0.007838541666666688,0.014217271366951148
num__sdq_conduct_problems,-0.008229166666666687,0.008513832953640825
num__sdq_peer_problems,-0.01312500000000003,0.008377730043220762
num__sdq_emotional_symptoms,-0.02234375000000004,0.006631478586750278
