feature,importance
num__cbcl_anxious_depressed_proxy,0.1577690675479575
num__cbcl_internalizing_proxy,0.1469021422771415
num__sdq_hyperactivity_inattention,0.09151108435211
num__mfq_sr_total,0.0837775657638138
num__sdq_total_difficulties,0.08287703320907934
num__mfq_p_total,0.06909230200656943
num__sdq_emotional_symptoms,0.06467413590482163
num__sdq_conduct_problems,0.04537577226169576
num__cdi_total,0.042561851764778134
num__sdq_peer_problems,0.04096982397531158
num__sdq_prosocial_behavior,0.036358024818521274
num__age_years,0.02244771265532093
num__sdq_impact,0.021142509554763756
num__cbcl_externalizing_proxy,0.020509832436861965
num__cbcl_rule_breaking_proxy,0.019930252059475503
num__cbcl_attention_problems_proxy,0.01840175838796847
num__cbcl_aggressive_behavior_proxy,0.017633361088346643
cat__site_CBIC,0.0047369539678927056
cat__sex_assigned_at_birth_Male,0.0036918592992442618
cat__site_Staten Island,0.0031388856073402273
cat__sex_assigned_at_birth_Female,0.0028362332052874204
cat__site_RUBIC,0.0020171335153239584
cat__site_CUNY,0.0016447043403742204
num__has_mfq_p,0.0
num__has_cbcl,0.0
num__has_cdi,0.0
num__has_sdq,0.0
num__has_mfq_sr,0.0
cat__sex_assigned_at_birth_Unknown,0.0
