feature,importance
num__cbcl_internalizing_proxy,0.21052655891099964
num__cbcl_anxious_depressed_proxy,0.2023089426151845
num__sdq_total_difficulties,0.09588533102767109
num__mfq_p_total,0.08029748460106276
num__sdq_hyperactivity_inattention,0.07444973246520359
num__sdq_emotional_symptoms,0.07296266748009052
num__sdq_conduct_problems,0.045651904857892035
num__sdq_peer_problems,0.038863083757228495
num__cbcl_externalizing_proxy,0.02776010167760375
num__cbcl_rule_breaking_proxy,0.026909589365616552
num__age_years,0.02656902543083669
num__sdq_prosocial_behavior,0.024229287708562964
num__cbcl_attention_problems_proxy,0.023470424833371667
num__sdq_impact,0.022487479231500632
num__cbcl_aggressive_behavior_proxy,0.019095779550275117
cat__sex_assigned_at_birth_Male,0.004310999860028312
cat__sex_assigned_at_birth_Female,0.0042216066268717855
num__has_cbcl,0.0
num__has_sdq,0.0
cat__sex_assigned_at_birth_Unknown,0.0
