threshold,accuracy,balanced_accuracy,precision,recall,sensitivity,specificity,f1,support_negative,support_positive,confusion_matrix,normalized_confusion_matrix,roc_auc,pr_auc,brier_score,method,fpr,fnr,meets_recall_floor,meets_bal_acc_floor,meets_constraints
0.02187,0.4965034965034965,0.71875,0.1724137931034483,1.0,1.0,0.4375,0.29411764705882354,256,30,"[[112, 144], [0, 30]]","[[0.4375, 0.5625], [0.0, 1.0]]",0.9416666666666667,0.6536649619330086,0.058365924231596006,grid_precision,0.5625,0.0,True,False,False
0.021969,0.4965034965034965,0.71875,0.1724137931034483,1.0,1.0,0.4375,0.29411764705882354,256,30,"[[112, 144], [0, 30]]","[[0.4375, 0.5625], [0.0, 1.0]]",0.9416666666666667,0.6536649619330086,0.058365924231596006,grid_precision,0.5625,0.0,True,False,False
0.021997,0.5104895104895105,0.7265625,0.17647058823529413,1.0,1.0,0.453125,0.3,256,30,"[[116, 140], [0, 30]]","[[0.453125, 0.546875], [0.0, 1.0]]",0.9416666666666667,0.6536649619330086,0.058365924231596006,grid_precision,0.546875,0.0,True,False,False
0.022011,0.5209790209790209,0.732421875,0.17964071856287425,1.0,1.0,0.46484375,0.30456852791878175,256,30,"[[119, 137], [0, 30]]","[[0.46484375, 0.53515625], [0.0, 1.0]]",0.9416666666666667,0.6536649619330086,0.058365924231596006,grid_precision,0.53515625,0.0,True,False,False
0.022028,0.527972027972028,0.736328125,0.18181818181818182,1.0,1.0,0.47265625,0.3076923076923077,256,30,"[[121, 135], [0, 30]]","[[0.47265625, 0.52734375], [0.0, 1.0]]",0.9416666666666667,0.6536649619330086,0.058365924231596006,grid_precision,0.52734375,0.0,True,False,False
0.022034,0.5314685314685315,0.73828125,0.18292682926829268,1.0,1.0,0.4765625,0.30927835051546393,256,30,"[[122, 134], [0, 30]]","[[0.4765625, 0.5234375], [0.0, 1.0]]",0.9416666666666667,0.6536649619330086,0.058365924231596006,grid_precision,0.5234375,0.0,True,False,False
0.022042,0.5384615384615384,0.7421875,0.18518518518518517,1.0,1.0,0.484375,0.3125,256,30,"[[124, 132], [0, 30]]","[[0.484375, 0.515625], [0.0, 1.0]]",0.9416666666666667,0.6536649619330086,0.058365924231596006,grid_precision,0.515625,0.0,True,False,False
0.022048,0.5384615384615384,0.7421875,0.18518518518518517,1.0,1.0,0.484375,0.3125,256,30,"[[124, 132], [0, 30]]","[[0.484375, 0.515625], [0.0, 1.0]]",0.9416666666666667,0.6536649619330086,0.058365924231596006,grid_precision,0.515625,0.0,True,False,False
0.022058,0.541958041958042,0.744140625,0.18633540372670807,1.0,1.0,0.48828125,0.31413612565445026,256,30,"[[125, 131], [0, 30]]","[[0.48828125, 0.51171875], [0.0, 1.0]]",0.9416666666666667,0.6536649619330086,0.058365924231596006,grid_precision,0.51171875,0.0,True,False,False
0.022065,0.5454545454545454,0.74609375,0.1875,1.0,1.0,0.4921875,0.3157894736842105,256,30,"[[126, 130], [0, 30]]","[[0.4921875, 0.5078125], [0.0, 1.0]]",0.9416666666666667,0.6536649619330086,0.058365924231596006,grid_precision,0.5078125,0.0,True,False,False
