feature,importance_mean,importance_std
num__cbcl_attention_problems_proxy,0.0024743230625583258,0.007570514211250974
num__sdq_emotional_symptoms,0.0,0.0
num__cbcl_anxious_depressed_proxy,0.0,0.0
num__sdq_hyperactivity_inattention__missing,0.0,0.0
num__sdq_emotional_symptoms__missing,0.0,0.0
num__age_years,-2.2204460492503132e-17,0.0017746571249998516
cat__sex_assigned_at_birth_Female,-0.00039682539682540653,0.0007936507936508132
num__sdq_total_difficulties__missing,-0.00039682539682540653,0.0007936507936508132
num__sdq_impact__missing,-0.00039682539682540653,0.0007936507936508132
cat__sex_assigned_at_birth_Male,-0.00039682539682540653,0.0007936507936508132
num__sdq_hyperactivity_inattention,-0.0052987861811391365,0.005130398221454568
num__cbcl_rule_breaking_proxy,-0.008800186741363214,0.008952941178418118
num__sdq_total_difficulties,-0.009360410830999078,0.004530162267304655
num__sdq_conduct_problems,-0.013258636788048561,0.0062607113405191974
num__cbcl_aggressive_behavior_proxy,-0.013515406162464993,0.015398627305904774
num__cbcl_externalizing_proxy,-0.014449112978524747,0.005811059225693185
num__sdq_conduct_problems__missing,-0.016199813258636786,0.009690273214964042
num__has_cbcl,-0.017810457516339882,0.009298062785701132
num__sdq_impact,-0.027544351073762817,0.0080773734907302
num__has_sdq__missing,-0.028034547152194212,0.008664942628164396
num__cbcl_internalizing_proxy,-0.028734827264239003,0.014165635651591024
num__has_sdq,-0.03081232492997198,0.0057210975613661945
