feature,importance
num__comorbidity_count_5targets,0.36484514850682553
num__age_years,0.08532240984971212
num__sdq_total_difficulties,0.0736353727234605
num__cbcl_internalizing_proxy,0.05524256992764453
num__cbcl_attention_problems_proxy,0.05328872390572377
num__cbcl_anxious_depressed_proxy,0.04632833831455173
num__cbcl_externalizing_proxy,0.0452389535609603
num__sdq_hyperactivity_inattention,0.04176524165287703
num__sdq_impact,0.040081007936281006
num__cbcl_aggressive_behavior_proxy,0.0367380615604282
num__sdq_conduct_problems,0.03285208813737594
num__sdq_emotional_symptoms,0.03171630383858443
num__cbcl_rule_breaking_proxy,0.03118579009953228
cat__site_CUNY,0.01404081893046332
cat__site_RUBIC,0.010354401947628345
cat__sex_assigned_at_birth_Male,0.009503065250766272
cat__site_Staten Island,0.008703222466381772
cat__site_CBIC,0.008166976290998511
cat__sex_assigned_at_birth_Female,0.0076036922698217895
num__sdq_impact__missing,0.0007465537926355899
num__has_sdq__missing,0.0006324912377422351
num__sdq_total_difficulties__missing,0.0006110868396078411
num__sdq_hyperactivity_inattention__missing,0.0005905063788215263
num__sdq_emotional_symptoms__missing,0.00041921939951257116
num__sdq_conduct_problems__missing,0.000387955181662945
num__has_cbcl,0.0
num__has_sdq,0.0
