feature,importance
num__comorbidity_count_5targets,0.30075343510639935
num__age_years,0.07346869930486055
num__cbcl_internalizing_proxy,0.06607565072380446
num__cbcl_attention_problems_proxy,0.06236668584419624
num__sdq_total_difficulties,0.05879764018821575
num__cbcl_externalizing_proxy,0.05713129517604283
num__cbcl_anxious_depressed_proxy,0.054645989916368216
num__cbcl_aggressive_behavior_proxy,0.05140801306866395
num__cbcl_rule_breaking_proxy,0.04320191781934057
num__sdq_impact,0.04277682225649077
num__sdq_conduct_problems,0.04028872378594837
num__sdq_hyperactivity_inattention,0.03939648046732916
num__sdq_emotional_symptoms,0.03225696895796232
cat__site_CUNY,0.013590466422453762
cat__sex_assigned_at_birth_Female,0.012477286496129223
cat__site_RUBIC,0.012315785832780094
cat__sex_assigned_at_birth_Male,0.01189726426639763
cat__site_Staten Island,0.010691954050415406
cat__site_CBIC,0.010011033495543867
num__sdq_total_difficulties__missing,0.0015935982705994967
num__sdq_emotional_symptoms__missing,0.0011075127008659956
num__sdq_hyperactivity_inattention__missing,0.001048935415787179
num__sdq_conduct_problems__missing,0.0010487086222310644
num__sdq_impact__missing,0.0009267865523349223
num__has_sdq__missing,0.000722345258838752
num__has_sdq,0.0
num__has_cbcl,0.0
