disorder,champion_version,challenger_version,challenger_scope,challenger_status,non_promotable,champion_val_precision,champion_val_recall,champion_val_balanced_accuracy,champion_test_precision,champion_test_recall,champion_test_balanced_accuracy,challenger_val_precision,challenger_val_recall,challenger_val_balanced_accuracy,challenger_test_precision,challenger_test_recall,challenger_test_balanced_accuracy,delta_val_precision,delta_val_recall,delta_val_balanced_accuracy,delta_test_precision,delta_test_recall,delta_test_balanced_accuracy,recall_floor,balanced_accuracy_tolerance
adhd,rf_adhd_v1_baseline,rf_adhd_v2_precision_sanity,strict_no_leakage,rejected,False,0.9466666666666667,0.8819875776397516,0.9089937888198758,0.8943661971830986,0.79375,0.8373511904761904,0.95,0.8260869565217391,0.8850434782608696,0.8962962962962963,0.75625,0.8225694444444445,0.0033333333333332993,-0.05590062111801242,-0.023950310559006205,0.0019300991131976364,-0.03749999999999998,-0.01478174603174598,0.7619875776397516,0.03
anxiety,rf_anxiety_v1_baseline,rf_anxiety_v2_precision_sanity,strict_no_leakage,rejected,False,0.9259259259259259,0.8,0.8751552795031057,0.9056603773584906,0.7619047619047619,0.8497023809523809,0.912621359223301,0.752,0.8480496894409938,0.8962264150943396,0.753968253968254,0.8426091269841269,-0.01330456670262492,-0.04800000000000004,-0.027105590062111884,-0.009433962264150941,-0.007936507936507908,-0.0070932539682539986,0.7,0.03
conduct,rf_conduct_v1_baseline,rf_conduct_v4_precision_thresholded,strict_no_leakage,rejected,False,0.6031746031746031,0.9047619047619048,0.9011514441842311,0.5428571428571428,0.9047619047619048,0.8868071818891491,0.7954545454545454,0.8333333333333334,0.8982240437158471,0.7105263157894737,0.6428571428571429,0.7988875878220141,0.19227994227994227,-0.0714285714285714,-0.0029274004683840227,0.16766917293233086,-0.26190476190476186,-0.08791959406713501,0.7547619047619047,0.03
conduct,rf_conduct_v1_baseline,rf_conduct_v5_precision_calibrated,strict_no_leakage,completed,False,0.6031746031746031,0.9047619047619048,0.9011514441842311,0.5428571428571428,0.9047619047619048,0.8868071818891491,0.7857142857142857,0.7857142857142857,0.8744145199063231,0.7,0.6666666666666666,0.8087431693989071,0.18253968253968256,-0.11904761904761907,-0.02673692427790797,0.15714285714285714,-0.23809523809523814,-0.07806401249024197,0.7547619047619047,0.03
conduct,rf_conduct_v1_baseline,rf_conduct_v6_precision_externalizing_pruned,strict_no_leakage,completed,False,0.6031746031746031,0.9047619047619048,0.9011514441842311,0.5428571428571428,0.9047619047619048,0.8868071818891491,0.7857142857142857,0.7857142857142857,0.8744145199063231,0.7209302325581395,0.7380952380952381,0.8444574551131928,0.18253968253968256,-0.11904761904761907,-0.02673692427790797,0.17807308970099667,-0.16666666666666663,-0.042349726775956276,0.7547619047619047,0.03
depression,rf_depression_v4_precision_thresholded,rf_depression_v6_precision_pruned,strict_no_leakage,completed,False,0.5098039215686274,0.8666666666666667,0.8845052083333333,0.45,0.9,0.885546875,0.49019607843137253,0.8333333333333334,0.8658854166666667,0.48148148148148145,0.8666666666666667,0.8786458333333333,-0.019607843137254888,-0.033333333333333326,-0.018619791666666607,0.031481481481481444,-0.033333333333333326,-0.0069010416666666075,0.78,0.03
depression,rf_depression_v4_precision_thresholded,rf_depression_v5_precision_calibrated,strict_no_leakage,completed,False,0.5098039215686274,0.8666666666666667,0.8845052083333333,0.45,0.9,0.885546875,0.4716981132075472,0.8333333333333334,0.8619791666666667,0.46551724137931033,0.9,0.889453125,-0.03810580836108024,-0.033333333333333326,-0.022526041666666607,0.01551724137931032,0.0,0.00390625,0.78,0.03
elimination,rf_elimination_v1_baseline,rf_elimination_v7_precision_experimental_research,research_extended,rejected,True,0.19298245614035087,0.6470588235294118,0.6409897292250233,0.22033898305084745,0.7647058823529411,0.699813258636788,0.43137254901960786,0.6470588235294118,0.7659897292250233,0.5526315789473685,0.6176470588235294,0.775093370681606,0.238390092879257,0.0,0.125,0.33229259589652105,-0.1470588235294117,0.07528011204481799,0.5,0.05
elimination,rf_elimination_v1_baseline,rf_elimination_v5_precision_missingness,strict_no_leakage,completed,False,0.19298245614035087,0.6470588235294118,0.6409897292250233,0.22033898305084745,0.7647058823529411,0.699813258636788,0.19791666666666666,0.5588235294117647,0.6266339869281046,0.20224719101123595,0.5294117647058824,0.6238328664799253,0.004934210526315791,-0.08823529411764708,-0.014355742296918717,-0.018091792039611504,-0.23529411764705876,-0.0759803921568627,0.5,0.05
elimination,rf_elimination_v1_baseline,rf_elimination_v6_precision_proxy_pruned,strict_no_leakage,completed,False,0.19298245614035087,0.6470588235294118,0.6409897292250233,0.22033898305084745,0.7647058823529411,0.699813258636788,0.16666666666666666,0.6470588235294118,0.6052754435107377,0.16783216783216784,0.7058823529411765,0.6168300653594772,-0.02631578947368421,0.0,-0.03571428571428559,-0.052506815218679614,-0.05882352941176461,-0.08298319327731085,0.5,0.05
