scale_name,response_type,option_order,option_code,option_label_caregiver,option_label_psychologist,option_value,intended_use,notes
boolean_yes_no,boolean,1,0,No,No,0,model_input,final scope
boolean_yes_no,boolean,2,1,Si,Si,1,model_input,final scope
sex_assigned_at_birth,single_choice,1,female,Femenino,Femenino,0,model_input,final scope
sex_assigned_at_birth,single_choice,2,male,Masculino,Masculino,1,model_input,final scope
sex_assigned_at_birth,single_choice,3,unknown,No informado,No informado,2,model_input,final scope
site,single_choice,1,CBIC,CBIC,CBIC,0,model_input,final scope
site,single_choice,2,CUNY,CUNY,CUNY,1,model_input,final scope
site,single_choice,3,RUBIC,RUBIC,RUBIC,2,model_input,final scope
site,single_choice,4,SI,Staten Island,Staten Island,3,model_input,final scope
ordinal_0_2,ordinal,1,0,Nunca/No,Nunca/No,0,model_input,final scope
ordinal_0_2,ordinal,2,1,A veces,A veces,1,model_input,final scope
ordinal_0_2,ordinal,3,2,Frecuente,Frecuente,2,model_input,final scope
ordinal_0_3,ordinal,1,0,Nada,Nada,0,model_input,final scope
ordinal_0_3,ordinal,2,1,Leve,Leve,1,model_input,final scope
ordinal_0_3,ordinal,3,2,Moderado,Moderado,2,model_input,final scope
ordinal_0_3,ordinal,4,3,Alto,Alto,3,model_input,final scope
ordinal_-3_3,ordinal,1,-3,Muy por debajo,Muy por debajo,-3,model_input,final scope
ordinal_-3_3,ordinal,2,-2,Debajo,Debajo,-2,model_input,final scope
ordinal_-3_3,ordinal,3,-1,Ligeramente debajo,Ligeramente debajo,-1,model_input,final scope
ordinal_-3_3,ordinal,4,0,Promedio,Promedio,0,model_input,final scope
ordinal_-3_3,ordinal,5,1,Ligeramente arriba,Ligeramente arriba,1,model_input,final scope
ordinal_-3_3,ordinal,6,2,Arriba,Arriba,2,model_input,final scope
ordinal_-3_3,ordinal,7,3,Muy arriba,Muy arriba,3,model_input,final scope
