question_code,concept_name,section_name,caregiver_prompt,psychologist_prompt,recommended_reason
age_years,Edad en años cumplidos,Datos básicos,"¿Qué edad tiene el niño o la niña, en años cumplidos?",Registre la edad cronológica en años cumplidos.,Pregunta clínica o dato básico que puede contestar el cuidador y también puede administrar/registrar el psicólogo.
cbcl_025,Ítem 025 del CBCL,Comportamiento y emociones (CBCL),CBCL — Ítem 025. Lea el enunciado oficial del instrumento y marque la opción que mejor describa al niño o la niña.,CBCL — Ítem 025. Registre la puntuación del ítem según la administración aplicada.,Pregunta clínica o dato básico que puede contestar el cuidador y también puede administrar/registrar el psicólogo.
cbcl_057,Ítem 057 del CBCL,Comportamiento y emociones (CBCL),CBCL — Ítem 057. Lea el enunciado oficial del instrumento y marque la opción que mejor describa al niño o la niña.,CBCL — Ítem 057. Registre la puntuación del ítem según la administración aplicada.,Pregunta clínica o dato básico que puede contestar el cuidador y también puede administrar/registrar el psicólogo.
cbcl_058,Ítem 058 del CBCL,Comportamiento y emociones (CBCL),CBCL — Ítem 058. Lea el enunciado oficial del instrumento y marque la opción que mejor describa al niño o la niña.,CBCL — Ítem 058. Registre la puntuación del ítem según la administración aplicada.,Pregunta clínica o dato básico que puede contestar el cuidador y también puede administrar/registrar el psicólogo.
cbcl_060,Ítem 060 del CBCL,Comportamiento y emociones (CBCL),CBCL — Ítem 060. Lea el enunciado oficial del instrumento y marque la opción que mejor describa al niño o la niña.,CBCL — Ítem 060. Registre la puntuación del ítem según la administración aplicada.,Pregunta clínica o dato básico que puede contestar el cuidador y también puede administrar/registrar el psicólogo.
cbcl_061,Ítem 061 del CBCL,Comportamiento y emociones (CBCL),CBCL — Ítem 061. Lea el enunciado oficial del instrumento y marque la opción que mejor describa al niño o la niña.,CBCL — Ítem 061. Registre la puntuación del ítem según la administración aplicada.,Pregunta clínica o dato básico que puede contestar el cuidador y también puede administrar/registrar el psicólogo.
cbcl_062,Ítem 062 del CBCL,Comportamiento y emociones (CBCL),CBCL — Ítem 062. Lea el enunciado oficial del instrumento y marque la opción que mejor describa al niño o la niña.,CBCL — Ítem 062. Registre la puntuación del ítem según la administración aplicada.,Pregunta clínica o dato básico que puede contestar el cuidador y también puede administrar/registrar el psicólogo.
cbcl_063,Ítem 063 del CBCL,Comportamiento y emociones (CBCL),CBCL — Ítem 063. Lea el enunciado oficial del instrumento y marque la opción que mejor describa al niño o la niña.,CBCL — Ítem 063. Registre la puntuación del ítem según la administración aplicada.,Pregunta clínica o dato básico que puede contestar el cuidador y también puede administrar/registrar el psicólogo.
cbcl_064,Ítem 064 del CBCL,Comportamiento y emociones (CBCL),CBCL — Ítem 064. Lea el enunciado oficial del instrumento y marque la opción que mejor describa al niño o la niña.,CBCL — Ítem 064. Registre la puntuación del ítem según la administración aplicada.,Pregunta clínica o dato básico que puede contestar el cuidador y también puede administrar/registrar el psicólogo.
cbcl_065,Ítem 065 del CBCL,Comportamiento y emociones (CBCL),CBCL — Ítem 065. Lea el enunciado oficial del instrumento y marque la opción que mejor describa al niño o la niña.,CBCL — Ítem 065. Registre la puntuación del ítem según la administración aplicada.,Pregunta clínica o dato básico que puede contestar el cuidador y también puede administrar/registrar el psicólogo.
cbcl_066,Ítem 066 del CBCL,Comportamiento y emociones (CBCL),CBCL — Ítem 066. Lea el enunciado oficial del instrumento y marque la opción que mejor describa al niño o la niña.,CBCL — Ítem 066. Registre la puntuación del ítem según la administración aplicada.,Pregunta clínica o dato básico que puede contestar el cuidador y también puede administrar/registrar el psicólogo.
cbcl_070,Ítem 070 del CBCL,Comportamiento y emociones (CBCL),CBCL — Ítem 070. Lea el enunciado oficial del instrumento y marque la opción que mejor describa al niño o la niña.,CBCL — Ítem 070. Registre la puntuación del ítem según la administración aplicada.,Pregunta clínica o dato básico que puede contestar el cuidador y también puede administrar/registrar el psicólogo.
sex_assigned_at_birth,Sexo asignado al nacer,Datos básicos,¿Cuál fue el sexo asignado al nacer del niño o la niña?,Registre el sexo asignado al nacer.,Pregunta clínica o dato básico que puede contestar el cuidador y también puede administrar/registrar el psicólogo.
